"GEO_ID","NAME","B08303_001E","B08303_001EA","B08303_001M","B08303_001MA","B08303_002E","B08303_002EA","B08303_002M","B08303_002MA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031802900","Census Tract 8029, Cook County, Illinois","2802","null","262","null","19","null","29","null","231","156","null","null","475","182","null","null","413","132","null","null","250","null","105","null","194","null","74","null","471","null","159","null","73","59","null","null","152","73","null","null","298","null","146","null","184","null","95","null","42","null","58","null",
"1400000US17031803005","Census Tract 8030.05, Cook County, Illinois","1385","null","145","null","18","null","22","null","59","37","null","null","111","58","null","null","237","87","null","null","311","null","109","null","93","null","52","null","217","null","71","null","65","43","null","null","39","38","null","null","69","null","54","null","39","null","29","null","127","null","61","null",
"1400000US17031803007","Census Tract 8030.07, Cook County, Illinois","2368","null","303","null","7","null","12","null","165","78","null","null","259","129","null","null","335","139","null","null","267","null","98","null","221","null","122","null","471","null","168","null","125","84","null","null","74","60","null","null","213","null","94","null","220","null","101","null","11","null","18","null",
"1400000US17031803008","Census Tract 8030.08, Cook County, Illinois","2165","null","195","null","18","null","21","null","174","70","null","null","311","102","null","null","227","88","null","null","438","null","114","null","184","null","68","null","224","null","79","null","85","40","null","null","88","43","null","null","115","null","62","null","235","null","106","null","66","null","35","null",
"1400000US17031803010","Census Tract 8030.10, Cook County, Illinois","2232","null","156","null","47","null","34","null","133","64","null","null","227","95","null","null","352","90","null","null","330","null","106","null","168","null","75","null","300","null","84","null","110","55","null","null","125","75","null","null","165","null","73","null","184","null","94","null","91","null","48","null",
"1400000US17031803012","Census Tract 8030.12, Cook County, Illinois","1340","null","143","null","10","null","17","null","71","56","null","null","65","50","null","null","86","54","null","null","226","null","97","null","130","null","62","null","263","null","115","null","107","63","null","null","107","61","null","null","204","null","111","null","71","null","63","null","0","null","11","null",
"1400000US17031803013","Census Tract 8030.13, Cook County, Illinois","2550","null","279","null","17","null","30","null","92","80","null","null","195","106","null","null","481","137","null","null","482","null","142","null","110","null","69","null","374","null","117","null","170","74","null","null","139","89","null","null","296","null","123","null","104","null","58","null","90","null","77","null",
"1400000US17031803014","Census Tract 8030.14, Cook County, Illinois","2029","null","219","null","0","null","11","null","39","35","null","null","251","105","null","null","456","147","null","null","251","null","127","null","191","null","81","null","352","null","119","null","115","72","null","null","85","54","null","null","163","null","92","null","98","null","62","null","28","null","35","null",
"1400000US17031803015","Census Tract 8030.15, Cook County, Illinois","2480","null","200","null","14","null","22","null","151","83","null","null","362","131","null","null","317","139","null","null","454","null","112","null","203","null","90","null","331","null","118","null","81","52","null","null","185","92","null","null","216","null","113","null","157","null","78","null","9","null","14","null",
"1400000US17031803016","Census Tract 8030.16, Cook County, Illinois","971","null","167","null","45","null","50","null","28","30","null","null","71","56","null","null","194","70","null","null","193","null","93","null","53","null","44","null","151","null","63","null","5","7","null","null","71","45","null","null","76","null","43","null","46","null","38","null","38","null","25","null",
"1400000US17031803017","Census Tract 8030.17, Cook County, Illinois","2859","null","282","null","39","null","43","null","280","127","null","null","277","124","null","null","362","142","null","null","432","null","135","null","140","null","86","null","497","null","141","null","108","71","null","null","152","97","null","null","266","null","115","null","228","null","112","null","78","null","52","null",
