"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031805110","Census Tract 8051.10, Cook County, Illinois","1973","232","null","null","10","15","null","null","133","62","null","null","165","null","76","null","205","null","70","null","126","null","54","null","272","205","null","null","257","null","95","null","117","null","57","null","73","null","40","null","382","null","146","null","210","85","null","null","23","null","25","null",
"1400000US17031805111","Census Tract 8051.11, Cook County, Illinois","3564","323","null","null","38","43","null","null","457","214","null","null","729","null","220","null","373","null","139","null","395","null","164","null","166","84","null","null","645","null","197","null","111","null","75","null","173","null","122","null","204","null","96","null","223","119","null","null","50","null","47","null",
"1400000US17031805112","Census Tract 8051.12, Cook County, Illinois","1517","176","null","null","0","11","null","null","152","70","null","null","234","null","95","null","154","null","70","null","292","null","77","null","57","41","null","null","310","null","116","null","7","null","10","null","60","null","37","null","125","null","62","null","107","51","null","null","19","null","20","null",
"1400000US17031805201","Census Tract 8052.01, Cook County, Illinois","1593","200","null","null","7","11","null","null","47","40","null","null","163","null","73","null","201","null","82","null","256","null","97","null","125","66","null","null","243","null","75","null","118","null","73","null","101","null","48","null","157","null","56","null","137","59","null","null","38","null","36","null",
"1400000US17031805202","Census Tract 8052.02, Cook County, Illinois","2129","212","null","null","9","14","null","null","126","54","null","null","233","null","83","null","335","null","97","null","240","null","90","null","111","61","null","null","503","null","157","null","50","null","29","null","95","null","47","null","170","null","70","null","166","63","null","null","91","null","40","null",
"1400000US17031805301","Census Tract 8053.01, Cook County, Illinois","1518","212","null","null","64","97","null","null","107","62","null","null","185","null","80","null","203","null","100","null","222","null","121","null","151","72","null","null","201","null","73","null","28","null","25","null","82","null","53","null","120","null","61","null","143","70","null","null","12","null","19","null",
"1400000US17031805302","Census Tract 8053.02, Cook County, Illinois","1748","211","null","null","0","11","null","null","49","35","null","null","140","null","73","null","272","null","106","null","286","null","103","null","150","72","null","null","251","null","85","null","77","null","48","null","143","null","71","null","227","null","79","null","145","72","null","null","8","null","14","null",
"1400000US17031805401","Census Tract 8054.01, Cook County, Illinois","1801","230","null","null","17","20","null","null","73","39","null","null","231","null","74","null","332","null","131","null","176","null","68","null","129","56","null","null","317","null","114","null","29","null","27","null","103","null","62","null","304","null","125","null","71","37","null","null","19","null","23","null",
"1400000US17031805402","Census Tract 8054.02, Cook County, Illinois","2109","331","null","null","24","28","null","null","79","48","null","null","324","null","128","null","246","null","92","null","327","null","123","null","215","115","null","null","378","null","146","null","73","null","76","null","47","null","38","null","201","null","105","null","157","73","null","null","38","null","37","null",
"1400000US17031805501","Census Tract 8055.01, Cook County, Illinois","1675","184","null","null","7","12","null","null","79","49","null","null","270","null","90","null","178","null","54","null","157","null","70","null","272","135","null","null","200","null","76","null","34","null","28","null","66","null","46","null","247","null","88","null","129","59","null","null","36","null","34","null",
"1400000US17031805502","Census Tract 8055.02, Cook County, Illinois","1556","170","null","null","9","14","null","null","166","65","null","null","192","null","87","null","195","null","78","null","161","null","72","null","53","34","null","null","179","null","67","null","60","null","41","null","39","null","38","null","395","null","136","null","107","54","null","null","0","null","11","null",
