"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes",
"1400000US17031390100","Census Tract 3901, Cook County, Illinois","704","232","null","null","9","12","null","null","67","null","67","null","64","null","38","null","55","null","65","null","189","null","84","null","22","null","17","null","61","41","null","null","17","28","null","null","15","null","22","null","35","null","35","null","164","null","193","null","6","null","9","null",
"1400000US17031390200","Census Tract 3902, Cook County, Illinois","830","177","null","null","3","6","null","null","148","null","92","null","119","null","76","null","86","null","56","null","73","null","46","null","47","null","31","null","104","57","null","null","48","25","null","null","44","null","38","null","128","null","57","null","30","null","37","null","0","null","12","null",
"1400000US17031390300","Census Tract 3903, Cook County, Illinois","879","205","null","null","0","12","null","null","27","null","45","null","30","null","48","null","68","null","63","null","237","null","153","null","50","null","58","null","192","109","null","null","21","34","null","null","28","null","35","null","113","null","93","null","99","null","86","null","14","null","22","null",
"1400000US17031390400","Census Tract 3904, Cook County, Illinois","647","193","null","null","0","12","null","null","18","null","20","null","11","null","18","null","73","null","59","null","85","null","72","null","24","null","26","null","89","74","null","null","0","12","null","null","53","null","59","null","81","null","45","null","169","null","105","null","44","null","53","null",
"1400000US17031390500","Census Tract 3905, Cook County, Illinois","750","126","null","null","17","19","null","null","58","null","44","null","54","null","44","null","80","null","55","null","136","null","56","null","23","null","26","null","159","62","null","null","10","14","null","null","26","null","30","null","86","null","57","null","101","null","59","null","0","null","12","null",
"1400000US17031390600","Census Tract 3906, Cook County, Illinois","719","148","null","null","26","21","null","null","30","null","23","null","43","null","18","null","110","null","49","null","163","null","111","null","0","null","12","null","167","59","null","null","21","16","null","null","19","null","16","null","71","null","38","null","58","null","41","null","11","null","12","null",
"1400000US17031390700","Census Tract 3907, Cook County, Illinois","2038","441","null","null","57","93","null","null","35","null","54","null","104","null","105","null","311","null","185","null","394","null","215","null","152","null","143","null","402","184","null","null","166","129","null","null","17","null","27","null","260","null","157","null","140","null","91","null","0","null","17","null",
"1400000US17031400300","Census Tract 4003, Cook County, Illinois","436","93","null","null","0","12","null","null","0","null","12","null","6","null","20","null","0","null","12","null","284","null","80","null","0","null","12","null","58","52","null","null","17","20","null","null","15","null","28","null","0","null","12","null","46","null","49","null","10","null","15","null",
"1400000US17031400400","Census Tract 4004, Cook County, Illinois","516","173","null","null","0","12","null","null","0","null","12","null","24","null","24","null","80","null","65","null","77","null","63","null","35","null","43","null","58","45","null","null","46","50","null","null","9","null","14","null","77","null","56","null","94","null","55","null","16","null","23","null",
"1400000US17031400500","Census Tract 4005, Cook County, Illinois","820","223","null","null","0","12","null","null","68","null","66","null","101","null","59","null","52","null","45","null","250","null","202","null","0","null","12","null","96","64","null","null","16","24","null","null","23","null","38","null","110","null","89","null","88","null","51","null","16","null","25","null",
"1400000US17031400800","Census Tract 4008, Cook County, Illinois","649","214","null","null","0","12","null","null","0","null","12","null","0","null","12","null","143","null","143","null","0","null","12","null","0","null","12","null","74","52","null","null","0","12","null","null","18","null","28","null","178","null","102","null","185","null","118","null","51","null","67","null",
"1400000US17031410100","Census Tract 4101, Cook County, Illinois","1129","229","null","null","39","41","null","null","30","null","49","null","142","null","85","null","289","null","121","null","278","null","100","null","16","null","19","null","45","39","null","null","19","21","null","null","59","null","51","null","109","null","79","null","48","null","43","null","55","null","57","null",
