"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"1400000US17031831400","Census Tract 8314, Cook County, Illinois","1245","223","null","null","0","11","null","null","109","null","57","null","22","null","34","null","170","null","128","null","136","null","86","null","8","null","15","null","335","null","103","null","23","null","35","null","45","null","41","null","183","null","117","null","214","null","122","null","0","11","null","null",
"1400000US17031831500","Census Tract 8315, Cook County, Illinois","1879","271","null","null","0","11","null","null","87","null","62","null","10","null","16","null","113","null","59","null","320","null","112","null","61","null","50","null","393","null","141","null","125","null","70","null","103","null","65","null","309","null","125","null","241","null","87","null","117","64","null","null",
"1400000US17031831600","Census Tract 8316, Cook County, Illinois","3469","494","null","null","64","74","null","null","82","null","69","null","42","null","41","null","439","null","221","null","297","null","153","null","249","null","175","null","1011","null","278","null","105","null","87","null","202","null","95","null","296","null","151","null","672","null","235","null","10","16","null","null",
"1400000US17031831700","Census Tract 8317, Cook County, Illinois","1220","137","null","null","0","11","null","null","25","null","29","null","38","null","26","null","83","null","37","null","76","null","44","null","46","null","34","null","230","null","76","null","86","null","42","null","190","null","75","null","211","null","60","null","172","null","69","null","63","41","null","null",
"1400000US17031831800","Census Tract 8318, Cook County, Illinois","3053","398","null","null","47","48","null","null","410","null","242","null","278","null","113","null","202","null","111","null","251","null","125","null","85","null","59","null","515","null","197","null","92","null","87","null","195","null","112","null","408","null","173","null","492","null","380","null","78","82","null","null",
"1400000US17031831900","Census Tract 8319, Cook County, Illinois","2322","243","null","null","31","31","null","null","62","null","49","null","92","null","62","null","158","null","92","null","284","null","129","null","194","null","75","null","592","null","219","null","150","null","73","null","188","null","77","null","344","null","98","null","144","null","71","null","83","45","null","null",
"1400000US17031832000","Census Tract 8320, Cook County, Illinois","1180","150","null","null","4","6","null","null","107","null","68","null","66","null","57","null","64","null","34","null","143","null","56","null","46","null","26","null","229","null","64","null","88","null","38","null","53","null","29","null","200","null","62","null","124","null","42","null","56","37","null","null",
"1400000US17031832100","Census Tract 8321, Cook County, Illinois","2550","320","null","null","0","11","null","null","85","null","57","null","83","null","54","null","26","null","19","null","236","null","106","null","226","null","98","null","641","null","208","null","202","null","82","null","289","null","98","null","530","null","207","null","202","null","95","null","30","28","null","null",
"1400000US17031832200","Census Tract 8322, Cook County, Illinois","1983","232","null","null","18","20","null","null","120","null","97","null","101","null","60","null","194","null","81","null","267","null","118","null","136","null","56","null","453","null","129","null","177","null","74","null","69","null","59","null","150","null","61","null","220","null","82","null","78","50","null","null",
"1400000US17031832300","Census Tract 8323, Cook County, Illinois","1244","148","null","null","0","11","null","null","34","null","23","null","115","null","54","null","136","null","54","null","112","null","42","null","81","null","38","null","280","null","109","null","56","null","30","null","90","null","41","null","192","null","66","null","100","null","44","null","48","32","null","null",
"1400000US17031832400","Census Tract 8324, Cook County, Illinois","1890","222","null","null","7","12","null","null","50","null","69","null","129","null","73","null","135","null","72","null","284","null","95","null","89","null","48","null","515","null","120","null","71","null","40","null","137","null","51","null","198","null","72","null","196","null","104","null","79","45","null","null",
"1400000US17031832500","Census Tract 8325, Cook County, Illinois","1660","199","null","null","10","16","null","null","54","null","57","null","56","null","39","null","112","null","56","null","273","null","114","null","102","null","46","null","436","null","108","null","133","null","55","null","96","null","56","null","234","null","121","null","87","null","42","null","67","43","null","null",
"1400000US17031832600","Census Tract 8326, Cook County, Illinois","2498","280","null","null","21","22","null","null","65","null","54","null","74","null","50","null","308","null","150","null","402","null","88","null","390","null","102","null","509","null","148","null","204","null","100","null","50","null","37","null","247","null","88","null","195","null","74","null","33","32","null","null",
"1400000US17031832900","Census Tract 8329, Cook County, Illinois","1258","256","null","null","31","50","null","null","74","null","51","null","243","null","98","null","243","null","118","null","216","null","102","null","82","null","56","null","82","null","46","null","20","null","27","null","35","null","30","null","42","null","38","null","74","null","73","null","116","73","null","null",
"1400000US17031833000","Census Tract 8330, Cook County, Illinois","2873","300","null","null","91","86","null","null","213","null","104","null","408","null","148","null","442","null","145","null","626","null","180","null","202","null","113","null","280","null","134","null","106","null","86","null","80","null","81","null","268","null","133","null","125","null","110","null","32","37","null","null",
"1400000US17031833100","Census Tract 8331, Cook County, Illinois","4537","469","null","null","16","24","null","null","288","null","156","null","675","null","222","null","887","null","230","null","825","null","286","null","190","null","116","null","653","null","236","null","222","null","102","null","124","null","93","null","225","null","97","null","300","null","121","null","132","109","null","null",
"1400000US17031833300","Census Tract 8333, Cook County, Illinois","1301","204","null","null","25","30","null","null","79","null","53","null","175","null","55","null","161","null","61","null","278","null","81","null","57","null","47","null","272","null","134","null","11","null","15","null","20","null","16","null","102","null","53","null","82","null","39","null","39","31","null","null",
"1400000US17031833900","Census Tract 8339, Cook County, Illinois","899","164","null","null","1","3","null","null","6","null","9","null","23","null","27","null","111","null","50","null","105","null","62","null","7","null","10","null","154","null","63","null","39","null","30","null","13","null","19","null","141","null","59","null","266","null","108","null","33","33","null","null",
"1400000US17031834000","Census Tract 8340, Cook County, Illinois","1292","329","null","null","0","11","null","null","0","null","11","null","45","null","59","null","98","null","83","null","148","null","90","null","109","null","68","null","243","null","100","null","0","null","11","null","59","null","58","null","133","null","77","null","413","null","155","null","44","55","null","null",
"1400000US17031834200","Census Tract 8342, Cook County, Illinois","1913","466","null","null","0","11","null","null","0","null","11","null","32","null","41","null","103","null","85","null","129","null","100","null","109","null","91","null","599","null","302","null","48","null","74","null","27","null","44","null","304","null","153","null","396","null","256","null","166","141","null","null",
"1400000US17031834300","Census Tract 8343, Cook County, Illinois","2060","408","null","null","0","16","null","null","25","null","44","null","122","null","107","null","160","null","111","null","218","null","140","null","105","null","79","null","345","null","174","null","17","null","28","null","56","null","67","null","289","null","162","null","463","null","221","null","260","178","null","null",
"1400000US17031834400","Census Tract 8344, Cook County, Illinois","1860","261","null","null","11","18","null","null","0","null","11","null","123","null","93","null","191","null","115","null","314","null","148","null","80","null","71","null","238","null","151","null","0","null","11","null","191","null","110","null","211","null","109","null","353","null","152","null","148","99","null","null",
"1400000US17031834500","Census Tract 8345, Cook County, Illinois","405","96","null","null","0","11","null","null","25","null","29","null","16","null","20","null","18","null","25","null","33","null","29","null","14","null","14","null","76","null","44","null","36","null","35","null","0","null","11","null","121","null","58","null","46","null","33","null","20","22","null","null",
"1400000US17031834600","Census Tract 8346, Cook County, Illinois","598","144","null","null","18","28","null","null","37","null","44","null","11","null","17","null","87","null","58","null","106","null","77","null","0","null","11","null","115","null","67","null","0","null","11","null","0","null","11","null","130","null","82","null","59","null","58","null","35","36","null","null",
"1400000US17031834700","Census Tract 8347, Cook County, Illinois","386","100","null","null","23","25","null","null","41","null","30","null","14","null","19","null","53","null","50","null","23","null","22","null","9","null","13","null","141","null","74","null","12","null","19","null","14","null","22","null","15","null","12","null","26","null","25","null","15","17","null","null",
"1400000US17031834800","Census Tract 8348, Cook County, Illinois","446","116","null","null","0","11","null","null","32","null","35","null","15","null","23","null","74","null","56","null","37","null","28","null","0","null","11","null","133","null","73","null","21","null","25","null","32","null","32","null","37","null","29","null","42","null","31","null","23","27","null","null",
"1400000US17031834900","Census Tract 8349, Cook County, Illinois","285","67","null","null","0","11","null","null","0","null","11","null","0","null","11","null","58","null","37","null","29","null","23","null","44","null","39","null","12","null","19","null","23","null","27","null","8","null","11","null","30","null","23","null","76","null","50","null","5","8","null","null",
"1400000US17031835000","Census Tract 8350, Cook County, Illinois","1670","285","null","null","0","16","null","null","38","null","46","null","26","null","31","null","79","null","55","null","179","null","111","null","166","null","89","null","359","null","136","null","52","null","49","null","67","null","50","null","369","null","125","null","273","null","114","null","62","74","null","null",
"1400000US17031835100","Census Tract 8351, Cook County, Illinois","2160","305","null","null","57","64","null","null","41","null","49","null","121","null","93","null","149","null","103","null","467","null","227","null","55","null","46","null","444","null","151","null","87","null","56","null","144","null","87","null","285","null","156","null","233","null","103","null","77","61","null","null",
"1400000US17031835200","Census Tract 8352, Cook County, Illinois","892","135","null","null","15","24","null","null","92","null","62","null","40","null","25","null","154","null","61","null","83","null","49","null","19","null","18","null","130","null","47","null","48","null","33","null","36","null","27","null","141","null","73","null","110","null","57","null","24","22","null","null",
"1400000US17031835500","Census Tract 8355, Cook County, Illinois","417","97","null","null","14","22","null","null","39","null","38","null","8","null","11","null","54","null","53","null","49","null","33","null","25","null","32","null","74","null","59","null","14","null","21","null","11","null","17","null","65","null","38","null","25","null","34","null","39","37","null","null",
"1400000US17031835600","Census Tract 8356, Cook County, Illinois","172","80","null","null","0","11","null","null","0","null","11","null","19","null","31","null","7","null","10","null","26","null","31","null","17","null","29","null","60","null","63","null","0","null","11","null","0","null","11","null","29","null","35","null","7","null","10","null","7","10","null","null",
