"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008EA","B08301_008M","B08301_008MA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019EA","B08301_019M","B08301_019MA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031804511","Census Tract 8045.11, Cook County, Illinois","1049","null","210","null","895","181","null","null","770","null","162","null","125","null","62","null","101","null","57","null","0","null","12","null","0","null","12","null","24","null","23","null","0","null","12","null","62","null","39","null","9","13","null","null","22","29","null","null","31","null","23","null","0","null","12","null","0","null","12","null","26","null","41","null","0","null","12","null","0","12","null","null","0","null","12","null","7","10","null","null","59","null","42","null",
"1400000US17031804512","Census Tract 8045.12, Cook County, Illinois","2055","null","363","null","1654","381","null","null","1513","null","346","null","141","null","135","null","141","null","135","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","19","null","41","null","0","12","null","null","19","41","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","2","null","8","null","0","12","null","null","380","null","219","null",
"1400000US17031804513","Census Tract 8045.13, Cook County, Illinois","2143","null","432","null","1694","378","null","null","1631","null","376","null","63","null","76","null","63","null","76","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","236","null","148","null","0","12","null","null","0","12","null","null","236","null","148","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null","213","null","169","null",
"1400000US17031804514","Census Tract 8045.14, Cook County, Illinois","2619","null","383","null","2241","397","null","null","2150","null","416","null","91","null","110","null","91","null","110","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","150","null","100","null","0","17","null","null","0","17","null","null","150","null","100","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","null","17","null","0","17","null","null","228","null","117","null",
"1400000US17031804603","Census Tract 8046.03, Cook County, Illinois","3510","null","492","null","2849","471","null","null","2507","null","463","null","342","null","177","null","292","null","165","null","50","null","53","null","0","null","17","null","0","null","17","null","0","null","17","null","31","null","35","null","0","17","null","null","31","35","null","null","0","null","17","null","0","null","17","null","0","null","17","null","17","null","27","null","0","null","17","null","0","17","null","null","25","null","30","null","55","57","null","null","533","null","250","null",
"1400000US17031804606","Census Tract 8046.06, Cook County, Illinois","3367","null","289","null","2785","307","null","null","2644","null","316","null","141","null","93","null","141","null","93","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","162","null","122","null","0","17","null","null","13","22","null","null","149","null","120","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","90","null","94","null","0","17","null","null","330","null","133","null",
"1400000US17031804607","Census Tract 8046.07, Cook County, Illinois","3724","null","333","null","3187","352","null","null","2828","null","369","null","359","null","182","null","283","null","137","null","13","null","23","null","38","null","57","null","0","null","17","null","25","null","37","null","117","null","75","null","0","17","null","null","9","16","null","null","108","null","74","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","21","24","null","null","0","null","17","null","54","77","null","null","345","null","200","null",
"1400000US17031804608","Census Tract 8046.08, Cook County, Illinois","1922","null","394","null","1472","228","null","null","1365","null","217","null","107","null","51","null","96","null","51","null","11","null","17","null","0","null","12","null","0","null","12","null","0","null","12","null","73","null","46","null","7","13","null","null","30","32","null","null","36","null","35","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","10","16","null","null","367","null","277","null",
"1400000US17031804609","Census Tract 8046.09, Cook County, Illinois","3380","null","441","null","2493","304","null","null","2385","null","306","null","108","null","79","null","108","null","79","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","268","null","151","null","0","17","null","null","0","17","null","null","268","null","151","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","9","null","17","null","0","17","null","null","610","null","293","null",
"1400000US17031804610","Census Tract 8046.10, Cook County, Illinois","1389","null","225","null","1234","217","null","null","1172","null","222","null","62","null","45","null","42","null","37","null","6","null","10","null","7","null","12","null","0","null","12","null","7","null","12","null","13","null","16","null","0","12","null","null","0","12","null","null","13","null","16","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","9","null","14","null","17","26","null","null","116","null","54","null",
