"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031670700","Census Tract 6707, Cook County, Illinois","357","null","121","null","255","109","null","null","255","null","109","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","92","null","51","null","65","40","null","null","0","11","null","null","27","null","32","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","10","null","16","null",
"1400000US17031670800","Census Tract 6708, Cook County, Illinois","362","null","100","null","187","86","null","null","180","null","85","null","7","null","11","null","0","11","null","null","7","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","121","null","58","null","89","50","null","null","0","11","null","null","32","null","31","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","20","19","null","null","0","11","null","null","34","null","34","null",
"1400000US17031670900","Census Tract 6709, Cook County, Illinois","398","null","148","null","175","79","null","null","150","null","66","null","25","null","40","null","25","40","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","162","null","112","null","118","59","null","null","0","11","null","null","44","null","71","null","0","11","null","null","0","11","null","null","30","null","45","null","0","null","11","null","0","null","11","null","31","46","null","null","0","11","null","null","0","null","11","null",
"1400000US17031671100","Census Tract 6711, Cook County, Illinois","244","null","84","null","166","74","null","null","151","null","62","null","15","null","24","null","15","24","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","51","null","34","null","45","33","null","null","0","11","null","null","6","null","9","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","13","20","null","null","0","11","null","null","14","null","18","null",
"1400000US17031671200","Census Tract 6712, Cook County, Illinois","246","null","106","null","107","69","null","null","99","null","61","null","8","null","17","null","0","11","null","null","8","null","17","null","0","null","11","null","0","11","null","null","0","null","11","null","84","null","47","null","68","46","null","null","0","11","null","null","16","null","14","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","33","45","null","null","0","11","null","null","22","null","27","null",
"1400000US17031671300","Census Tract 6713, Cook County, Illinois","699","null","157","null","391","91","null","null","373","null","92","null","18","null","25","null","18","25","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","290","null","129","null","225","128","null","null","0","11","null","null","65","null","50","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","18","19","null","null","0","11","null","null","0","null","11","null",
"1400000US17031671400","Census Tract 6714, Cook County, Illinois","528","null","144","null","261","78","null","null","248","null","75","null","13","null","17","null","13","17","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","267","null","105","null","125","69","null","null","0","11","null","null","142","null","91","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null",
"1400000US17031671500","Census Tract 6715, Cook County, Illinois","711","null","118","null","410","98","null","null","381","null","95","null","29","null","29","null","12","18","null","null","17","null","21","null","0","null","11","null","0","11","null","null","0","null","11","null","185","null","77","null","168","76","null","null","0","11","null","null","17","null","20","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","40","null","47","null","27","24","null","null","0","11","null","null","49","null","30","null",
"1400000US17031671600","Census Tract 6716, Cook County, Illinois","544","null","133","null","261","101","null","null","171","null","75","null","90","null","69","null","85","69","null","null","0","null","11","null","0","null","11","null","5","10","null","null","0","null","11","null","140","null","83","null","100","57","null","null","0","11","null","null","40","null","45","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","3","null","8","null","32","35","null","null","8","15","null","null","100","null","60","null",
"1400000US17031671800","Census Tract 6718, Cook County, Illinois","280","null","87","null","123","58","null","null","113","null","57","null","10","null","15","null","3","6","null","null","6","null","12","null","0","null","11","null","1","6","null","null","0","null","11","null","89","null","60","null","39","31","null","null","0","11","null","null","50","null","51","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","62","44","null","null","0","11","null","null","6","null","10","null",
