"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004M","B08301_004MA","B08301_004EA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010M","B08301_010MA","B08301_010EA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021M","B08301_021MA","B08301_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Annotation of Margin of Error!!Total!!Car, truck, or van","Annotation of Estimate!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Annotation of Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Annotation of Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Annotation of Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Annotation of Margin of Error!!Total!!Taxicab","Annotation of Estimate!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Annotation of Margin of Error!!Total!!Motorcycle","Annotation of Estimate!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Annotation of Margin of Error!!Total!!Bicycle","Annotation of Estimate!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Annotation of Margin of Error!!Total!!Walked","Annotation of Estimate!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Annotation of Margin of Error!!Total!!Other means","Annotation of Estimate!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Annotation of Margin of Error!!Total!!Worked at home","Annotation of Estimate!!Total!!Worked at home",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2390","284","null","null","748","260","null","null","748","null","260","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1210","236","null","null","494","185","null","null","0","11","null","null","630","193","null","null","86","81","null","null","0","null","11","null","0","11","null","null","0","11","null","null","63","58","null","null","81","58","null","null","134","115","null","null","154","98","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","3016","403","null","null","1680","297","null","null","1589","null","284","null","91","90","null","null","91","90","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","983","238","null","null","466","207","null","null","0","15","null","null","425","125","null","null","92","72","null","null","0","null","15","null","33","45","null","null","9","14","null","null","122","97","null","null","39","43","null","null","0","15","null","null","150","84","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1203","180","null","null","574","161","null","null","494","null","140","null","80","52","null","null","80","52","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","511","150","null","null","194","98","null","null","0","11","null","null","250","116","null","null","67","49","null","null","0","null","11","null","0","11","null","null","0","11","null","null","42","37","null","null","12","19","null","null","12","18","null","null","52","33","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","3122","304","null","null","1559","289","null","null","1313","null","265","null","246","169","null","null","246","169","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","1205","257","null","null","318","150","null","null","0","15","null","null","804","219","null","null","83","98","null","null","0","null","15","null","24","38","null","null","0","15","null","null","34","41","null","null","99","72","null","null","2","14","null","null","199","101","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","2566","368","null","null","631","177","null","null","529","null","149","null","102","101","null","null","45","54","null","null","52","65","null","null","0","15","null","null","0","15","null","null","5","9","null","null","1125","265","null","null","421","186","null","null","0","15","null","null","584","181","null","null","120","87","null","null","0","null","15","null","0","15","null","null","0","15","null","null","90","77","null","null","448","130","null","null","18","23","null","null","254","113","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2450","358","null","null","821","186","null","null","730","null","194","null","91","71","null","null","47","57","null","null","44","49","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1207","288","null","null","444","154","null","null","0","11","null","null","671","233","null","null","92","78","null","null","0","null","11","null","0","11","null","null","0","11","null","null","61","69","null","null","132","85","null","null","44","61","null","null","185","101","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1761","172","null","null","607","152","null","null","423","null","125","null","184","103","null","null","184","103","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","765","140","null","null","292","106","null","null","0","11","null","null","431","106","null","null","42","34","null","null","0","null","11","null","21","33","null","null","9","14","null","null","36","28","null","null","216","99","null","null","0","11","null","null","107","58","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","961","208","null","null","326","123","null","null","303","null","133","null","23","28","null","null","23","28","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","443","143","null","null","145","94","null","null","0","11","null","null","237","120","null","null","61","60","null","null","0","null","11","null","0","11","null","null","0","11","null","null","19","28","null","null","136","65","null","null","0","11","null","null","37","29","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","4029","475","null","null","1523","413","null","null","1209","null","350","null","314","252","null","null","287","246","null","null","0","15","null","null","0","15","null","null","0","15","null","null","27","45","null","null","1784","330","null","null","239","106","null","null","20","34","null","null","1312","349","null","null","213","128","null","null","0","null","15","null","38","49","null","null","0","15","null","null","99","65","null","null","397","215","null","null","0","15","null","null","188","120","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","2060","224","null","null","1169","231","null","null","985","null","224","null","184","126","null","null","155","120","null","null","29","35","null","null","0","11","null","null","0","11","null","null","0","11","null","null","598","158","null","null","268","119","null","null","0","11","null","null","163","74","null","null","167","73","null","null","0","null","11","null","21","23","null","null","0","11","null","null","44","42","null","null","108","71","null","null","0","11","null","null","120","63","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","2939","330","null","null","1152","189","null","null","1096","null","186","null","56","46","null","null","35","34","null","null","0","15","null","null","21","33","null","null","0","15","null","null","0","15","null","null","1493","347","null","null","452","204","null","null","0","15","null","null","839","224","null","null","202","83","null","null","0","null","15","null","10","15","null","null","0","15","null","null","65","42","null","null","176","84","null","null","0","15","null","null","43","30","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1718","275","null","null","1322","252","null","null","995","null","216","null","327","173","null","null","295","167","null","null","0","11","null","null","32","38","null","null","0","11","null","null","0","11","null","null","294","105","null","null","190","97","null","null","10","17","null","null","94","75","null","null","0","11","null","null","0","null","11","null","11","18","null","null","0","11","null","null","0","11","null","null","54","53","null","null","0","11","null","null","37","52","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2926","386","null","null","2131","431","null","null","1721","null","331","null","410","241","null","null","356","245","null","null","18","28","null","null","17","28","null","null","19","32","null","null","0","15","null","null","502","225","null","null","138","121","null","null","0","15","null","null","264","194","null","null","100","72","null","null","0","null","15","null","41","59","null","null","0","15","null","null","0","15","null","null","148","208","null","null","0","15","null","null","104","74","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","1880","180","null","null","1433","176","null","null","1220","null","139","null","213","98","null","null","161","77","null","null","12","18","null","null","40","35","null","null","0","15","null","null","0","15","null","null","224","108","null","null","68","41","null","null","0","15","null","null","124","90","null","null","32","27","null","null","0","null","15","null","0","15","null","null","0","15","null","null","11","16","null","null","121","55","null","null","12","20","null","null","79","54","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","2230","271","null","null","1537","228","null","null","1314","null","218","null","223","92","null","null","179","89","null","null","34","44","null","null","0","15","null","null","0","15","null","null","10","18","null","null","377","151","null","null","161","115","null","null","0","15","null","null","101","58","null","null","115","73","null","null","0","null","15","null","0","15","null","null","0","15","null","null","55","40","null","null","117","84","null","null","29","41","null","null","115","63","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","2253","228","null","null","1426","193","null","null","1356","null","191","null","70","45","null","null","70","45","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","565","146","null","null","119","59","null","null","0","11","null","null","182","83","null","null","264","120","null","null","0","null","11","null","37","30","null","null","0","11","null","null","0","11","null","null","94","66","null","null","26","32","null","null","105","74","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2778","473","null","null","1762","482","null","null","1470","null","516","null","292","166","null","null","238","158","null","null","7","14","null","null","47","66","null","null","0","15","null","null","0","15","null","null","465","181","null","null","249","143","null","null","0","15","null","null","216","135","null","null","0","15","null","null","0","null","15","null","117","141","null","null","0","15","null","null","52","65","null","null","320","161","null","null","24","27","null","null","38","36","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2469","418","null","null","1588","324","null","null","1337","null","259","null","251","156","null","null","228","153","null","null","23","29","null","null","0","15","null","null","0","15","null","null","0","15","null","null","475","177","null","null","375","156","null","null","0","15","null","null","35","66","null","null","65","59","null","null","0","null","15","null","15","23","null","null","0","15","null","null","42","47","null","null","265","213","null","null","16","25","null","null","68","57","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1957","283","null","null","1149","165","null","null","1072","null","167","null","77","50","null","null","55","33","null","null","0","11","null","null","22","35","null","null","0","11","null","null","0","11","null","null","485","179","null","null","342","163","null","null","0","11","null","null","76","40","null","null","67","60","null","null","0","null","11","null","0","11","null","null","0","11","null","null","37","26","null","null","199","84","null","null","14","23","null","null","73","45","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","808","142","null","null","604","126","null","null","514","null","117","null","90","47","null","null","53","33","null","null","6","9","null","null","12","14","null","null","13","18","null","null","6","9","null","null","101","44","null","null","32","31","null","null","0","11","null","null","58","28","null","null","11","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","17","18","null","null","12","13","null","null","0","11","null","null","74","33","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","3681","536","null","null","2948","563","null","null","2491","null","454","null","457","249","null","null","325","231","null","null","95","101","null","null","37","61","null","null","0","15","null","null","0","15","null","null","276","123","null","null","238","115","null","null","0","15","null","null","38","45","null","null","0","15","null","null","0","null","15","null","14","21","null","null","0","15","null","null","0","15","null","null","380","187","null","null","0","15","null","null","63","72","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2832","374","null","null","2157","297","null","null","1826","null","269","null","331","154","null","null","189","125","null","null","110","88","null","null","0","15","null","null","32","38","null","null","0","15","null","null","450","163","null","null","320","153","null","null","0","15","null","null","130","94","null","null","0","15","null","null","0","null","15","null","19","32","null","null","0","15","null","null","46","44","null","null","63","55","null","null","44","73","null","null","53","46","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","3840","515","null","null","2424","400","null","null","2254","null","411","null","170","117","null","null","122","87","null","null","0","15","null","null","48","78","null","null","0","15","null","null","0","15","null","null","691","295","null","null","478","254","null","null","0","15","null","null","182","113","null","null","31","46","null","null","0","null","15","null","26","32","null","null","0","15","null","null","107","113","null","null","382","209","null","null","105","83","null","null","105","102","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2826","344","null","null","1729","300","null","null","1499","null","283","null","230","101","null","null","199","98","null","null","22","24","null","null","9","13","null","null","0","15","null","null","0","15","null","null","810","197","null","null","477","146","null","null","0","15","null","null","311","153","null","null","22","36","null","null","0","null","15","null","18","20","null","null","0","15","null","null","33","33","null","null","82","66","null","null","53","49","null","null","101","63","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1946","362","null","null","1064","208","null","null","835","null","189","null","229","98","null","null","192","98","null","null","16","17","null","null","21","28","null","null","0","11","null","null","0","11","null","null","553","163","null","null","293","115","null","null","0","11","null","null","212","82","null","null","48","73","null","null","0","null","11","null","15","22","null","null","0","11","null","null","16","20","null","null","204","169","null","null","25","30","null","null","69","93","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2085","285","null","null","909","262","null","null","761","null","259","null","148","106","null","null","148","106","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","857","249","null","null","317","126","null","null","0","11","null","null","497","222","null","null","43","49","null","null","0","null","11","null","109","89","null","null","0","11","null","null","28","32","null","null","66","84","null","null","58","61","null","null","58","48","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1753","209","null","null","541","142","null","null","495","null","134","null","46","34","null","null","36","31","null","null","10","16","null","null","0","11","null","null","0","11","null","null","0","11","null","null","882","194","null","null","353","117","null","null","39","50","null","null","475","146","null","null","15","17","null","null","0","null","11","null","34","44","null","null","5","10","null","null","0","11","null","null","142","77","null","null","15","17","null","null","134","70","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1204","199","null","null","385","101","null","null","299","null","89","null","86","67","null","null","86","67","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","559","127","null","null","166","84","null","null","0","11","null","null","376","116","null","null","17","19","null","null","0","null","11","null","8","13","null","null","0","11","null","null","7","10","null","null","107","51","null","null","21","21","null","null","117","68","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1525","253","null","null","314","106","null","null","215","null","95","null","99","55","null","null","75","46","null","null","12","22","null","null","12","17","null","null","0","11","null","null","0","11","null","null","781","177","null","null","266","104","null","null","0","11","null","null","499","139","null","null","16","24","null","null","0","null","11","null","5","9","null","null","0","11","null","null","22","30","null","null","338","129","null","null","0","11","null","null","65","51","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","3137","433","null","null","1530","359","null","null","1382","null","336","null","148","96","null","null","148","96","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","1111","208","null","null","131","80","null","null","0","15","null","null","949","199","null","null","31","36","null","null","0","null","15","null","0","15","null","null","0","15","null","null","133","88","null","null","73","51","null","null","99","87","null","null","191","99","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1731","218","null","null","1070","209","null","null","881","null","195","null","189","87","null","null","155","71","null","null","34","44","null","null","0","11","null","null","0","11","null","null","0","11","null","null","378","115","null","null","192","94","null","null","0","11","null","null","186","66","null","null","0","11","null","null","0","null","11","null","15","17","null","null","0","11","null","null","52","42","null","null","177","96","null","null","9","14","null","null","30","28","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","1558","169","null","null","822","144","null","null","766","null","130","null","56","39","null","null","56","39","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","424","107","null","null","157","58","null","null","0","11","null","null","194","79","null","null","73","42","null","null","0","null","11","null","6","11","null","null","0","11","null","null","24","29","null","null","131","80","null","null","6","9","null","null","145","60","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","4488","399","null","null","2046","300","null","null","1717","null","276","null","329","103","null","null","299","95","null","null","0","15","null","null","30","48","null","null","0","15","null","null","0","15","null","null","1777","316","null","null","300","122","null","null","81","59","null","null","1174","204","null","null","222","163","null","null","0","null","15","null","23","37","null","null","0","15","null","null","85","61","null","null","265","121","null","null","34","40","null","null","258","111","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","2114","302","null","null","726","220","null","null","682","null","218","null","44","82","null","null","44","82","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1220","273","null","null","457","268","null","null","13","22","null","null","721","176","null","null","29","47","null","null","0","null","11","null","0","11","null","null","0","11","null","null","56","87","null","null","13","20","null","null","0","11","null","null","99","72","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","1262","145","null","null","283","95","null","null","228","null","78","null","55","51","null","null","34","42","null","null","21","26","null","null","0","11","null","null","0","11","null","null","0","11","null","null","731","133","null","null","300","103","null","null","0","11","null","null","401","84","null","null","30","34","null","null","0","null","11","null","50","45","null","null","35","45","null","null","33","32","null","null","24","24","null","null","26","26","null","null","80","64","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1714","188","null","null","602","111","null","null","547","null","111","null","55","50","null","null","55","50","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","954","175","null","null","578","178","null","null","0","11","null","null","325","124","null","null","51","36","null","null","0","null","11","null","17","26","null","null","0","11","null","null","27","25","null","null","16","22","null","null","0","11","null","null","98","70","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","932","106","null","null","253","77","null","null","224","null","71","null","29","26","null","null","29","26","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","601","91","null","null","220","84","null","null","0","11","null","null","358","91","null","null","23","23","null","null","0","null","11","null","0","11","null","null","0","11","null","null","9","12","null","null","54","29","null","null","4","7","null","null","11","15","null","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","556","77","null","null","296","69","null","null","282","null","69","null","14","25","null","null","14","25","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","226","69","null","null","143","61","null","null","0","11","null","null","79","52","null","null","4","11","null","null","0","null","11","null","4","8","null","null","0","11","null","null","0","11","null","null","7","11","null","null","0","11","null","null","23","23","null","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","1540","219","null","null","558","149","null","null","506","null","130","null","52","47","null","null","43","45","null","null","0","11","null","null","0","11","null","null","9","15","null","null","0","11","null","null","794","169","null","null","241","103","null","null","0","11","null","null","532","148","null","null","21","25","null","null","0","null","11","null","0","11","null","null","0","11","null","null","17","19","null","null","53","39","null","null","9","16","null","null","109","56","null","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2072","270","null","null","814","243","null","null","793","null","243","null","21","25","null","null","21","25","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1000","182","null","null","399","131","null","null","45","51","null","null","530","183","null","null","26","30","null","null","0","null","11","null","14","22","null","null","0","11","null","null","55","50","null","null","31","35","null","null","29","33","null","null","129","74","null","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","2380","321","null","null","1132","239","null","null","979","null","212","null","153","118","null","null","97","97","null","null","56","70","null","null","0","11","null","null","0","11","null","null","0","11","null","null","724","159","null","null","249","145","null","null","0","11","null","null","441","122","null","null","34","41","null","null","0","null","11","null","15","24","null","null","0","11","null","null","38","61","null","null","109","76","null","null","33","37","null","null","329","163","null","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1985","399","null","null","829","173","null","null","808","null","173","null","21","20","null","null","6","12","null","null","15","17","null","null","0","11","null","null","0","11","null","null","0","11","null","null","677","241","null","null","164","95","null","null","0","11","null","null","451","215","null","null","62","35","null","null","0","null","11","null","0","11","null","null","0","11","null","null","51","67","null","null","195","94","null","null","41","65","null","null","192","159","null","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","2759","274","null","null","1145","180","null","null","1069","null","157","null","76","57","null","null","58","45","null","null","18","31","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1070","183","null","null","282","100","null","null","0","11","null","null","576","141","null","null","212","72","null","null","0","null","11","null","0","11","null","null","0","11","null","null","106","56","null","null","150","74","null","null","33","53","null","null","255","101","null","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","3320","333","null","null","1243","273","null","null","1028","null","241","null","215","96","null","null","127","65","null","null","73","39","null","null","15","23","null","null","0","11","null","null","0","11","null","null","1324","258","null","null","184","134","null","null","0","11","null","null","982","237","null","null","158","74","null","null","0","null","11","null","0","11","null","null","0","11","null","null","207","154","null","null","171","98","null","null","15","24","null","null","360","131","null","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","2783","437","null","null","1124","274","null","null","960","null","247","null","164","106","null","null","147","104","null","null","0","15","null","null","17","28","null","null","0","15","null","null","0","15","null","null","1371","367","null","null","293","148","null","null","0","15","null","null","1009","333","null","null","69","78","null","null","0","null","15","null","0","15","null","null","0","15","null","null","31","36","null","null","175","128","null","null","14","23","null","null","68","57","null","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","4183","460","null","null","1350","268","null","null","1285","null","257","null","65","49","null","null","65","49","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","2016","352","null","null","1171","295","null","null","0","15","null","null","845","216","null","null","0","15","null","null","0","null","15","null","104","83","null","null","31","36","null","null","186","112","null","null","180","101","null","null","100","79","null","null","216","105","null","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","3282","317","null","null","1220","253","null","null","1169","null","243","null","51","46","null","null","51","46","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1356","255","null","null","1001","220","null","null","0","11","null","null","324","157","null","null","31","35","null","null","0","null","11","null","53","69","null","null","0","11","null","null","116","66","null","null","147","104","null","null","0","11","null","null","390","171","null","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","1738","233","null","null","590","139","null","null","466","null","118","null","124","73","null","null","124","73","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","782","188","null","null","503","132","null","null","0","11","null","null","264","114","null","null","15","23","null","null","0","null","11","null","12","18","null","null","0","11","null","null","34","27","null","null","129","64","null","null","36","37","null","null","155","79","null","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","2373","433","null","null","606","181","null","null","552","null","179","null","54","51","null","null","17","31","null","null","37","46","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1330","357","null","null","677","269","null","null","0","11","null","null","653","267","null","null","0","11","null","null","0","null","11","null","88","72","null","null","0","11","null","null","64","50","null","null","129","84","null","null","95","80","null","null","61","63","null","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","4123","399","null","null","1626","310","null","null","1395","null","317","null","231","98","null","null","228","96","null","null","3","24","null","null","0","15","null","null","0","15","null","null","0","15","null","null","1859","356","null","null","331","138","null","null","0","15","null","null","1374","325","null","null","154","97","null","null","0","null","15","null","0","15","null","null","29","47","null","null","99","58","null","null","158","116","null","null","47","59","null","null","305","127","null","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1267","114","null","null","448","96","null","null","404","null","87","null","44","37","null","null","40","37","null","null","4","6","null","null","0","11","null","null","0","11","null","null","0","11","null","null","668","117","null","null","111","65","null","null","0","11","null","null","341","90","null","null","216","60","null","null","0","null","11","null","0","11","null","null","0","11","null","null","21","17","null","null","46","29","null","null","11","11","null","null","73","40","null","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1607","156","null","null","597","136","null","null","509","null","145","null","88","48","null","null","88","48","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","795","142","null","null","258","124","null","null","0","11","null","null","441","108","null","null","96","42","null","null","0","null","11","null","6","10","null","null","0","11","null","null","65","45","null","null","42","40","null","null","25","21","null","null","77","45","null","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","4319","662","null","null","1630","427","null","null","1285","null","323","null","345","247","null","null","336","246","null","null","0","15","null","null","9","15","null","null","0","15","null","null","0","15","null","null","2009","450","null","null","1026","353","null","null","0","15","null","null","908","309","null","null","75","126","null","null","0","null","15","null","0","15","null","null","0","15","null","null","243","192","null","null","248","136","null","null","29","47","null","null","160","138","null","null",
