"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004M","B08301_004MA","B08301_004EA","B08301_005E","B08301_005M","B08301_005MA","B08301_005EA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010M","B08301_010MA","B08301_010EA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021M","B08301_021MA","B08301_021EA",
"1400000US17031310600","Census Tract 3106, Cook County, Illinois","2303","378","null","null","947","277","null","null","840","null","247","null","107","94","null","null","92","91","null","null","0","11","null","null","15","25","null","null","0","11","null","null","0","11","null","null","899","291","null","null","753","279","null","null","16","24","null","null","130","93","null","null","0","11","null","null","0","null","11","null","21","33","null","null","0","11","null","null","228","127","null","null","80","59","null","null","29","47","null","null","99","109","null","null",
"1400000US17031310700","Census Tract 3107, Cook County, Illinois","777","165","null","null","339","104","null","null","285","null","93","null","54","51","null","null","54","51","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","265","105","null","null","162","55","null","null","0","11","null","null","103","88","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","83","54","null","null","61","50","null","null","0","11","null","null","29","42","null","null",
"1400000US17031310800","Census Tract 3108, Cook County, Illinois","2270","369","null","null","1115","273","null","null","781","null","236","null","334","161","null","null","277","131","null","null","14","21","null","null","23","38","null","null","0","11","null","null","20","34","null","null","888","234","null","null","377","213","null","null","61","62","null","null","438","135","null","null","12","19","null","null","0","null","11","null","0","11","null","null","0","11","null","null","109","77","null","null","94","76","null","null","25","37","null","null","39","59","null","null",
"1400000US17031310900","Census Tract 3109, Cook County, Illinois","2352","296","null","null","1088","215","null","null","902","null","188","null","186","96","null","null","94","75","null","null","72","59","null","null","20","32","null","null","0","15","null","null","0","15","null","null","826","204","null","null","376","136","null","null","0","15","null","null","363","155","null","null","87","81","null","null","0","null","15","null","21","33","null","null","10","16","null","null","212","110","null","null","161","103","null","null","0","15","null","null","34","39","null","null",
"1400000US17031320100","Census Tract 3201, Cook County, Illinois","8022","744","null","null","1931","552","null","null","1683","null","507","null","248","240","null","null","113","119","null","null","135","205","null","null","0","17","null","null","0","17","null","null","0","17","null","null","1284","437","null","null","460","276","null","null","0","17","null","null","453","274","null","null","371","222","null","null","0","null","17","null","131","130","null","null","0","17","null","null","158","150","null","null","3766","647","null","null","0","17","null","null","752","299","null","null",
"1400000US17031320400","Census Tract 3204, Cook County, Illinois","1213","226","null","null","216","55","null","null","192","null","51","null","24","29","null","null","24","29","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","268","112","null","null","52","28","null","null","0","11","null","null","177","108","null","null","39","31","null","null","0","null","11","null","11","12","null","null","0","11","null","null","0","11","null","null","578","147","null","null","9","11","null","null","131","70","null","null",
"1400000US17031320600","Census Tract 3206, Cook County, Illinois","3304","420","null","null","1026","285","null","null","902","null","267","null","124","111","null","null","124","111","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","925","240","null","null","276","113","null","null","11","20","null","null","599","201","null","null","39","41","null","null","0","null","11","null","54","54","null","null","0","11","null","null","86","66","null","null","848","181","null","null","93","74","null","null","272","208","null","null",
"1400000US17031330100","Census Tract 3301, Cook County, Illinois","13330","1199","null","null","6447","962","null","null","5678","null","944","null","769","384","null","null","681","377","null","null","88","97","null","null","0","17","null","null","0","17","null","null","0","17","null","null","3372","809","null","null","2278","523","null","null","0","17","null","null","1026","488","null","null","68","80","null","null","0","null","17","null","701","359","null","null","0","17","null","null","358","215","null","null","1331","435","null","null","98","112","null","null","1023","465","null","null",
"1400000US17031330200","Census Tract 3302, Cook County, Illinois","2012","211","null","null","988","184","null","null","858","null","164","null","130","80","null","null","119","71","null","null","0","11","null","null","0","11","null","null","11","17","null","null","0","11","null","null","558","109","null","null","248","66","null","null","0","11","null","null","276","100","null","null","34","42","null","null","0","null","11","null","31","29","null","null","0","11","null","null","60","41","null","null","247","89","null","null","0","11","null","null","128","91","null","null",
"1400000US17031340300","Census Tract 3403, Cook County, Illinois","671","139","null","null","434","108","null","null","298","null","81","null","136","74","null","null","64","60","null","null","31","22","null","null","0","11","null","null","7","10","null","null","34","30","null","null","127","55","null","null","107","54","null","null","0","11","null","null","20","22","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","85","49","null","null","17","27","null","null","8","12","null","null",
"1400000US17031340400","Census Tract 3404, Cook County, Illinois","1039","167","null","null","455","109","null","null","280","null","84","null","175","82","null","null","52","40","null","null","52","55","null","null","0","11","null","null","65","50","null","null","6","8","null","null","326","121","null","null","212","90","null","null","0","11","null","null","108","76","null","null","6","8","null","null","0","null","11","null","0","11","null","null","0","11","null","null","12","13","null","null","235","86","null","null","6","9","null","null","5","8","null","null",
"1400000US17031340500","Census Tract 3405, Cook County, Illinois","667","102","null","null","286","77","null","null","253","null","77","null","33","28","null","null","33","28","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","181","55","null","null","35","33","null","null","0","11","null","null","146","64","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","40","21","null","null","117","68","null","null","23","33","null","null","20","23","null","null",
"1400000US17031340600","Census Tract 3406, Cook County, Illinois","182","53","null","null","77","43","null","null","62","null","40","null","15","17","null","null","15","17","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","77","32","null","null","52","30","null","null","0","11","null","null","25","19","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","28","20","null","null","0","11","null","null","0","11","null","null",
"1400000US17031350100","Census Tract 3501, Cook County, Illinois","1177","148","null","null","497","106","null","null","444","null","93","null","53","43","null","null","25","28","null","null","20","21","null","null","8","14","null","null","0","11","null","null","0","11","null","null","602","136","null","null","516","123","null","null","36","59","null","null","50","44","null","null","0","11","null","null","0","null","11","null","8","13","null","null","0","11","null","null","12","19","null","null","38","42","null","null","0","11","null","null","20","27","null","null",
"1400000US17031350400","Census Tract 3504, Cook County, Illinois","326","85","null","null","109","52","null","null","100","null","49","null","9","18","null","null","0","11","null","null","9","18","null","null","0","11","null","null","0","11","null","null","0","11","null","null","165","60","null","null","127","44","null","null","0","11","null","null","38","31","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","29","26","null","null","13","12","null","null","10","11","null","null",
"1400000US17031351000","Census Tract 3510, Cook County, Illinois","2128","271","null","null","1015","227","null","null","923","null","220","null","92","83","null","null","29","35","null","null","30","47","null","null","0","11","null","null","33","47","null","null","0","11","null","null","839","213","null","null","659","227","null","null","0","11","null","null","180","134","null","null","0","11","null","null","0","null","11","null","21","32","null","null","0","11","null","null","20","21","null","null","85","84","null","null","0","11","null","null","148","144","null","null",
"1400000US17031351100","Census Tract 3511, Cook County, Illinois","440","110","null","null","205","72","null","null","192","null","72","null","13","15","null","null","8","14","null","null","0","11","null","null","0","11","null","null","5","7","null","null","0","11","null","null","164","58","null","null","130","52","null","null","0","11","null","null","34","31","null","null","0","11","null","null","0","null","11","null","33","32","null","null","0","11","null","null","0","11","null","null","9","15","null","null","0","11","null","null","29","40","null","null",
"1400000US17031351400","Census Tract 3514, Cook County, Illinois","508","126","null","null","152","73","null","null","148","null","72","null","4","9","null","null","4","9","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","219","86","null","null","81","66","null","null","0","11","null","null","138","81","null","null","0","11","null","null","0","null","11","null","30","42","null","null","0","11","null","null","0","11","null","null","64","41","null","null","8","13","null","null","35","38","null","null",
"1400000US17031351500","Census Tract 3515, Cook County, Illinois","203","58","null","null","98","34","null","null","77","null","32","null","21","15","null","null","8","9","null","null","13","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","61","35","null","null","15","16","null","null","0","11","null","null","36","24","null","null","10","16","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","28","22","null","null","0","11","null","null","16","20","null","null",
"1400000US17031360200","Census Tract 3602, Cook County, Illinois","481","83","null","null","223","90","null","null","194","null","80","null","29","27","null","null","18","23","null","null","0","11","null","null","0","11","null","null","0","11","null","null","11","15","null","null","199","84","null","null","161","72","null","null","0","11","null","null","38","29","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","23","25","null","null","0","11","null","null","36","34","null","null",
"1400000US17031380100","Census Tract 3801, Cook County, Illinois","563","142","null","null","311","107","null","null","305","null","105","null","6","9","null","null","6","9","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","119","59","null","null","39","36","null","null","0","11","null","null","65","55","null","null","15","24","null","null","0","null","11","null","19","31","null","null","0","11","null","null","0","11","null","null","71","47","null","null","0","11","null","null","43","42","null","null",
"1400000US17031380200","Census Tract 3802, Cook County, Illinois","560","125","null","null","238","108","null","null","161","null","80","null","77","54","null","null","77","54","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","255","79","null","null","129","71","null","null","0","11","null","null","126","82","null","null","0","11","null","null","0","null","11","null","3","20","null","null","0","11","null","null","0","11","null","null","20","32","null","null","0","11","null","null","44","51","null","null",
"1400000US17031380500","Census Tract 3805, Cook County, Illinois","223","76","null","null","137","59","null","null","115","null","55","null","22","20","null","null","13","16","null","null","9","13","null","null","0","11","null","null","0","11","null","null","0","11","null","null","71","46","null","null","71","46","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","5","7","null","null","10","11","null","null",
"1400000US17031380700","Census Tract 3807, Cook County, Illinois","476","93","null","null","256","74","null","null","206","null","70","null","50","40","null","null","35","31","null","null","15","16","null","null","0","11","null","null","0","11","null","null","0","11","null","null","182","61","null","null","113","49","null","null","0","11","null","null","51","41","null","null","18","30","null","null","0","null","11","null","0","11","null","null","0","11","null","null","22","35","null","null","3","5","null","null","9","14","null","null","4","6","null","null",
"1400000US17031381200","Census Tract 3812, Cook County, Illinois","964","182","null","null","471","179","null","null","431","null","177","null","40","48","null","null","40","48","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","429","180","null","null","131","94","null","null","0","11","null","null","298","127","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","23","46","null","null","0","11","null","null","0","11","null","null","41","57","null","null",
"1400000US17031381400","Census Tract 3814, Cook County, Illinois","683","161","null","null","381","126","null","null","283","null","109","null","98","60","null","null","98","60","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","230","78","null","null","115","60","null","null","0","11","null","null","109","60","null","null","6","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","48","54","null","null","0","11","null","null","24","36","null","null",
"1400000US17031381500","Census Tract 3815, Cook County, Illinois","151","104","null","null","64","61","null","null","24","null","24","null","40","60","null","null","40","60","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","62","51","null","null","0","11","null","null","0","11","null","null","62","51","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","5","8","null","null","20","21","null","null","0","11","null","null",
"1400000US17031381700","Census Tract 3817, Cook County, Illinois","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null",
"1400000US17031381800","Census Tract 3818, Cook County, Illinois","549","144","null","null","288","106","null","null","279","null","107","null","9","13","null","null","9","13","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","199","97","null","null","82","54","null","null","0","11","null","null","105","86","null","null","12","18","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","31","31","null","null","12","19","null","null","19","23","null","null",
"1400000US17031381900","Census Tract 3819, Cook County, Illinois","547","143","null","null","365","119","null","null","337","null","124","null","28","23","null","null","28","23","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","139","54","null","null","105","45","null","null","0","11","null","null","34","31","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","8","12","null","null","9","13","null","null","26","17","null","null",
"1400000US17031390100","Census Tract 3901, Cook County, Illinois","725","104","null","null","420","69","null","null","384","null","63","null","36","24","null","null","20","16","null","null","16","18","null","null","0","11","null","null","0","11","null","null","0","11","null","null","200","70","null","null","166","69","null","null","0","11","null","null","8","12","null","null","26","23","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","6","10","null","null","8","11","null","null","91","49","null","null",
"1400000US17031390200","Census Tract 3902, Cook County, Illinois","941","120","null","null","533","102","null","null","480","null","95","null","53","48","null","null","48","48","null","null","5","7","null","null","0","11","null","null","0","11","null","null","0","11","null","null","265","89","null","null","148","67","null","null","0","11","null","null","71","44","null","null","46","45","null","null","0","null","11","null","0","11","null","null","0","11","null","null","20","23","null","null","34","36","null","null","0","11","null","null","89","57","null","null",
"1400000US17031390300","Census Tract 3903, Cook County, Illinois","903","173","null","null","589","148","null","null","583","null","148","null","6","12","null","null","0","11","null","null","6","12","null","null","0","11","null","null","0","11","null","null","0","11","null","null","231","90","null","null","144","67","null","null","0","11","null","null","87","65","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","23","26","null","null","0","11","null","null","60","59","null","null",
"1400000US17031390400","Census Tract 3904, Cook County, Illinois","1086","272","null","null","565","204","null","null","534","null","204","null","31","38","null","null","22","37","null","null","0","11","null","null","0","11","null","null","9","14","null","null","0","11","null","null","256","125","null","null","247","124","null","null","0","11","null","null","9","15","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","33","41","null","null","148","79","null","null","43","35","null","null","41","50","null","null",
"1400000US17031390500","Census Tract 3905, Cook County, Illinois","779","110","null","null","369","95","null","null","311","null","83","null","58","31","null","null","19","14","null","null","24","24","null","null","15","14","null","null","0","11","null","null","0","11","null","null","203","67","null","null","141","53","null","null","0","11","null","null","54","41","null","null","8","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","35","25","null","null","51","25","null","null","23","26","null","null","98","46","null","null",
"1400000US17031390600","Census Tract 3906, Cook County, Illinois","974","123","null","null","552","121","null","null","493","null","116","null","59","34","null","null","49","31","null","null","10","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","229","61","null","null","179","54","null","null","4","7","null","null","22","21","null","null","24","17","null","null","0","null","11","null","16","16","null","null","1","5","null","null","40","25","null","null","58","27","null","null","19","16","null","null","59","27","null","null",
"1400000US17031390700","Census Tract 3907, Cook County, Illinois","2405","441","null","null","933","306","null","null","894","null","290","null","39","60","null","null","39","60","null","null","0","15","null","null","0","15","null","null","0","15","null","null","0","15","null","null","1142","322","null","null","665","200","null","null","0","15","null","null","322","241","null","null","155","93","null","null","0","null","15","null","0","15","null","null","0","15","null","null","61","78","null","null","110","104","null","null","0","15","null","null","159","97","null","null",
"1400000US17031400300","Census Tract 4003, Cook County, Illinois","449","76","null","null","211","69","null","null","153","null","62","null","58","48","null","null","58","48","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","162","58","null","null","107","49","null","null","0","11","null","null","55","32","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","14","22","null","null","44","40","null","null","0","11","null","null","18","28","null","null",
"1400000US17031400400","Census Tract 4004, Cook County, Illinois","610","136","null","null","330","96","null","null","299","null","86","null","31","29","null","null","31","29","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","248","112","null","null","136","61","null","null","0","11","null","null","103","93","null","null","9","13","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","21","26","null","null","0","11","null","null","11","16","null","null",
"1400000US17031400500","Census Tract 4005, Cook County, Illinois","567","112","null","null","277","88","null","null","249","null","86","null","28","26","null","null","28","26","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","242","105","null","null","150","73","null","null","20","32","null","null","72","56","null","null","0","11","null","null","0","null","11","null","13","19","null","null","0","11","null","null","0","11","null","null","29","27","null","null","0","11","null","null","6","8","null","null",
"1400000US17031400800","Census Tract 4008, Cook County, Illinois","847","216","null","null","330","151","null","null","257","null","141","null","73","93","null","null","73","93","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","352","172","null","null","263","152","null","null","0","11","null","null","89","75","null","null","0","11","null","null","0","null","11","null","45","70","null","null","0","11","null","null","0","11","null","null","91","68","null","null","0","11","null","null","29","46","null","null",
"1400000US17031410100","Census Tract 4101, Cook County, Illinois","1129","181","null","null","209","94","null","null","166","null","72","null","43","67","null","null","0","11","null","null","43","67","null","null","0","11","null","null","0","11","null","null","0","11","null","null","438","113","null","null","371","109","null","null","0","11","null","null","15","19","null","null","52","47","null","null","0","null","11","null","27","45","null","null","0","11","null","null","68","54","null","null","213","129","null","null","9","13","null","null","165","59","null","null",
"1400000US17031410200","Census Tract 4102, Cook County, Illinois","599","105","null","null","159","44","null","null","144","null","40","null","15","21","null","null","15","21","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","233","72","null","null","211","71","null","null","0","11","null","null","22","26","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","18","19","null","null","153","60","null","null","0","11","null","null","36","34","null","null",
"1400000US17031410500","Census Tract 4105, Cook County, Illinois","1246","205","null","null","463","132","null","null","422","null","131","null","41","43","null","null","18","25","null","null","0","11","null","null","0","11","null","null","23","35","null","null","0","11","null","null","344","111","null","null","235","93","null","null","0","11","null","null","95","62","null","null","14","21","null","null","0","null","11","null","0","11","null","null","0","11","null","null","106","62","null","null","301","129","null","null","0","11","null","null","32","32","null","null",
"1400000US17031410600","Census Tract 4106, Cook County, Illinois","1232","182","null","null","339","94","null","null","306","null","90","null","33","31","null","null","23","26","null","null","10","16","null","null","0","11","null","null","0","11","null","null","0","11","null","null","273","101","null","null","162","70","null","null","0","11","null","null","91","57","null","null","20","22","null","null","0","null","11","null","9","13","null","null","0","11","null","null","95","59","null","null","436","112","null","null","20","23","null","null","60","48","null","null",
"1400000US17031410700","Census Tract 4107, Cook County, Illinois","1108","196","null","null","266","112","null","null","235","null","109","null","31","23","null","null","21","23","null","null","0","11","null","null","0","11","null","null","0","11","null","null","10","15","null","null","250","94","null","null","185","83","null","null","0","11","null","null","17","17","null","null","48","39","null","null","0","null","11","null","0","11","null","null","0","11","null","null","83","52","null","null","411","119","null","null","9","14","null","null","89","52","null","null",
"1400000US17031410800","Census Tract 4108, Cook County, Illinois","1438","217","null","null","465","133","null","null","448","null","135","null","17","21","null","null","9","15","null","null","8","16","null","null","0","11","null","null","0","11","null","null","0","11","null","null","435","160","null","null","321","142","null","null","0","11","null","null","45","53","null","null","69","44","null","null","0","null","11","null","0","11","null","null","0","11","null","null","75","45","null","null","344","99","null","null","0","11","null","null","119","56","null","null",
"1400000US17031410900","Census Tract 4109, Cook County, Illinois","1673","188","null","null","619","122","null","null","508","null","111","null","111","49","null","null","79","44","null","null","16","17","null","null","5","9","null","null","11","16","null","null","0","11","null","null","494","133","null","null","399","135","null","null","0","11","null","null","56","48","null","null","39","29","null","null","0","null","11","null","27","32","null","null","0","11","null","null","92","57","null","null","341","118","null","null","8","11","null","null","92","49","null","null",
"1400000US17031411000","Census Tract 4110, Cook County, Illinois","1664","242","null","null","537","158","null","null","479","null","145","null","58","99","null","null","1","3","null","null","57","99","null","null","0","11","null","null","0","11","null","null","0","11","null","null","595","151","null","null","392","128","null","null","0","11","null","null","90","66","null","null","113","84","null","null","0","null","11","null","11","19","null","null","0","11","null","null","91","73","null","null","306","117","null","null","8","16","null","null","116","84","null","null",
"1400000US17031411100","Census Tract 4111, Cook County, Illinois","1115","113","null","null","141","41","null","null","128","null","37","null","13","14","null","null","8","12","null","null","5","8","null","null","0","11","null","null","0","11","null","null","0","11","null","null","148","51","null","null","17","19","null","null","0","11","null","null","59","40","null","null","72","31","null","null","0","null","11","null","6","9","null","null","0","11","null","null","64","33","null","null","651","98","null","null","5","7","null","null","100","38","null","null",
