"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002EA","B08301_002M","B08301_002MA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008EA","B08301_008M","B08301_008MA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012EA","B08301_012M","B08301_012MA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015M","B08301_015MA","B08301_015EA","B08301_016E","B08301_016M","B08301_016MA","B08301_016EA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020EA","B08301_020M","B08301_020MA","B08301_021E","B08301_021M","B08301_021MA","B08301_021EA",
"1400000US17031825000","Census Tract 8250, Cook County, Illinois","2425","null","323","null","2096","null","306","null","1934","null","287","null","162","null","94","null","153","null","94","null","9","14","null","null","0","null","11","null","0","null","11","null","0","null","11","null","207","null","91","null","56","39","null","null","0","null","11","null","0","null","11","null","151","null","82","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","41","36","null","null","0","null","11","null","81","44","null","null",
"1400000US17031825200","Census Tract 8252, Cook County, Illinois","953","null","125","null","890","null","114","null","803","null","111","null","87","null","51","null","68","null","41","null","7","11","null","null","12","null","17","null","0","null","11","null","0","null","11","null","52","null","30","null","11","18","null","null","0","null","11","null","11","null","17","null","30","null","19","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","11","18","null","null",
"1400000US17031825302","Census Tract 8253.02, Cook County, Illinois","3238","null","398","null","2832","null","349","null","2678","null","341","null","154","null","101","null","28","null","32","null","48","55","null","null","23","null","40","null","55","null","76","null","0","null","15","null","226","null","107","null","0","15","null","null","0","null","15","null","30","null","36","null","196","null","108","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","55","69","null","null","78","null","112","null","47","43","null","null",
"1400000US17031825303","Census Tract 8253.03, Cook County, Illinois","1943","null","195","null","1572","null","177","null","1447","null","195","null","125","null","84","null","91","null","60","null","34","55","null","null","0","null","11","null","0","null","11","null","0","null","11","null","209","null","109","null","24","37","null","null","0","null","11","null","9","null","16","null","176","null","102","null","0","11","null","null","0","11","null","null","0","null","11","null","44","null","63","null","35","31","null","null","16","null","22","null","67","53","null","null",
"1400000US17031825304","Census Tract 8253.04, Cook County, Illinois","2263","null","210","null","1911","null","196","null","1696","null","232","null","215","null","97","null","206","null","99","null","9","14","null","null","0","null","11","null","0","null","11","null","0","null","11","null","168","null","105","null","41","65","null","null","0","null","11","null","9","null","14","null","118","null","71","null","0","11","null","null","8","12","null","null","0","null","11","null","41","null","66","null","28","25","null","null","14","null","16","null","93","70","null","null",
"1400000US17031825400","Census Tract 8254, Cook County, Illinois","2846","null","349","null","2432","null","348","null","2286","null","349","null","146","null","86","null","131","null","83","null","15","24","null","null","0","null","15","null","0","null","15","null","0","null","15","null","153","null","82","null","39","38","null","null","0","null","15","null","0","null","15","null","114","null","74","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","161","218","null","null","0","null","15","null","100","89","null","null",
"1400000US17031825501","Census Tract 8255.01, Cook County, Illinois","2160","null","270","null","1779","null","271","null","1647","null","257","null","132","null","79","null","115","null","79","null","0","15","null","null","17","null","24","null","0","null","15","null","0","null","15","null","200","null","105","null","85","75","null","null","0","null","15","null","51","null","43","null","64","null","51","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","15","null","null","38","null","36","null","143","64","null","null",
"1400000US17031825503","Census Tract 8255.03, Cook County, Illinois","3002","null","458","null","2358","null","470","null","2170","null","442","null","188","null","131","null","174","null","123","null","0","15","null","null","14","null","23","null","0","null","15","null","0","null","15","null","330","null","182","null","70","66","null","null","0","null","15","null","81","null","99","null","179","null","140","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","20","33","null","null","51","null","86","null","243","125","null","null",
"1400000US17031825504","Census Tract 8255.04, Cook County, Illinois","1524","null","212","null","1440","null","192","null","1344","null","187","null","96","null","98","null","96","null","98","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","35","null","40","null","0","11","null","null","0","null","11","null","0","null","11","null","35","null","40","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","49","47","null","null",
"1400000US17031825505","Census Tract 8255.05, Cook County, Illinois","2164","null","248","null","1859","null","244","null","1763","null","239","null","96","null","74","null","87","null","69","null","9","14","null","null","0","null","15","null","0","null","15","null","0","null","15","null","163","null","84","null","59","60","null","null","7","null","12","null","38","null","40","null","59","null","40","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","21","28","null","null","13","null","20","null","108","67","null","null",
"1400000US17031825600","Census Tract 8256, Cook County, Illinois","2036","null","289","null","1717","null","285","null","1612","null","269","null","105","null","65","null","77","null","55","null","0","15","null","null","9","null","13","null","0","null","15","null","19","null","20","null","97","null","69","null","52","47","null","null","0","null","15","null","16","null","24","null","29","null","34","null","0","15","null","null","0","15","null","null","20","null","22","null","0","null","15","null","21","24","null","null","55","null","56","null","126","97","null","null",
"1400000US17031825700","Census Tract 8257, Cook County, Illinois","1492","null","176","null","1262","null","178","null","1055","null","175","null","207","null","76","null","184","null","65","null","23","35","null","null","0","null","11","null","0","null","11","null","0","null","11","null","152","null","59","null","45","32","null","null","0","null","11","null","37","null","37","null","70","null","36","null","0","11","null","null","11","17","null","null","0","null","11","null","0","null","11","null","21","24","null","null","13","null","18","null","33","26","null","null",
"1400000US17031825801","Census Tract 8258.01, Cook County, Illinois","1193","null","202","null","992","null","202","null","807","null","193","null","185","null","97","null","174","null","93","null","11","18","null","null","0","null","11","null","0","null","11","null","0","null","11","null","150","null","91","null","124","83","null","null","0","null","11","null","5","null","11","null","21","null","24","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","51","58","null","null",
"1400000US17031825802","Census Tract 8258.02, Cook County, Illinois","2453","null","387","null","2131","null","333","null","2024","null","319","null","107","null","86","null","107","null","86","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","179","null","119","null","77","101","null","null","0","null","15","null","0","null","15","null","102","null","75","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","23","34","null","null","20","null","24","null","100","90","null","null",
"1400000US17031825803","Census Tract 8258.03, Cook County, Illinois","2699","null","406","null","2349","null","378","null","2146","null","378","null","203","null","165","null","178","null","148","null","25","58","null","null","0","null","15","null","0","null","15","null","0","null","15","null","171","null","110","null","0","15","null","null","0","null","15","null","50","null","54","null","121","null","89","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","13","21","null","null","98","null","117","null","68","56","null","null",
"1400000US17031825900","Census Tract 8259, Cook County, Illinois","1478","null","277","null","1312","null","263","null","1177","null","272","null","135","null","75","null","135","null","75","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","105","null","68","null","57","48","null","null","0","null","11","null","39","null","37","null","9","null","15","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","29","45","null","null","7","null","12","null","25","26","null","null",
"1400000US17031826000","Census Tract 8260, Cook County, Illinois","1173","null","242","null","988","null","244","null","862","null","246","null","126","null","113","null","55","null","57","null","71","101","null","null","0","null","11","null","0","null","11","null","0","null","11","null","91","null","64","null","76","61","null","null","0","null","11","null","0","null","11","null","15","null","18","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","26","33","null","null","58","null","69","null","10","15","null","null",
"1400000US17031826100","Census Tract 8261, Cook County, Illinois","2912","null","421","null","2194","null","347","null","2060","null","358","null","134","null","117","null","103","null","99","null","0","15","null","null","31","null","56","null","0","null","15","null","0","null","15","null","546","null","174","null","356","146","null","null","0","null","15","null","27","null","33","null","163","null","108","null","0","15","null","null","37","60","null","null","0","null","15","null","50","null","80","null","28","47","null","null","0","null","15","null","57","56","null","null",
"1400000US17031826201","Census Tract 8262.01, Cook County, Illinois","1158","null","227","null","984","null","214","null","874","null","208","null","110","null","75","null","110","null","75","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","145","null","78","null","56","46","null","null","0","null","11","null","24","null","27","null","65","null","45","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","9","16","null","null","0","null","11","null","20","19","null","null",
"1400000US17031826202","Census Tract 8262.02, Cook County, Illinois","2545","null","367","null","2197","null","333","null","1956","null","317","null","241","null","193","null","241","null","193","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","223","null","124","null","48","76","null","null","0","null","15","null","40","null","43","null","135","null","85","null","0","15","null","null","40","69","null","null","0","null","15","null","35","null","43","null","13","21","null","null","0","null","15","null","37","40","null","null",
"1400000US17031826301","Census Tract 8263.01, Cook County, Illinois","1796","null","301","null","1432","null","231","null","1204","null","220","null","228","null","156","null","177","null","150","null","29","31","null","null","14","null","22","null","0","null","11","null","8","null","13","null","243","null","99","null","107","69","null","null","0","null","11","null","13","null","16","null","123","null","73","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","10","15","null","null","44","null","68","null","67","55","null","null",
"1400000US17031826303","Census Tract 8263.03, Cook County, Illinois","1675","null","215","null","1318","null","194","null","1135","null","191","null","183","null","108","null","131","null","95","null","52","64","null","null","0","null","11","null","0","null","11","null","0","null","11","null","239","null","116","null","147","79","null","null","0","null","11","null","19","null","22","null","73","null","53","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","47","null","33","null","71","64","null","null",
"1400000US17031826304","Census Tract 8263.04, Cook County, Illinois","1147","null","200","null","851","null","157","null","783","null","151","null","68","null","63","null","68","null","63","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","283","null","102","null","172","77","null","null","0","null","11","null","34","null","40","null","77","null","61","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","13","20","null","null",
"1400000US17031826401","Census Tract 8264.01, Cook County, Illinois","1687","null","228","null","1481","null","211","null","1322","null","236","null","159","null","97","null","90","null","59","null","69","61","null","null","0","null","11","null","0","null","11","null","0","null","11","null","165","null","103","null","141","101","null","null","0","null","11","null","7","null","11","null","17","null","19","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","30","34","null","null","0","null","11","null","11","15","null","null",
"1400000US17031826402","Census Tract 8264.02, Cook County, Illinois","1973","null","212","null","1563","null","212","null","1483","null","211","null","80","null","54","null","64","null","48","null","16","19","null","null","0","null","15","null","0","null","15","null","0","null","15","null","338","null","134","null","192","107","null","null","0","null","15","null","62","null","44","null","84","null","51","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","18","28","null","null","54","null","39","null","0","15","null","null",
"1400000US17031826500","Census Tract 8265, Cook County, Illinois","2092","null","292","null","1649","null","269","null","1476","null","268","null","173","null","103","null","147","null","94","null","0","15","null","null","3","null","6","null","0","null","15","null","23","null","37","null","360","null","122","null","234","108","null","null","0","null","15","null","37","null","30","null","89","null","64","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","27","31","null","null","47","null","39","null","9","14","null","null",
"1400000US17031826600","Census Tract 8266, Cook County, Illinois","1830","null","242","null","1500","null","199","null","1133","null","184","null","367","null","143","null","222","null","104","null","56","61","null","null","15","null","22","null","13","null","19","null","61","null","58","null","261","null","106","null","131","84","null","null","0","null","15","null","36","null","26","null","67","null","48","null","27","43","null","null","0","15","null","null","0","null","15","null","0","null","15","null","33","41","null","null","19","null","24","null","17","28","null","null",
"1400000US17031826700","Census Tract 8267, Cook County, Illinois","1965","null","287","null","1508","null","281","null","1331","null","261","null","177","null","102","null","111","null","84","null","12","20","null","null","0","null","15","null","0","null","15","null","54","null","64","null","338","null","160","null","217","111","null","null","0","null","15","null","49","null","49","null","72","null","84","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","46","39","null","null","0","null","15","null","73","67","null","null",
"1400000US17031826800","Census Tract 8268, Cook County, Illinois","1680","null","209","null","1553","null","200","null","1328","null","193","null","225","null","129","null","183","null","131","null","17","21","null","null","0","null","15","null","25","null","28","null","0","null","15","null","87","null","73","null","57","69","null","null","0","null","15","null","12","null","18","null","18","null","21","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","15","null","null","5","null","10","null","35","32","null","null",
"1400000US17031826901","Census Tract 8269.01, Cook County, Illinois","541","null","152","null","442","null","124","null","442","null","124","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","43","null","39","null","20","26","null","null","0","null","11","null","11","null","20","null","12","null","19","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","23","28","null","null","0","null","11","null","33","47","null","null",
"1400000US17031826902","Census Tract 8269.02, Cook County, Illinois","328","null","102","null","260","null","77","null","253","null","76","null","7","null","11","null","7","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","61","null","63","null","44","61","null","null","0","null","11","null","17","null","21","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","7","10","null","null","0","null","11","null","0","11","null","null",
"1400000US17031827000","Census Tract 8270, Cook County, Illinois","1097","null","199","null","788","null","166","null","764","null","162","null","24","null","31","null","24","null","31","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","263","null","109","null","185","96","null","null","0","null","11","null","0","null","11","null","78","null","65","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","46","47","null","null","0","null","11","null","0","11","null","null",
"1400000US17031827100","Census Tract 8271, Cook County, Illinois","843","null","172","null","675","null","164","null","596","null","154","null","79","null","49","null","50","null","42","null","0","11","null","null","23","null","23","null","6","null","10","null","0","null","11","null","129","null","67","null","67","48","null","null","0","null","11","null","0","null","11","null","62","null","50","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","39","39","null","null","0","null","11","null","0","11","null","null",
"1400000US17031827200","Census Tract 8272, Cook County, Illinois","1907","null","321","null","1677","null","292","null","1590","null","297","null","87","null","45","null","41","null","31","null","10","16","null","null","14","null","16","null","22","null","23","null","0","null","11","null","100","null","72","null","67","66","null","null","0","null","11","null","0","null","11","null","33","null","30","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","21","19","null","null","22","null","32","null","87","48","null","null",
"1400000US17031827300","Census Tract 8273, Cook County, Illinois","830","null","222","null","627","null","199","null","586","null","197","null","41","null","40","null","20","null","22","null","0","11","null","null","0","null","11","null","21","null","33","null","0","null","11","null","125","null","70","null","89","59","null","null","0","null","11","null","19","null","20","null","17","null","19","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","48","47","null","null","0","null","11","null","30","32","null","null",
"1400000US17031827400","Census Tract 8274, Cook County, Illinois","1474","null","371","null","1246","null","305","null","1157","null","307","null","89","null","77","null","89","null","77","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","163","null","101","null","99","77","null","null","0","null","11","null","12","null","20","null","52","null","59","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","11","17","null","null","0","null","11","null","54","61","null","null",
"1400000US17031827500","Census Tract 8275, Cook County, Illinois","1643","null","286","null","1377","null","226","null","1304","null","215","null","73","null","58","null","73","null","58","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","71","null","54","null","53","47","null","null","0","null","15","null","0","null","15","null","18","null","27","null","0","15","null","null","0","15","null","null","0","null","15","null","33","null","54","null","2","4","null","null","94","null","104","null","66","56","null","null",
"1400000US17031827600","Census Tract 8276, Cook County, Illinois","954","null","179","null","774","null","168","null","694","null","164","null","80","null","71","null","39","null","49","null","41","45","null","null","0","null","11","null","0","null","11","null","0","null","11","null","163","null","98","null","23","28","null","null","0","null","11","null","80","null","88","null","60","null","50","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","6","null","16","null","11","16","null","null",
"1400000US17031827700","Census Tract 8277, Cook County, Illinois","1000","null","136","null","871","null","120","null","811","null","129","null","60","null","43","null","53","null","42","null","0","11","null","null","7","null","9","null","0","null","11","null","0","null","11","null","95","null","49","null","10","14","null","null","0","null","11","null","34","null","26","null","51","null","38","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","6","10","null","null","22","null","27","null","6","9","null","null",
"1400000US17031827801","Census Tract 8278.01, Cook County, Illinois","2105","null","257","null","1766","null","229","null","1585","null","252","null","181","null","95","null","124","null","81","null","57","62","null","null","0","null","15","null","0","null","15","null","0","null","15","null","277","null","113","null","82","77","null","null","0","null","15","null","59","null","55","null","136","null","62","null","0","15","null","null","0","15","null","null","0","null","15","null","0","null","15","null","0","15","null","null","20","null","24","null","42","41","null","null",
"1400000US17031827802","Census Tract 8278.02, Cook County, Illinois","1541","null","218","null","1354","null","224","null","1152","null","260","null","202","null","127","null","130","null","80","null","72","78","null","null","0","null","11","null","0","null","11","null","0","null","11","null","131","null","93","null","91","75","null","null","0","null","11","null","31","null","37","null","9","null","15","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","17","24","null","null","21","null","26","null","18","19","null","null",
"1400000US17031827804","Census Tract 8278.04, Cook County, Illinois","1553","null","202","null","1263","null","192","null","1075","null","191","null","188","null","79","null","154","null","76","null","24","36","null","null","10","null","17","null","0","null","11","null","0","null","11","null","137","null","76","null","9","14","null","null","0","null","11","null","59","null","35","null","69","null","63","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","11","18","null","null","50","null","55","null","92","59","null","null",
"1400000US17031827805","Census Tract 8278.05, Cook County, Illinois","1198","null","180","null","945","null","154","null","876","null","142","null","69","null","38","null","48","null","31","null","17","20","null","null","0","null","11","null","0","null","11","null","4","null","9","null","189","null","58","null","51","43","null","null","0","null","11","null","43","null","42","null","95","null","55","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","9","14","null","null","0","null","11","null","55","38","null","null",
"1400000US17031827901","Census Tract 8279.01, Cook County, Illinois","1217","null","237","null","1062","null","228","null","909","null","158","null","153","null","119","null","151","null","119","null","0","11","null","null","0","null","11","null","2","null","4","null","0","null","11","null","85","null","72","null","36","52","null","null","0","null","11","null","32","null","41","null","17","null","17","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","6","null","9","null","64","40","null","null",
"1400000US17031827902","Census Tract 8279.02, Cook County, Illinois","2132","null","303","null","1962","null","276","null","1776","null","269","null","186","null","83","null","175","null","81","null","0","11","null","null","0","null","11","null","0","null","11","null","11","null","17","null","86","null","53","null","21","32","null","null","0","null","11","null","0","null","11","null","65","null","42","null","0","11","null","null","7","12","null","null","0","null","11","null","0","null","11","null","52","62","null","null","15","null","23","null","10","17","null","null",
"1400000US17031828000","Census Tract 8280, Cook County, Illinois","2329","null","242","null","1930","null","227","null","1839","null","219","null","91","null","72","null","61","null","65","null","14","22","null","null","16","null","20","null","0","null","15","null","0","null","15","null","162","null","91","null","51","59","null","null","0","null","15","null","27","null","26","null","84","null","60","null","0","15","null","null","19","30","null","null","0","null","15","null","12","null","20","null","68","68","null","null","65","null","87","null","73","59","null","null",
"1400000US17031828100","Census Tract 8281, Cook County, Illinois","2119","null","302","null","1794","null","321","null","1673","null","337","null","121","null","91","null","76","null","62","null","16","25","null","null","29","null","65","null","0","null","11","null","0","null","11","null","233","null","135","null","75","71","null","null","0","null","11","null","0","null","11","null","158","null","107","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","22","35","null","null","0","null","11","null","70","67","null","null",
"1400000US17031828201","Census Tract 8282.01, Cook County, Illinois","1950","null","263","null","1626","null","261","null","1426","null","214","null","200","null","139","null","97","null","86","null","88","100","null","null","14","null","22","null","1","null","3","null","0","null","11","null","215","null","123","null","45","69","null","null","0","null","11","null","106","null","101","null","64","null","37","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","34","31","null","null","47","null","38","null","28","27","null","null",
"1400000US17031828202","Census Tract 8282.02, Cook County, Illinois","2406","null","285","null","2257","null","310","null","1969","null","336","null","288","null","163","null","227","null","147","null","51","69","null","null","10","null","16","null","0","null","11","null","0","null","11","null","64","null","58","null","0","11","null","null","0","null","11","null","10","null","17","null","54","null","56","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","16","19","null","null","35","null","53","null","34","36","null","null",
"1400000US17031828300","Census Tract 8283, Cook County, Illinois","1442","null","181","null","1305","null","172","null","1188","null","166","null","117","null","50","null","92","null","42","null","15","17","null","null","10","null","16","null","0","null","11","null","0","null","11","null","47","null","33","null","5","10","null","null","0","null","11","null","6","null","9","null","36","null","28","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","44","38","null","null","0","null","11","null","46","36","null","null",
