"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003M","B08301_003MA","B08301_003EA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011EA","B08301_011M","B08301_011MA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031801601","Census Tract 8016.01, Cook County, Illinois","1894","164","null","null","1603","164","null","null","1478","169","null","null","125","null","91","null","75","null","51","null","37","46","null","null","13","21","null","null","0","11","null","null","0","11","null","null","129","null","61","null","11","null","18","null","0","11","null","null","22","25","null","null","96","56","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","23","24","null","null","0","11","null","null","139","null","70","null",
"1400000US17031801603","Census Tract 8016.03, Cook County, Illinois","1496","216","null","null","1238","197","null","null","984","142","null","null","254","null","128","null","129","null","96","null","125","99","null","null","0","11","null","null","0","11","null","null","0","11","null","null","119","null","70","null","33","null","42","null","0","11","null","null","0","11","null","null","86","55","null","null","0","null","11","null","8","null","14","null","0","11","null","null","0","null","11","null","0","11","null","null","19","30","null","null","112","null","87","null",
"1400000US17031801605","Census Tract 8016.05, Cook County, Illinois","2491","268","null","null","1914","251","null","null","1714","237","null","null","200","null","149","null","183","null","147","null","17","27","null","null","0","16","null","null","0","16","null","null","0","16","null","null","342","null","111","null","10","null","16","null","0","16","null","null","18","32","null","null","314","92","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","0","16","null","null","0","16","null","null","235","null","95","null",
"1400000US17031801606","Census Tract 8016.06, Cook County, Illinois","2674","319","null","null","2219","322","null","null","2132","322","null","null","87","null","57","null","86","null","57","null","0","16","null","null","0","16","null","null","0","16","null","null","1","2","null","null","181","null","86","null","18","null","26","null","0","16","null","null","0","16","null","null","163","80","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","60","77","null","null","31","36","null","null","183","null","90","null",
"1400000US17031801607","Census Tract 8016.07, Cook County, Illinois","2747","277","null","null","2307","257","null","null","2126","256","null","null","181","null","144","null","118","null","93","null","42","67","null","null","21","31","null","null","0","16","null","null","0","16","null","null","242","null","116","null","20","null","25","null","0","16","null","null","25","35","null","null","197","104","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","12","17","null","null","6","10","null","null","180","null","112","null",
"1400000US17031801608","Census Tract 8016.08, Cook County, Illinois","2723","276","null","null","2221","306","null","null","1949","273","null","null","272","null","136","null","272","null","136","null","0","16","null","null","0","16","null","null","0","16","null","null","0","16","null","null","221","null","91","null","0","null","16","null","0","16","null","null","12","20","null","null","209","85","null","null","0","null","16","null","0","null","16","null","0","16","null","null","18","null","28","null","76","79","null","null","0","16","null","null","187","null","72","null",
"1400000US17031801701","Census Tract 8017.01, Cook County, Illinois","1826","141","null","null","1489","158","null","null","1285","161","null","null","204","null","79","null","204","null","79","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","178","null","76","null","8","null","12","null","0","11","null","null","27","28","null","null","143","70","null","null","0","null","11","null","6","null","10","null","0","11","null","null","0","null","11","null","37","28","null","null","33","30","null","null","83","null","52","null",
"1400000US17031801702","Census Tract 8017.02, Cook County, Illinois","2203","188","null","null","1455","177","null","null","1370","172","null","null","85","null","44","null","61","null","40","null","10","16","null","null","7","11","null","null","0","11","null","null","7","12","null","null","444","null","110","null","0","null","11","null","0","11","null","null","24","27","null","null","420","103","null","null","0","null","11","null","0","null","11","null","0","11","null","null","20","null","23","null","52","31","null","null","0","11","null","null","232","null","97","null",
"1400000US17031801800","Census Tract 8018, Cook County, Illinois","2383","262","null","null","1819","265","null","null","1675","240","null","null","144","null","84","null","123","null","83","null","13","21","null","null","0","16","null","null","8","17","null","null","0","16","null","null","239","null","88","null","7","null","13","null","0","16","null","null","9","15","null","null","223","90","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","52","70","null","null","17","25","null","null","256","null","117","null",
"1400000US17031801901","Census Tract 8019.01, Cook County, Illinois","1815","242","null","null","1454","240","null","null","1305","220","null","null","149","null","106","null","104","null","90","null","45","55","null","null","0","11","null","null","0","11","null","null","0","11","null","null","114","null","61","null","12","null","24","null","0","11","null","null","0","11","null","null","102","57","null","null","0","null","11","null","0","null","11","null","0","11","null","null","23","null","25","null","20","23","null","null","11","17","null","null","193","null","102","null",
"1400000US17031801902","Census Tract 8019.02, Cook County, Illinois","1329","175","null","null","1143","182","null","null","1041","165","null","null","102","null","84","null","65","null","78","null","19","20","null","null","0","11","null","null","18","20","null","null","0","11","null","null","103","null","52","null","0","null","11","null","0","11","null","null","9","14","null","null","94","50","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","22","25","null","null","0","11","null","null","61","null","42","null",
"1400000US17031802002","Census Tract 8020.02, Cook County, Illinois","2232","223","null","null","1763","217","null","null","1603","216","null","null","160","null","98","null","98","null","67","null","46","44","null","null","16","25","null","null","0","16","null","null","0","16","null","null","249","null","88","null","30","null","28","null","0","16","null","null","12","20","null","null","207","85","null","null","0","null","16","null","10","null","15","null","0","16","null","null","22","null","28","null","64","43","null","null","9","14","null","null","115","null","61","null",
"1400000US17031802003","Census Tract 8020.03, Cook County, Illinois","1326","147","null","null","991","145","null","null","841","153","null","null","150","null","64","null","150","null","64","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","125","null","68","null","0","null","11","null","0","11","null","null","0","11","null","null","125","68","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","30","36","null","null","0","11","null","null","180","null","87","null",
"1400000US17031802004","Census Tract 8020.04, Cook County, Illinois","2682","402","null","null","2446","372","null","null","2055","297","null","null","391","null","259","null","344","null","250","null","27","41","null","null","20","33","null","null","0","16","null","null","0","16","null","null","140","null","98","null","57","null","83","null","0","16","null","null","16","27","null","null","67","52","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","54","77","null","null","42","63","null","null","0","null","16","null",
"1400000US17031802100","Census Tract 8021, Cook County, Illinois","1553","141","null","null","1138","132","null","null","1077","134","null","null","61","null","36","null","52","null","35","null","2","4","null","null","0","11","null","null","7","12","null","null","0","11","null","null","281","null","87","null","11","null","17","null","6","11","null","null","18","20","null","null","246","83","null","null","0","null","11","null","0","null","11","null","0","11","null","null","5","null","9","null","35","31","null","null","0","11","null","null","94","null","51","null",
"1400000US17031802200","Census Tract 8022, Cook County, Illinois","1848","162","null","null","1345","153","null","null","1296","151","null","null","49","null","28","null","41","null","25","null","8","12","null","null","0","11","null","null","0","11","null","null","0","11","null","null","259","null","77","null","13","null","21","null","8","14","null","null","34","35","null","null","204","72","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","49","35","null","null","28","29","null","null","167","null","65","null",
"1400000US17031802300","Census Tract 8023, Cook County, Illinois","2176","261","null","null","1626","267","null","null","1555","281","null","null","71","null","60","null","69","null","59","null","0","16","null","null","0","16","null","null","0","16","null","null","2","4","null","null","314","null","85","null","0","null","16","null","0","16","null","null","11","19","null","null","303","89","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","80","61","null","null","0","16","null","null","156","null","71","null",
"1400000US17031802402","Census Tract 8024.02, Cook County, Illinois","2461","307","null","null","2093","258","null","null","1736","255","null","null","357","null","144","null","349","null","146","null","8","13","null","null","0","16","null","null","0","16","null","null","0","16","null","null","77","null","54","null","45","null","46","null","0","16","null","null","7","13","null","null","25","27","null","null","0","null","16","null","18","null","24","null","0","16","null","null","0","null","16","null","81","83","null","null","0","16","null","null","192","null","99","null",
"1400000US17031802403","Census Tract 8024.03, Cook County, Illinois","727","104","null","null","583","89","null","null","577","88","null","null","6","null","9","null","6","null","9","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","70","null","48","null","22","null","26","null","0","11","null","null","13","19","null","null","15","15","null","null","20","null","32","null","0","null","11","null","0","11","null","null","14","null","23","null","0","11","null","null","0","11","null","null","60","null","46","null",
"1400000US17031802404","Census Tract 8024.04, Cook County, Illinois","3760","364","null","null","3585","368","null","null","2999","381","null","null","586","null","181","null","495","null","193","null","29","33","null","null","62","72","null","null","0","16","null","null","0","16","null","null","53","null","44","null","0","null","16","null","0","16","null","null","14","23","null","null","39","37","null","null","0","null","16","null","46","null","71","null","0","16","null","null","0","null","16","null","0","16","null","null","0","16","null","null","76","null","76","null",
