"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","191600","null","22583","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","169300","null","14699","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","165700","null","24442","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","195000","null","12102","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","221700","null","58023","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","144300","null","22757","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","209200","null","49747","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","439400","null","148191","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","230500","null","38041","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","209500","null","47251","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","167700","null","34583","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","139300","null","28356","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","325700","null","21708","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","169500","null","20550","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","328200","null","21020","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","210200","null","27515","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","126700","null","59428","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","275900","null","52645","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","317900","null","35024","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","398600","null","58741","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","277300","null","35481","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","280400","null","39897","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","210100","null","32390","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","136200","null","43424","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","101700","null","13644","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","197200","null","33948","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","188700","null","22682","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","125800","null","33478","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","116100","null","7356","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","367500","null","47512","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","221200","null","34075","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","341400","null","40009","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","306500","null","42653","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","201300","null","43094","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","266000","null","35081","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","167000","null","12645","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","180200","null","17888","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","186000","null","13239","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","261100","null","47747","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","171700","null","23577","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","504500","null","80564","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","298500","null","40831","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","313600","null","57986","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","330500","null","21773","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","254200","null","25995","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","165000","null","44120","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","236900","null","33996","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","241900","null","27495","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","184100","null","53705","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","292000","null","17426","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","289700","null","36286","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","296100","null","68650","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","320700","null","21286","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","361800","null","27586","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","325100","null","45659","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","206400","null","71039","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","404600","null","47739","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","432100","null","34229","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","407700","null","62229","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","510200","null","137826","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","335300","null","101567","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","412000","null","40689","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","388900","null","207599","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","442200","null","41946","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","532800","null","62827","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","428400","null","37128","null",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","600700","null","66883","null",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","461200","null","93677","null",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","409300","null","72390","null",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","652400","null","77190","null",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","607900","null","61591","null",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","496200","null","103366","null",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","534900","null","89045","null",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","419000","null","100045","null",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","470700","null","45027","null",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","392700","null","63631","null",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","475800","null","86297","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","373700","null","43423","null",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","606000","null","93785","null",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","491100","null","74510","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","645100","null","78215","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","195500","null","10784","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","218300","null","20246","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","376000","null","21965","null",
