"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","283800","null","126577","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","179200","null","20113","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","170000","null","16601","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","221700","null","29069","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","207700","null","53136","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","311900","null","121162","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","237900","null","22429","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","336700","null","191952","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","232000","null","222835","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","233200","null","44188","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","165300","null","15645","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","183700","null","41070","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","369300","null","23211","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","171700","null","11418","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","351700","null","24472","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","292400","null","19745","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","163700","null","9042","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","280400","null","64832","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","381400","null","53272","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","424400","null","35298","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","161400","null","68172","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","356000","null","47562","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","268800","null","48097","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","186000","null","15640","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","108200","null","17421","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","228300","null","19058","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","221300","null","39365","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","141500","null","7419","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","151700","null","29321","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","359200","null","79736","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","342000","null","91236","null",
