"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","207600","29930","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","207400","19797","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","242600","111114","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","214100","25841","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","242400","42685","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","162300","15069","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","242500","24595","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","566500","158779","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","242900","25502","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","254400","32761","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","220100","14104","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","201400","16804","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","331300","25807","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","182100","43631","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","336000","27880","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","266900","30280","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","160400","9607","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","300300","59576","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","278400","34880","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","438600","60294","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","292400","31495","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","298900","52378","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","277500","32328","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","185200","73048","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","117800","7811","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","203600","27385","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","222700","47879","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","121000","31140","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","150800","35005","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","389200","53318","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","246400","98320","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","315500","51385","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","303700","42288","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","213500","14265","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","266700","36436","null","null",
