"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","494600","173630","null","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","495500","374182","null","null",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","633400","99533","null","null",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","606000","61101","null","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","781300","112857","null","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","202300","35299","null","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","219600","30785","null","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","478100","62517","null","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","519200","89562","null","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","751800","128939","null","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","617100","145560","null","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","396200","49623","null","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","357100","106598","null","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","421300","37129","null","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","429400","106425","null","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","454300","39416","null","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","593600","61372","null","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","890400","168865","null","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","604200","65951","null","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","518300","76518","null","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","781000","113842","null","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","669600","66351","null","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","665000","62990","null","null",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","586700","83992","null","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","427100","55931","null","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","485600","43964","null","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","311300","42784","null","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","342600","49205","null","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","332100","50686","null","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","311000","32438","null","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","575000","120678","null","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","361300","117568","null","null",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","626000","300045","null","null",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","356300","232535","null","null",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","729000","149175","null","null",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","622000","140181","null","null",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","834400","101696","null","null",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","810500","227604","null","null",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","774800","76552","null","null",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","601900","101452","null","null",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","861900","120326","null","null",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","1110300","373783","null","null",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","563900","164673","null","null",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","479900","300794","null","null",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","497700","145258","null","null",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","443000","100995","null","null",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","864200","112500","null","null",
