"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","252800","30076","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","169700","24938","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","175200","35991","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","189500","40298","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","217000","36386","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","306200","134570","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","229700","19904","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","303100","205869","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","232700","49786","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","236100","48014","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","165900","12608","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","164700","15066","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","348700","21675","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","187600","20994","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","328300","26079","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","277300","16887","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","156900","24111","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","307700","31611","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","353900","21957","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","397600","44257","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","220100","41231","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","347600","39678","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","287400","31345","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","178400","46358","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","107100","15464","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","224900","24508","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","187200","58606","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","158200","27060","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","140200","37838","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","364000","67258","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","319100","46948","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","403900","69697","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","327800","67334","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","199100","83901","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","295400","54784","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","196300","33362","null","null",
