"GEO_ID","NAME","B25077_001M","B25077_001MA","B25077_001E","B25077_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","80795","null","547100","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","60603","null","401700","null",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","103086","null","712000","null",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","82735","null","584700","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","107739","null","638500","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","13265","null","226200","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","11551","null","228300","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","30973","null","431000","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","55714","null","358000","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","99599","null","592900","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","66831","null","428800","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","47131","null","325400","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","35134","null","303700","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","49773","null","310100","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","39873","null","378500","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","35208","null","438500","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","22682","null","465400","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","188351","null","795800","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","106830","null","621100","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","108885","null","399000","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","43540","null","640000","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","99472","null","518300","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","70457","null","527000","null",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","86938","null","503000","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","74884","null","425300","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","27336","null","349600","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","35429","null","357200","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","32723","null","259400","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","41415","null","358900","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","18929","null","337700","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","72926","null","441700","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","80067","null","381700","null",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","44436","null","246900","null",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","42565","null","323700","null",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","79151","null","430200","null",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","46985","null","478900","null",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","48684","null","614300","null",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","94415","null","586400","null",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","57780","null","644700","null",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","42559","null","447300","null",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","96150","null","617300","null",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","209272","null","897500","null",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","80642","null","433600","null",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","131031","null","570200","null",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","47795","null","396700","null",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","31339","null","304200","null",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","138193","null","796900","null",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","90605","null","741900","null",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","60595","null","689800","null",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","66929","null","636800","null",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","31258","null","280100","null",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","31730","null","275300","null",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","31330","null","417200","null",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","75514","null","553600","null",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","131761","null","436900","null",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","52760","null","438800","null",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","169045","null","708600","null",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","114719","null","545900","null",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","56165","null","565300","null",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","132833","null","530300","null",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","104841","null","540000","null",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","49283","null","383200","null",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","96494","null","502400","null",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","45470","null","322500","null",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","109030","null","352400","null",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","24558","null","426600","null",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","99876","null","558900","null",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","16249","null","370900","null",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","30192","null","357300","null",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","34567","null","378200","null",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","17241","null","364800","null",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","21545","null","351600","null",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","24751","null","382600","null",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","15790","null","369100","null",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","18085","null","338300","null",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","12183","null","328400","null",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","15823","null","331700","null",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","22660","null","317700","null",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","13253","null","345600","null",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","17069","null","324300","null",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","38358","null","325100","null",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","21341","null","344200","null",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","33287","null","266300","null",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","27046","null","482200","null",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","36353","null","519500","null",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","28847","null","455400","null",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","39026","null","381400","null",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","27809","null","367300","null",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","37830","null","363400","null",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","37756","null","395500","null",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","33182","null","248500","null",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","44625","null","294700","null",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","39033","null","264100","null",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","63222","null","322500","null",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","20558","null","358900","null",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","68352","null","302800","null",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","46110","null","334200","null",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","46570","null","291300","null",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","54356","null","311400","null",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","39558","null","339600","null",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","83982","null","415000","null",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","22049","null","357500","null",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","35711","null","297300","null",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","27479","null","295100","null",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","29407","null","348600","null",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","17227","null","343700","null",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","39972","null","299000","null",
