"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","428200","null","90217","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","485000","null","164656","null",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","548000","null","113046","null",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","606200","null","63593","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","679200","null","169083","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","206500","null","17596","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","230600","null","44245","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","448100","null","73318","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","542900","null","64880","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","375800","null","63429","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","452800","null","152549","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","325700","null","36857","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","230000","null","25878","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","309900","null","49819","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","337800","null","34211","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","408100","null","42267","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","497700","null","58637","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","718800","null","70714","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","587800","null","45116","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","471700","null","115919","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","607100","null","53508","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","542700","null","121922","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","603500","null","50235","null",
