"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","205300","33428","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","195100","24871","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","232500","127756","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","213300","33251","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","228200","61947","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","154400","20707","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","233200","25418","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","431300","223449","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","226400","15324","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","237200","34372","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","193400","33791","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","158000","28318","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","316700","22209","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","174200","41290","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","338100","22693","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","253500","42645","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","150700","40599","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","281000","61412","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","293400","41328","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","376600","53107","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","265200","22674","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","292400","54332","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","246700","38164","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","152600","26394","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","103500","9350","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","191400","35232","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","201100","29805","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","132400","16053","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","118500","12892","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","366900","43630","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","239600","66543","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","313700","47887","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","299500","39624","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","196500","31120","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","274400","30316","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","170000","24098","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","184200","14942","null","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","176100","11630","null","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","254700","42888","null","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","161800","12630","null","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","495600","77115","null","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","327000","61051","null","null",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","283200","55622","null","null",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","342800","21809","null","null",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","256600","18614","null","null",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","196400","42717","null","null",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","243800","22415","null","null",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","244500","26635","null","null",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","198600","30939","null","null",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","293000","20236","null","null",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","320300","37078","null","null",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","306500","45981","null","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","320400","20187","null","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","357800","38971","null","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","332200","37728","null","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","254000","41366","null","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","401400","51203","null","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","405100","43239","null","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","342000","105782","null","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","448300","167883","null","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","304800","65097","null","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","397700","50330","null","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","516300","169991","null","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","439700","42992","null","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","468000","74698","null","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","405000","37424","null","null",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","616300","74562","null","null",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","427600","80780","null","null",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","376100","30849","null","null",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","660600","58320","null","null",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","620800","65707","null","null",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","527400","111974","null","null",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","545800","91218","null","null",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","495500","147884","null","null",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","493700","64332","null","null",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","411000","92190","null","null",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","493200","74763","null","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","366200","53859","null","null",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","570600","116708","null","null",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","494700","80968","null","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","622100","132372","null","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","197800","8968","null","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","214800","17279","null","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","366100","27389","null","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","501700","61582","null","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","527800","149283","null","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","393700","31337","null","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","290300","46073","null","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","247900","82302","null","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","296000","58754","null","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","339100","29994","null","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","413000","34981","null","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","468200","22466","null","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","678900","186556","null","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","570600","100060","null","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","386300","43034","null","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","597800","34383","null","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","643000","90189","null","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","473400","36258","null","null",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","475000","34030","null","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","357900","41091","null","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","371000","43280","null","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","331200","32077","null","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","245700","40255","null","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","295800","58963","null","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","343000","25220","null","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","329000","108118","null","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","338500","92314","null","null",
