"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","922","136","null","null","765","70","null","null","936","143","null","null","1144","103","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","1120","60","null","null","769","94","null","null","927","37","null","null","1233","77","null","null","1309","null","293","null","-","-","**","**","-","**","**","-",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","988","78","null","null","821","96","null","null","912","51","null","null","1357","88","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","979","43","null","null","789","108","null","null","963","28","null","null","1247","182","null","null","2166","null","179","null","-","-","**","**","-","**","**","-",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1004","63","null","null","939","21","null","null","1038","81","null","null","1233","249","null","null","1392","null","776","null","1455","null","1134","null","-","**","**","-",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","1007","58","null","null","906","66","null","null","993","45","null","null","1233","166","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1008","62","null","null","858","107","null","null","1014","63","null","null","1398","57","null","null","1606","null","378","null","-","-","**","**","-","**","**","-",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","727","92","null","null","330","70","null","null","671","439","null","null","1439","272","null","null","1488","null","223","null","-","-","**","**","-","**","**","-",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","1077","77","null","null","760","46","null","null","1001","77","null","null","1393","88","null","null","1191","null","503","null","-","-","**","**","-","**","**","-",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","1090","85","null","null","926","161","null","null","947","51","null","null","1257","97","null","null","1382","null","344","null","-","-","**","**","-","**","**","-",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","1044","79","null","null","773","51","null","null","981","31","null","null","1329","132","null","null","1324","null","248","null","-","-","**","**","-","**","**","-",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1121","79","null","null","-","**","**","-","1014","103","null","null","1134","79","null","null","1386","null","83","null","-","-","**","**","-","**","**","-",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","1059","160","null","null","-","**","**","-","956","13","null","null","1141","42","null","null","1469","null","402","null","-","-","**","**","-","**","**","-",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","883","158","null","null","-","**","**","-","478","298","null","null","1122","225","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1207","192","null","null","-","**","**","-","1040","153","null","null","1234","114","null","null","1739","null","68","null","-","-","**","**","-","**","**","-",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1191","66","null","null","-","**","**","-","1050","89","null","null","1250","118","null","null","1453","null","248","null","-","-","**","**","-","**","**","-",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","1094","63","null","null","-","**","**","-","735","456","null","null","1142","63","null","null","1403","null","329","null","-","-","**","**","-","**","**","-",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","1137","192","null","null","-","**","**","-","969","116","null","null","1322","186","null","null","1384","null","125","null","-","-","**","**","-","**","**","-",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1323","83","null","null","-","**","**","-","680","295","null","null","1308","114","null","null","1390","null","112","null","1750","null","158","null","-","**","**","-",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1394","134","null","null","-","**","**","-","-","**","**","-","1262","143","null","null","2016","null","313","null","-","-","**","**","-","**","**","-",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","1150","57","null","null","979","59","null","null","836","47","null","null","1173","61","null","null","1531","null","223","null","-","-","**","**","-","**","**","-",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","1242","130","null","null","-","**","**","-","1051","141","null","null","1283","168","null","null","1528","null","245","null","-","-","**","**","-","**","**","-",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","1187","46","null","null","843","386","null","null","1048","77","null","null","1211","103","null","null","1398","null","111","null","-","-","**","**","-","**","**","-",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","1224","84","null","null","-","**","**","-","990","69","null","null","1276","104","null","null","1634","null","104","null","-","-","**","**","-","**","**","-",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1020","86","null","null","-","**","**","-","946","47","null","null","1146","132","null","null","1652","null","325","null","-","-","**","**","-","**","**","-",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","991","36","null","null","905","208","null","null","1054","55","null","null","1195","622","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1062","101","null","null","786","27","null","null","1128","77","null","null","1591","157","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1088","113","null","null","863","40","null","null","1110","111","null","null","1699","71","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1067","70","null","null","770","15","null","null","1108","72","null","null","1171","415","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","1166","62","null","null","911","176","null","null","1109","49","null","null","1630","173","null","null","2069","null","586","null","-","-","**","**","-","**","**","-",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1036","83","null","null","844","128","null","null","927","81","null","null","1309","122","null","null","1643","null","427","null","-","-","**","**","-","**","**","-",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","948","44","null","null","864","119","null","null","772","169","null","null","1036","184","null","null","2044","null","1229","null","-","-","**","**","-","**","**","-",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1475","116","null","null","936","36","null","null","1167","112","null","null","1569","129","null","null","1723","null","145","null","-","-","**","**","-","**","**","-",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","929","78","null","null","878","62","null","null","953","239","null","null","1064","176","null","null","2091","null","269","null","-","-","**","**","-","**","**","-",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","879","35","null","null","785","49","null","null","941","31","null","null","1850","1695","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","1085","53","null","null","922","35","null","null","1126","35","null","null","1654","331","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","892","46","null","null","848","45","null","null","1057","158","null","null","-","**","**","-","1560","null","361","null","-","-","**","**","-","**","**","-",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","1357","131","null","null","1077","119","null","null","1468","147","null","null","1260","342","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","955","106","null","null","620","224","null","null","905","415","null","null","1377","173","null","null","1788","null","102","null","-","-","**","**","-","**","**","-",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","1153","101","null","null","983","159","null","null","1250","177","null","null","-","**","**","-","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","1403","155","null","null","-","**","**","-","1037","105","null","null","1554","147","null","null","2083","null","490","null","-","-","**","**","-","**","**","-",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","1557","203","null","null","-","**","**","-","1125","290","null","null","1781","163","null","null","1533","null","1119","null","-","-","**","**","-","**","**","-",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","1333","75","null","null","1405","850","null","null","1211","57","null","null","1391","141","null","null","1929","null","573","null","-","-","**","**","-","**","**","-",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","1335","134","null","null","905","203","null","null","1065","108","null","null","1607","143","null","null","1968","null","275","null","-","-","**","**","-","**","**","-",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","872","58","null","null","556","111","null","null","854","117","null","null","944","87","null","null","1147","null","238","null","-","-","**","**","-","**","**","-",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","960","42","null","null","903","398","null","null","953","87","null","null","968","44","null","null","1742","null","85","null","-","-","**","**","-","**","**","-",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","1185","89","null","null","1000","96","null","null","1279","114","null","null","1763","141","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","843","154","null","null","672","136","null","null","858","288","null","null","1137","365","null","null","534","null","344","null","-","-","**","**","-","**","**","-",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","795","60","null","null","755","52","null","null","820","161","null","null","929","153","null","null","887","null","231","null","-","-","**","**","-","**","**","-",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","1024","95","null","null","766","70","null","null","1027","91","null","null","1429","136","null","null","1470","null","640","null","-","-","**","**","-","**","**","-",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1181","73","null","null","1059","120","null","null","1070","182","null","null","1417","136","null","null","2646","null","155","null","-","-","**","**","-","**","**","-",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1200","67","null","null","1046","155","null","null","1178","47","null","null","1436","275","null","null","1732","null","380","null","-","-","**","**","-","**","**","-",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","1135","138","null","null","997","129","null","null","948","177","null","null","2052","374","null","null","2243","null","74","null","-","-","**","**","-","**","**","-",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1286","112","null","null","-","**","**","-","1147","31","null","null","1691","96","null","null","1784","null","270","null","-","-","**","**","-","**","**","-",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","1355","160","null","null","986","380","null","null","1060","48","null","null","1664","148","null","null","1703","null","214","null","-","-","**","**","-","**","**","-",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","1169","62","null","null","690","74","null","null","1010","68","null","null","1341","83","null","null","1606","null","152","null","-","-","**","**","-","**","**","-",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1358","174","null","null","-","**","**","-","-","**","**","-","1294","228","null","null","1552","null","257","null","-","-","**","**","-","**","**","-",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1405","119","null","null","-","**","**","-","1319","69","null","null","1474","236","null","null","1679","null","330","null","-","-","**","**","-","**","**","-",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","1360","73","null","null","991","87","null","null","1295","62","null","null","1584","144","null","null","1810","null","207","null","-","-","**","**","-","**","**","-",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1432","115","null","null","1133","86","null","null","1181","61","null","null","1593","167","null","null","1886","null","277","null","-","-","**","**","-","**","**","-",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1354","122","null","null","910","165","null","null","1141","129","null","null","1645","193","null","null","1556","null","281","null","-","-","**","**","-","**","**","-",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1374","98","null","null","836","318","null","null","1198","79","null","null","1704","65","null","null","1808","null","126","null","-","-","**","**","-","**","**","-",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1196","92","null","null","896","73","null","null","1149","37","null","null","1448","68","null","null","1850","null","371","null","-","-","**","**","-","**","**","-",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1478","80","null","null","-","**","**","-","966","182","null","null","1588","119","null","null","2050","null","532","null","-","-","**","**","-","**","**","-",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","1241","150","null","null","1043","292","null","null","981","186","null","null","1747","303","null","null","1551","null","278","null","-","-","**","**","-","**","**","-",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1274","215","null","null","-","**","**","-","1223","404","null","null","1188","233","null","null","2048","null","316","null","-","-","**","**","-","**","**","-",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","1691","149","null","null","-","**","**","-","1349","169","null","null","1808","176","null","null","1774","null","286","null","-","-","**","**","-","**","**","-",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1750","141","null","null","-","**","**","-","1559","393","null","null","1674","226","null","null","2223","null","190","null","-","-","**","**","-","**","**","-",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1963","264","null","null","-","**","**","-","1192","128","null","null","2125","633","null","null","1854","null","245","null","-","-","**","**","-","**","**","-",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1682","174","null","null","-","**","**","-","1279","249","null","null","1706","130","null","null","2240","null","200","null","-","-","**","**","-","**","**","-",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1661","119","null","null","-","**","**","-","1125","52","null","null","1723","115","null","null","1818","null","271","null","-","-","**","**","-","**","**","-",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","1781","147","null","null","-","**","**","-","1283","305","null","null","1969","230","null","null","1934","null","1155","null","-","-","**","**","-","**","**","-",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1436","214","null","null","-","**","**","-","983","286","null","null","1452","294","null","null","2583","null","2347","null","-","-","**","**","-","**","**","-",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","1672","103","null","null","-","**","**","-","1412","81","null","null","1719","98","null","null","2103","null","345","null","-","-","**","**","-","**","**","-",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","1673","641","null","null","-","**","**","-","-","**","**","-","1335","530","null","null","2811","null","259","null","-","-","**","**","-","**","**","-",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1625","130","null","null","-","**","**","-","1457","172","null","null","1704","98","null","null","1400","null","971","null","-","-","**","**","-","**","**","-",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1563","171","null","null","-","**","**","-","1267","146","null","null","1866","231","null","null","1803","null","172","null","-","-","**","**","-","**","**","-",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1282","106","null","null","798","48","null","null","1259","76","null","null","1878","192","null","null","1940","null","342","null","-","-","**","**","-","**","**","-",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1517","172","null","null","-","**","**","-","1404","174","null","null","1520","212","null","null","2117","null","954","null","-","-","**","**","-","**","**","-",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1544","127","null","null","1189","153","null","null","1414","44","null","null","1769","98","null","null","2172","null","310","null","2250","null","1856","null","-","**","**","-",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","461","296","null","null","-","**","**","-","285","78","null","null","1856","107","null","null","1731","null","377","null","-","-","**","**","-","**","**","-",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","1648","65","null","null","1359","208","null","null","1647","61","null","null","2061","393","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","1270","91","null","null","1072","165","null","null","1309","92","null","null","1604","232","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1868","131","null","null","1548","545","null","null","1612","137","null","null","2448","780","null","null","2313","null","225","null","-","-","**","**","-","**","**","-",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1815","154","null","null","-","**","**","-","1400","108","null","null","2018","181","null","null","2538","null","436","null","3,500+","3,500+","***","***","-","**","**","-",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1862","136","null","null","960","649","null","null","1380","71","null","null","1840","148","null","null","2264","null","132","null","2813","null","220","null","2667","197","null","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1811","86","null","null","1181","126","null","null","1489","117","null","null","1867","104","null","null","2200","null","306","null","1917","null","416","null","-","**","**","-",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1396","44","null","null","1213","232","null","null","1401","48","null","null","1902","263","null","null","1977","null","696","null","-","-","**","**","-","**","**","-",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","1313","79","null","null","1055","105","null","null","1370","56","null","null","1768","177","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","1464","109","null","null","1123","66","null","null","1469","113","null","null","2508","270","null","null","2181","null","148","null","-","-","**","**","-","**","**","-",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1464","112","null","null","1000","119","null","null","1400","95","null","null","1809","128","null","null","2351","null","154","null","3071","null","1290","null","-","**","**","-",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1578","156","null","null","295","210","null","null","1246","198","null","null","1969","161","null","null","2495","null","317","null","3154","null","985","null","-","**","**","-",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1747","166","null","null","-","**","**","-","1287","156","null","null","1777","119","null","null","2674","null","212","null","-","-","**","**","-","**","**","-",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","1944","141","null","null","-","**","**","-","1649","134","null","null","1940","220","null","null","2482","null","909","null","-","-","**","**","-","**","**","-",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1814","155","null","null","926","204","null","null","1577","279","null","null","2220","217","null","null","2175","null","535","null","-","-","**","**","-","**","**","-",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","1956","258","null","null","998","66","null","null","2012","302","null","null","1841","237","null","null","3033","null","403","null","-","-","**","**","-","**","**","-",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1641","128","null","null","-","**","**","-","1357","145","null","null","1802","99","null","null","1900","null","326","null","-","-","**","**","-","**","**","-",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1871","212","null","null","683","228","null","null","1469","341","null","null","1887","177","null","null","2807","null","761","null","-","-","**","**","-","**","**","-",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","2137","116","null","null","850","675","null","null","1532","286","null","null","2181","102","null","null","2873","null","327","null","-","-","**","**","-","**","**","-",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1593","128","null","null","1175","74","null","null","1524","130","null","null","1692","202","null","null","2326","null","590","null","-","-","**","**","-","**","**","-",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1381","73","null","null","1139","48","null","null","1280","88","null","null","1686","158","null","null","2604","null","275","null","-","-","**","**","-","**","**","-",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1495","96","null","null","1013","87","null","null","1445","71","null","null","2087","214","null","null","2205","null","1259","null","1813","null","286","null","-","**","**","-",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","1442","108","null","null","1064","116","null","null","1562","116","null","null","1961","642","null","null","2407","null","1744","null","3,500+","3,500+","***","***","-","**","**","-",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","1230","68","null","null","1018","66","null","null","1261","96","null","null","2051","209","null","null","3,500+","3,500+","***","***","-","-","**","**","-","**","**","-",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","1452","81","null","null","1221","56","null","null","1577","86","null","null","2231","129","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","2109","292","null","null","1420","119","null","null","2107","327","null","null","2579","734","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1479","156","null","null","1045","127","null","null","1375","88","null","null","1913","155","null","null","2462","null","327","null","-","-","**","**","-","**","**","-",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","1446","71","null","null","1195","126","null","null","1421","86","null","null","2020","334","null","null","2767","null","2161","null","-","-","**","**","-","**","**","-",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","1449","202","null","null","907","67","null","null","1703","103","null","null","2345","493","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1382","58","null","null","1058","115","null","null","1453","43","null","null","1885","1163","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","1448","103","null","null","890","191","null","null","1452","71","null","null","2079","252","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","1976","142","null","null","1172","211","null","null","1685","91","null","null","2267","175","null","null","2883","null","349","null","2450","null","1329","null","-","**","**","-",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","1154","752","null","null","325","82","null","null","367","266","null","null","2131","251","null","null","1875","null","1699","null","-","-","**","**","-","**","**","-",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","1654","180","null","null","1080","180","null","null","1451","91","null","null","1921","247","null","null","2353","null","1422","null","-","-","**","**","-","**","**","-",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","1758","169","null","null","-","**","**","-","1482","815","null","null","1694","162","null","null","2594","null","714","null","3,500+","3,500+","***","***","-","**","**","-",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","1710","314","null","null","-","**","**","-","1034","727","null","null","1829","222","null","null","-","-","**","**","2117","null","1799","null","-","**","**","-",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","2085","220","null","null","-","**","**","-","1915","191","null","null","2101","330","null","null","2467","null","1408","null","3,500+","3,500+","***","***","-","**","**","-",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","2040","318","null","null","-","**","**","-","1594","283","null","null","2286","214","null","null","2986","null","411","null","-","-","**","**","-","**","**","-",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","1644","172","null","null","-","**","**","-","-","**","**","-","2042","538","null","null","2558","null","823","null","-","-","**","**","-","**","**","-",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","1619","249","null","null","1175","116","null","null","1445","110","null","null","2392","155","null","null","2467","null","490","null","-","-","**","**","-","**","**","-",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","1673","95","null","null","1162","61","null","null","1657","92","null","null","2492","253","null","null","2563","null","1549","null","-","-","**","**","-","**","**","-",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","1775","85","null","null","1450","74","null","null","1766","98","null","null","2184","202","null","null","3,500+","3,500+","***","***","-","-","**","**","-","**","**","-",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","1505","431","null","null","-","**","**","-","-","**","**","-","2153","244","null","null","3227","null","422","null","-","-","**","**","-","**","**","-",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","2230","279","null","null","-","**","**","-","1380","197","null","null","2291","252","null","null","3292","null","437","null","-","-","**","**","-","**","**","-",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","1698","227","null","null","-","**","**","-","1167","757","null","null","1805","173","null","null","3286","null","687","null","-","-","**","**","-","**","**","-",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","1762","67","null","null","1583","208","null","null","1770","63","null","null","2348","856","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","1650","103","null","null","1115","326","null","null","1679","86","null","null","2146","603","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","1448","78","null","null","1355","35","null","null","1641","136","null","null","1614","536","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","2102","137","null","null","1898","121","null","null","1945","183","null","null","2556","257","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","809","338","null","null","-","**","**","-","851","454","null","null","584","503","null","null","910","null","259","null","-","-","**","**","-","**","**","-",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","1421","259","null","null","1183","89","null","null","1594","128","null","null","2608","554","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","1785","114","null","null","1130","318","null","null","1997","144","null","null","2391","274","null","null","3071","null","1645","null","-","-","**","**","-","**","**","-",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","1852","56","null","null","1508","293","null","null","1850","60","null","null","2221","587","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","1639","244","null","null","1342","143","null","null","1606","255","null","null","2333","315","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","1676","85","null","null","1564","157","null","null","1782","106","null","null","2426","425","null","null","1346","null","348","null","-","-","**","**","-","**","**","-",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","1992","105","null","null","1713","39","null","null","2205","84","null","null","2318","268","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","2251","137","null","null","1869","289","null","null","2193","150","null","null","2689","212","null","null","2942","null","1111","null","-","-","**","**","-","**","**","-",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","2153","137","null","null","1845","111","null","null","2174","188","null","null","2701","427","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","2110","147","null","null","1558","478","null","null","2153","139","null","null","2576","230","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","2164","130","null","null","1889","142","null","null","2188","106","null","null","3057","369","null","null","1856","null","1246","null","-","-","**","**","-","**","**","-",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","2055","139","null","null","1891","138","null","null","2008","151","null","null","2949","278","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","2563","128","null","null","1888","106","null","null","2421","194","null","null","2925","138","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","1069","662","null","null","-","**","**","-","-","**","**","-","-","**","**","-","-","-","**","**","-","-","**","**","-","**","**","-",
