"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031300600","Census Tract 3006, Cook County, Illinois","899","54","null","null","-","**","**","-","725","413","null","null","944","106","null","null","880","null","44","null","-","-","**","**","-","**","**","-",
"1400000US17031300700","Census Tract 3007, Cook County, Illinois","876","43","null","null","-","**","**","-","-","**","**","-","828","87","null","null","1023","null","165","null","993","null","255","null","-","**","**","-",
"1400000US17031300800","Census Tract 3008, Cook County, Illinois","791","55","null","null","-","**","**","-","-","**","**","-","786","56","null","null","852","null","85","null","-","-","**","**","-","**","**","-",
"1400000US17031300900","Census Tract 3009, Cook County, Illinois","766","28","null","null","-","**","**","-","565","238","null","null","772","34","null","null","767","null","98","null","-","-","**","**","-","**","**","-",
"1400000US17031301100","Census Tract 3011, Cook County, Illinois","763","54","null","null","-","**","**","-","740","222","null","null","765","60","null","null","812","null","224","null","-","-","**","**","-","**","**","-",
"1400000US17031301200","Census Tract 3012, Cook County, Illinois","835","82","null","null","-","**","**","-","-","**","**","-","812","111","null","null","908","null","138","null","-","-","**","**","-","**","**","-",
"1400000US17031301600","Census Tract 3016, Cook County, Illinois","744","88","null","null","-","**","**","-","-","**","**","-","743","76","null","null","745","null","303","null","-","-","**","**","-","**","**","-",
"1400000US17031301701","Census Tract 3017.01, Cook County, Illinois","741","30","null","null","-","**","**","-","-","**","**","-","739","27","null","null","950","null","371","null","-","-","**","**","-","**","**","-",
"1400000US17031301702","Census Tract 3017.02, Cook County, Illinois","820","68","null","null","-","**","**","-","712","355","null","null","835","72","null","null","791","null","191","null","922","null","112","null","-","**","**","-",
"1400000US17031301801","Census Tract 3018.01, Cook County, Illinois","875","39","null","null","-","**","**","-","805","235","null","null","860","39","null","null","1074","null","106","null","-","-","**","**","-","**","**","-",
"1400000US17031301802","Census Tract 3018.02, Cook County, Illinois","787","38","null","null","-","**","**","-","763","116","null","null","770","62","null","null","816","null","67","null","-","-","**","**","-","**","**","-",
"1400000US17031301803","Census Tract 3018.03, Cook County, Illinois","833","51","null","null","-","**","**","-","548","157","null","null","769","89","null","null","891","null","186","null","1674","null","477","null","-","**","**","-",
"1400000US17031310200","Census Tract 3102, Cook County, Illinois","1433","152","null","null","1510","222","null","null","1613","189","null","null","1307","210","null","null","1375","null","257","null","-","-","**","**","-","**","**","-",
"1400000US17031310300","Census Tract 3103, Cook County, Illinois","1102","73","null","null","-","**","**","-","1086","208","null","null","1065","106","null","null","1429","null","584","null","-","-","**","**","-","**","**","-",
"1400000US17031310400","Census Tract 3104, Cook County, Illinois","1194","239","null","null","-","**","**","-","994","466","null","null","1205","275","null","null","1592","null","814","null","-","-","**","**","-","**","**","-",
"1400000US17031310500","Census Tract 3105, Cook County, Illinois","1009","179","null","null","-","**","**","-","1056","231","null","null","881","98","null","null","1253","null","332","null","-","-","**","**","-","**","**","-",
"1400000US17031310600","Census Tract 3106, Cook County, Illinois","1045","126","null","null","1170","372","null","null","692","249","null","null","1151","230","null","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031310700","Census Tract 3107, Cook County, Illinois","942","170","null","null","-","**","**","-","875","74","null","null","1006","361","null","null","1019","null","194","null","-","-","**","**","-","**","**","-",
"1400000US17031310800","Census Tract 3108, Cook County, Illinois","875","82","null","null","-","**","**","-","723","89","null","null","823","61","null","null","1478","null","537","null","1383","null","449","null","-","**","**","-",
