"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005M","B25031_005MA","B25031_005EA","B25031_006E","B25031_006M","B25031_006MA","B25031_006EA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","1131","87","null","null","-","**","**","-","992","94","null","null","1166","172","null","null","1571","327","null","null","-","**","**","-","-","**","**","-",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1039","120","null","null","-","**","**","-","933","63","null","null","1234","124","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","1013","56","null","null","987","114","null","null","1067","70","null","null","1153","678","null","null","610","185","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","1063","85","null","null","841","110","null","null","1149","63","null","null","1471","276","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1146","99","null","null","856","73","null","null","1164","95","null","null","1688","66","null","null","2558","2478","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","1109","94","null","null","792","26","null","null","1166","76","null","null","1130","326","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","1273","115","null","null","947","126","null","null","1121","44","null","null","1717","98","null","null","1414","321","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","1059","110","null","null","860","21","null","null","959","58","null","null","1284","268","null","null","1938","333","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","968","67","null","null","790","85","null","null","812","164","null","null","1348","312","null","null","2054","466","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1453","114","null","null","935","317","null","null","1147","172","null","null","1593","142","null","null","1710","116","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","1014","94","null","null","868","57","null","null","1096","90","null","null","1160","287","null","null","1871","198","null","null","-","**","**","-","-","**","**","-",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","913","30","null","null","850","40","null","null","952","36","null","null","1655","1021","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
