"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_001MA","S1903_C01_001EA","S1903_C02_001E","S1903_C02_001M","S1903_C02_001MA","S1903_C02_001EA","S1903_C01_002E","S1903_C01_002EA","S1903_C01_002M","S1903_C01_002MA","S1903_C02_002E","S1903_C02_002EA","S1903_C02_002M","S1903_C02_002MA","S1903_C01_003E","S1903_C01_003M","S1903_C01_003MA","S1903_C01_003EA","S1903_C02_003E","S1903_C02_003M","S1903_C02_003MA","S1903_C02_003EA","S1903_C01_004E","S1903_C01_004EA","S1903_C01_004M","S1903_C01_004MA","S1903_C02_004E","S1903_C02_004M","S1903_C02_004MA","S1903_C02_004EA","S1903_C01_005E","S1903_C01_005M","S1903_C01_005MA","S1903_C01_005EA","S1903_C02_005E","S1903_C02_005EA","S1903_C02_005M","S1903_C02_005MA","S1903_C01_006E","S1903_C01_006M","S1903_C01_006MA","S1903_C01_006EA","S1903_C02_006E","S1903_C02_006EA","S1903_C02_006M","S1903_C02_006MA","S1903_C01_007E","S1903_C01_007EA","S1903_C01_007M","S1903_C01_007MA","S1903_C02_007E","S1903_C02_007EA","S1903_C02_007M","S1903_C02_007MA","S1903_C01_008E","S1903_C01_008EA","S1903_C01_008M","S1903_C01_008MA","S1903_C02_008E","S1903_C02_008M","S1903_C02_008MA","S1903_C02_008EA","S1903_C01_009E","S1903_C01_009EA","S1903_C01_009M","S1903_C01_009MA","S1903_C02_009E","S1903_C02_009M","S1903_C02_009MA","S1903_C02_009EA","S1903_C01_010E","S1903_C01_010EA","S1903_C01_010M","S1903_C01_010MA","S1903_C02_010E","S1903_C02_010EA","S1903_C02_010M","S1903_C02_010MA","S1903_C01_011E","S1903_C01_011EA","S1903_C01_011M","S1903_C01_011MA","S1903_C02_011E","S1903_C02_011M","S1903_C02_011MA","S1903_C02_011EA","S1903_C01_012E","S1903_C01_012M","S1903_C01_012MA","S1903_C01_012EA","S1903_C02_012E","S1903_C02_012EA","S1903_C02_012M","S1903_C02_012MA","S1903_C01_013E","S1903_C01_013M","S1903_C01_013MA","S1903_C01_013EA","S1903_C02_013E","S1903_C02_013M","S1903_C02_013MA","S1903_C02_013EA","S1903_C01_014E","S1903_C01_014EA","S1903_C01_014M","S1903_C01_014MA","S1903_C02_014E","S1903_C02_014EA","S1903_C02_014M","S1903_C02_014MA","S1903_C01_015E","S1903_C01_015M","S1903_C01_015MA","S1903_C01_015EA","S1903_C02_015E","S1903_C02_015EA","S1903_C02_015M","S1903_C02_015MA","S1903_C01_016E","S1903_C01_016EA","S1903_C01_016M","S1903_C01_016MA","S1903_C02_016E","S1903_C02_016EA","S1903_C02_016M","S1903_C02_016MA","S1903_C01_017E","S1903_C01_017M","S1903_C01_017MA","S1903_C01_017EA","S1903_C02_017E","S1903_C02_017EA","S1903_C02_017M","S1903_C02_017MA","S1903_C01_018E","S1903_C01_018M","S1903_C01_018MA","S1903_C01_018EA","S1903_C02_018E","S1903_C02_018M","S1903_C02_018MA","S1903_C02_018EA","S1903_C01_019E","S1903_C01_019EA","S1903_C01_019M","S1903_C01_019MA","S1903_C02_019E","S1903_C02_019EA","S1903_C02_019M","S1903_C02_019MA","S1903_C01_020E","S1903_C01_020EA","S1903_C01_020M","S1903_C01_020MA","S1903_C02_020E","S1903_C02_020EA","S1903_C02_020M","S1903_C02_020MA","S1903_C01_021E","S1903_C01_021EA","S1903_C01_021M","S1903_C01_021MA","S1903_C02_021E","S1903_C02_021EA","S1903_C02_021M","S1903_C02_021MA","S1903_C01_022E","S1903_C01_022EA","S1903_C01_022M","S1903_C01_022MA","S1903_C02_022E","S1903_C02_022EA","S1903_C02_022M","S1903_C02_022MA","S1903_C01_023E","S1903_C01_023EA","S1903_C01_023M","S1903_C01_023MA","S1903_C02_023E","S1903_C02_023EA","S1903_C02_023M","S1903_C02_023MA","S1903_C01_024E","S1903_C01_024EA","S1903_C01_024M","S1903_C01_024MA","S1903_C02_024E","S1903_C02_024EA","S1903_C02_024M","S1903_C02_024MA","S1903_C01_025E","S1903_C01_025M","S1903_C01_025MA","S1903_C01_025EA","S1903_C02_025E","S1903_C02_025M","S1903_C02_025MA","S1903_C02_025EA","S1903_C01_026E","S1903_C01_026EA","S1903_C01_026M","S1903_C01_026MA","S1903_C02_026E","S1903_C02_026EA","S1903_C02_026M","S1903_C02_026MA","S1903_C01_027E","S1903_C01_027M","S1903_C01_027MA","S1903_C01_027EA","S1903_C02_027E","S1903_C02_027EA","S1903_C02_027M","S1903_C02_027MA","S1903_C01_028E","S1903_C01_028EA","S1903_C01_028M","S1903_C01_028MA","S1903_C02_028E","S1903_C02_028EA","S1903_C02_028M","S1903_C02_028MA","S1903_C01_029E","S1903_C01_029M","S1903_C01_029MA","S1903_C01_029EA","S1903_C02_029E","S1903_C02_029EA","S1903_C02_029M","S1903_C02_029MA","S1903_C01_030E","S1903_C01_030M","S1903_C01_030MA","S1903_C01_030EA","S1903_C02_030E","S1903_C02_030M","S1903_C02_030MA","S1903_C02_030EA",
"1400000US17031292500","Census Tract 2925, Cook County, Illinois","1256","125","null","null","30714","6768","null","null","0.0","null","2.6","null","-","-","**","**","100.0","2.6","null","null","30714","6768","null","null","0.0","null","2.6","null","-","**","**","-","0.0","2.6","null","null","-","-","**","**","0.0","2.6","null","null","-","-","**","**","0.0","null","2.6","null","-","-","**","**","0.0","null","2.6","null","-","**","**","-","0.0","null","2.6","null","-","**","**","-","0.0","null","2.6","null","-","-","**","**","4.5","null","4.1","null","19063","5803","null","null","32.0","8.5","null","null","38095","null","16584","null","41.6","9.8","null","null","33696","26410","null","null","21.9","null","5.9","null","23015","null","5826","null","933","137","null","null","31183","null","5349","null","34.5","null","11.8","null","26484","null","15727","null","65.5","11.8","null","null","32852","null","6246","null","33.9","11.4","null","null","62763","31327","null","null","50.5","null","12.5","null","24018","null","5503","null","15.6","null","10.1","null","32262","null","9268","null","323","null","92","null","21875","null","5757","null","49.5","null","18.8","null","17167","null","4968","null","47.4","null","17.3","null","16583","null","5305","null","2.2","null","4.0","null","-","-","**","**","50.5","18.8","null","null","25104","18174","null","null","50.5","null","18.8","null","25104","null","18174","null","0.0","9.6","null","null","-","-","**","**","66.0","null","(X)","(X)","(X)","(X)","(X)","(X)","73.0","(X)","(X)","null","(X)","(X)","(X)","(X)","37.2","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031300500","Census Tract 3005, Cook County, Illinois","756","105","null","null","39375","10306","null","null","57.5","null","12.6","null","32969","null","8381","null","5.4","4.3","null","null","88229","129339","null","null","0.0","null","4.2","null","-","**","**","-","0.0","4.2","null","null","-","-","**","**","0.0","4.2","null","null","-","-","**","**","37.0","null","12.0","null","47833","null","1967","null","0.0","null","4.2","null","-","**","**","-","94.6","null","4.3","null","39010","10096","null","null","0.0","null","4.2","null","-","-","**","**","6.9","null","5.7","null","24063","53396","null","null","55.8","11.8","null","null","39063","null","10360","null","29.2","10.7","null","null","34952","32218","null","null","8.1","null","5.4","null","44821","null","20882","null","607","111","null","null","34357","null","5411","null","61.1","null","13.6","null","32708","null","9710","null","38.9","13.6","null","null","39688","null","13091","null","49.9","13.3","null","null","35250","10957","null","null","28.8","null","12.6","null","33029","null","31220","null","21.3","null","11.1","null","47528","null","37014","null","149","null","78","null","46089","null","12905","null","16.8","null","16.4","null","13977","null","12637","null","11.4","null","14.0","null","13068","null","15952","null","5.4","null","9.2","null","-","-","**","**","83.2","16.4","null","null","47097","17569","null","null","33.6","null","29.2","null","46048","null","12651","null","49.7","30.2","null","null","58750","null","34572","null","31.3","null","(X)","(X)","(X)","(X)","(X)","(X)","26.2","(X)","(X)","null","(X)","(X)","(X)","(X)","29.5","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031300600","Census Tract 3006, Cook County, Illinois","743","94","null","null","36138","4023","null","null","73.2","null","10.2","null","35938","null","4625","null","13.2","6.8","null","null","51250","87264","null","null","0.0","null","4.3","null","-","**","**","-","0.0","4.3","null","null","-","-","**","**","0.0","4.3","null","null","-","-","**","**","13.6","null","9.0","null","27303","null","22982","null","0.0","null","4.3","null","-","**","**","-","83.0","null","7.8","null","36138","3567","null","null","4.7","null","5.3","null","9323","null","13814","null","10.6","null","7.5","null","38177","47555","null","null","49.8","12.8","null","null","34833","null","10989","null","28.5","10.4","null","null","51250","30943","null","null","11.0","null","5.7","null","23125","null","15950","null","691","97","null","null","35469","null","6433","null","58.2","null","11.7","null","25000","null","4467","null","41.8","11.7","null","null","41544","null","10623","null","57.7","13.1","null","null","39948","13274","null","null","26.0","null","9.9","null","23782","null","9156","null","16.2","null","9.4","null","42727","null","33021","null","52","null","35","null","14125","null","25692","null","73.1","null","35.9","null","13250","null","2169","null","73.1","null","35.9","null","13250","null","2169","null","0.0","null","41.1","null","-","-","**","**","26.9","35.9","null","null","-","**","**","-","0.0","null","41.1","null","-","-","**","**","26.9","35.9","null","null","-","-","**","**","49.7","null","(X)","(X)","(X)","(X)","(X)","(X)","48.0","(X)","(X)","null","(X)","(X)","(X)","(X)","25.0","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031300700","Census Tract 3007, Cook County, Illinois","1148","119","null","null","32917","8370","null","null","66.1","null","10.1","null","37091","null","7283","null","4.3","4.1","null","null","35592","22487","null","null","0.0","null","2.8","null","-","**","**","-","0.0","2.8","null","null","-","-","**","**","0.0","2.8","null","null","-","-","**","**","29.6","null","9.4","null","27373","null","4426","null","0.0","null","2.8","null","-","**","**","-","94.9","null","4.2","null","32134","9424","null","null","0.9","null","1.3","null","-","-","**","**","9.6","null","6.3","null","21250","7478","null","null","54.5","10.0","null","null","35294","null","8498","null","28.7","8.9","null","null","39700","42875","null","null","7.1","null","4.9","null","20000","null","52559","null","960","128","null","null","35528","null","8400","null","50.9","null","11.8","null","30096","null","16383","null","49.1","11.8","null","null","37060","null","6859","null","45.0","10.8","null","null","53250","26754","null","null","30.9","null","10.6","null","25337","null","14314","null","24.1","null","10.4","null","20813","null","17436","null","188","null","85","null","22976","null","7888","null","43.6","null","27.0","null","19167","null","62123","null","28.7","null","26.4","null","14429","null","51163","null","14.9","null","17.7","null","50658","null","48986","null","56.4","27.0","null","null","23333","4269","null","null","37.8","null","27.1","null","23036","null","23645","null","18.6","20.5","null","null","25313","null","6667","null","41.0","null","(X)","(X)","(X)","(X)","(X)","(X)","41.8","(X)","(X)","null","(X)","(X)","(X)","(X)","21.8","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031300800","Census Tract 3008, Cook County, Illinois","1099","110","null","null","31644","5723","null","null","57.9","null","8.4","null","29688","null","8458","null","0.0","2.9","null","null","-","**","**","-","0.0","null","2.9","null","-","**","**","-","0.0","2.9","null","null","-","-","**","**","0.0","2.9","null","null","-","-","**","**","38.3","null","7.8","null","34781","null","9801","null","3.8","null","3.4","null","55227","77997","null","null","96.1","null","3.6","null","32130","4869","null","null","2.9","null","3.2","null","2,500-","2,500-","***","***","1.0","null","1.5","null","-","**","**","-","55.8","9.5","null","null","25777","null","11931","null","32.0","8.8","null","null","37500","6992","null","null","11.2","null","5.1","null","17917","null","19453","null","854","114","null","null","31061","null","10293","null","47.5","null","10.8","null","18362","null","3458","null","52.5","10.8","null","null","39125","null","14239","null","66.5","9.8","null","null","33156","5180","null","null","24.7","null","8.8","null","19609","null","24093","null","8.8","null","6.8","null","16938","null","36217","null","245","null","96","null","27458","null","11278","null","13.1","null","11.2","null","9605","null","15010","null","13.1","null","11.2","null","9605","null","15010","null","0.0","null","12.4","null","-","-","**","**","86.9","11.2","null","null","31845","13521","null","null","73.5","null","19.7","null","27417","null","10743","null","13.5","14.9","null","null","93036","null","56791","null","33.8","null","(X)","(X)","(X)","(X)","(X)","(X)","33.0","(X)","(X)","null","(X)","(X)","(X)","(X)","27.3","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031300900","Census Tract 3009, Cook County, Illinois","1051","148","null","null","27681","7667","null","null","69.5","null","9.7","null","24245","null","8181","null","1.9","2.0","null","null","51250","114771","null","null","0.0","null","3.0","null","-","**","**","-","0.0","3.0","null","null","-","-","**","**","0.0","3.0","null","null","-","-","**","**","28.6","null","9.6","null","28780","null","11892","null","0.0","null","3.0","null","-","**","**","-","92.3","null","4.3","null","28059","6738","null","null","5.8","null","4.1","null","9875","null","39297","null","11.3","null","6.1","null","22847","15428","null","null","49.6","10.5","null","null","30163","null","16169","null","27.0","8.4","null","null","25000","21414","null","null","12.1","null","7.0","null","19716","null","8882","null","864","159","null","null","22500","null","9165","null","50.5","null","11.7","null","18571","null","12657","null","49.5","11.7","null","null","24167","null","11034","null","43.4","11.5","null","null","34347","13169","null","null","23.8","null","10.4","null","13261","null","3678","null","32.8","null","10.8","null","28608","null","5050","null","187","null","90","null","20478","null","4488","null","57.8","null","28.7","null","22500","null","30416","null","52.9","null","28.6","null","21477","null","23724","null","4.8","null","8.2","null","-","-","**","**","42.2","28.7","null","null","19511","3297","null","null","35.8","null","28.1","null","18859","null","2739","null","6.4","10.9","null","null","-","-","**","**","34.2","null","(X)","(X)","(X)","(X)","(X)","(X)","26.4","(X)","(X)","null","(X)","(X)","(X)","(X)","58.3","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031301100","Census Tract 3011, Cook County, Illinois","715","83","null","null","32361","8744","null","null","55.8","null","12.9","null","30417","null","15975","null","2.8","4.5","null","null","-","**","**","-","0.6","null","1.0","null","-","**","**","-","0.0","4.4","null","null","-","-","**","**","0.0","4.4","null","null","-","-","**","**","40.8","null","12.8","null","34048","null","12940","null","0.0","null","4.4","null","-","**","**","-","95.9","null","4.9","null","33583","8735","null","null","1.3","null","2.1","null","-","-","**","**","8.8","null","7.4","null","7019","24111","null","null","44.5","12.3","null","null","35938","null","13429","null","36.2","11.5","null","null","34028","24122","null","null","10.5","null","7.2","null","34464","null","13982","null","525","95","null","null","36719","null","12111","null","55.0","null","14.0","null","40398","null","15093","null","45.0","14.0","null","null","32857","null","33572","null","53.3","15.0","null","null","45909","13147","null","null","20.6","null","12.2","null","30313","null","6642","null","26.1","null","12.0","null","33631","null","24246","null","190","null","74","null","26211","null","855","null","15.3","null","16.9","null","25688","null","5265","null","4.7","null","7.7","null","-","-","**","**","10.5","null","16.1","null","-","-","**","**","84.7","16.9","null","null","26350","1063","null","null","51.6","null","24.1","null","25978","null","12058","null","33.2","20.8","null","null","26514","null","456","null","46.2","null","(X)","(X)","(X)","(X)","(X)","(X)","40.0","(X)","(X)","null","(X)","(X)","(X)","(X)","47.4","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031301200","Census Tract 3012, Cook County, Illinois","1102","115","null","null","36938","6775","null","null","61.6","null","9.2","null","37821","null","21194","null","13.5","6.9","null","null","40688","34145","null","null","0.8","null","1.4","null","-","**","**","-","0.0","2.9","null","null","-","-","**","**","0.0","2.9","null","null","-","-","**","**","24.0","null","8.4","null","36106","null","11088","null","0.0","null","2.9","null","-","**","**","-","84.6","null","7.1","null","36313","8437","null","null","4.7","null","4.3","null","15972","null","71859","null","10.2","null","6.0","null","45278","23618","null","null","47.2","9.8","null","null","28480","null","10842","null","33.8","8.1","null","null","45833","8683","null","null","8.9","null","5.4","null","17402","null","45023","null","876","118","null","null","33545","null","8951","null","61.8","null","10.8","null","28155","null","16440","null","38.2","10.8","null","null","43170","null","15685","null","73.2","10.1","null","null","38036","7393","null","null","18.8","null","9.0","null","10813","null","14372","null","8.0","null","6.6","null","31875","null","9791","null","226","null","101","null","36250","null","29700","null","25.2","null","22.5","null","3819","null","15232","null","17.3","null","17.4","null","15114","null","30709","null","8.0","null","13.7","null","-","-","**","**","74.8","22.5","null","null","50924","23899","null","null","21.2","null","16.2","null","40625","null","18520","null","53.5","23.4","null","null","65060","null","37570","null","38.5","null","(X)","(X)","(X)","(X)","(X)","(X)","31.4","(X)","(X)","null","(X)","(X)","(X)","(X)","65.9","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031301600","Census Tract 3016, Cook County, Illinois","1192","113","null","null","28664","4957","null","null","66.4","null","8.1","null","29806","null","5034","null","0.0","2.7","null","null","-","**","**","-","1.0","null","1.6","null","-","**","**","-","0.0","2.7","null","null","-","-","**","**","0.0","2.7","null","null","-","-","**","**","32.6","null","7.8","null","26219","null","7150","null","0.0","null","2.7","null","-","**","**","-","97.2","null","2.4","null","28944","4889","null","null","2.8","null","2.4","null","20875","null","39950","null","0.0","null","2.7","null","-","**","**","-","50.8","9.5","null","null","24271","null","4419","null","38.4","8.9","null","null","33783","2764","null","null","10.7","null","5.4","null","35208","null","33190","null","995","132","null","null","30996","null","4611","null","69.2","null","11.0","null","29213","null","5576","null","30.8","11.0","null","null","35208","null","22245","null","62.7","10.5","null","null","30742","4508","null","null","27.1","null","9.4","null","32930","null","13283","null","10.2","null","6.0","null","29489","null","52101","null","197","null","77","null","18068","null","7592","null","48.2","null","21.7","null","17841","null","20561","null","43.7","null","21.7","null","12500","null","17998","null","4.6","null","7.7","null","-","-","**","**","51.8","21.7","null","null","20341","11404","null","null","35.0","null","23.9","null","20966","null","13808","null","16.8","19.7","null","null","14375","null","56708","null","43.0","null","(X)","(X)","(X)","(X)","(X)","(X)","41.5","(X)","(X)","null","(X)","(X)","(X)","(X)","50.8","(X)","(X)","null","(X)","(X)","(X)","(X)",
"1400000US17031301701","Census Tract 3017.01, Cook County, Illinois","976","123","null","null","44830","8872","null","null","74.2","null","12.6","null","43973","null","11586","null","0.0","3.3","null","null","-","**","**","-","0.0","null","3.3","null","-","**","**","-","0.0","3.3","null","null","-","-","**","**","0.0","3.3","null","null","-","-","**","**","25.0","null","12.9","null","78021","null","55587","null","0.8","null","1.8","null","-","**","**","-","97.2","null","4.1","null","44446","8954","null","null","2.8","null","4.1","null","-","-","**","**","4.7","null","5.4","null","97604","65531","null","null","39.2","12.6","null","null","30469","null","7519","null","48.3","12.9","null","null","67361","28589","null","null","7.8","null","5.5","null","45179","null","76445","null","839","126","null","null","44611","null","13992","null","68.1","null","12.4","null","33165","null","9699","null","31.9","12.4","null","null","72100","null","20690","null","76.8","11.4","null","null","52115","23335","null","null","17.3","null","10.0","null","24461","null","3786","null","6.0","null","6.1","null","30192","null","52094","null","137","null","82","null","21853","null","25416","null","29.2","null","30.2","null","20776","null","6950","null","8.0","null","13.9","null","-","-","**","**","21.2","null","28.3","null","-","-","**","**","70.8","30.2","null","null","34904","29632","null","null","44.5","null","33.4","null","34135","null","27853","null","26.3","28.1","null","null","60455","null","81021","null","35.8","null","(X)","(X)","(X)","(X)","(X)","(X)","36.5","(X)","(X)","null","(X)","(X)","(X)","(X)","31.4","(X)","(X)","null","(X)","(X)","(X)","(X)",
