year,census_tract,f0_
2020,17031030701,9
2020,17031160800,17
2020,17031834200,6
2020,17031030900,47
2020,17031770602,28
2020,17031020702,15
2020,17031381700,1
2021,17031243500,1565
2020,17031151002,5
2021,17031410800,202
2021,17031837800,69
2021,17031010600,18
2021,17031431400,45
2021,17031100100,12
2021,17031030500,53
2020,17031081900,1061
2021,17031051100,1
2021,17031241200,1
2021,17031020601,4
2021,17031440201,4
2021,17031241600,33
2020,17031843700,63
2020,17031830500,12
2020,17031750500,5
2020,17031835100,1
2020,17031770902,2
2019,17031040300,68
2021,17031243400,84
2020,17031691000,1
2021,17031010501,14
2021,17031251500,3
2021,17031040202,19
2021,17031461000,11
2021,17031838000,26
2021,17031510300,15
2021,17031160900,10
2021,17031760801,180
2021,17031151200,2
2021,17031460302,2
2021,17031500300,1
2021,17031062500,11
2019,17031660301,1
2021,17031691000,1
2021,17031390200,3
2019,17031831500,3
2019,17031680900,6
2019,17031140701,14
2021,17031050500,25
2019,17031140302,8
2019,17031090100,1
2021,17031070600,64
2019,17031100700,2
2019,17031461000,1
2019,17031420100,29
2019,17031430600,1
2021,17031100500,9
2019,17031240800,1
2021,17031240300,63
2021,17031030300,9
2021,17031410600,5
2021,17031020701,2
2019,17031842100,1
2014,17031191200,14
2021,17031770902,4
2021,17031140500,2
2021,17031700401,1
2021,17031640700,1
2021,17031834600,9
2021,17031750100,2
2021,17031220400,5
2021,17031836500,10
2022,17031440600,3
2020,17031060300,67
2020,17031221400,58
2020,17031160300,8
2020,17031061200,68
2020,17031062200,363
2020,17031222200,105
2020,17031490300,1
2020,17031160501,4
2020,17031062500,57
2020,17031210700,15
2020,17031252101,3
2020,17031031900,49
2020,17031020100,8
2020,17031051100,33
2020,17031831800,24
2020,17031243000,88
2020,17031160900,21
2020,17031710800,6
2020,17031130200,9
2020,17031440101,5
2020,17031161000,10
2019,17031842800,1
2019,17031720300,2
2021,17031210400,2
2021,17031843400,1
2021,17031283100,4
2021,17031050700,6
2021,17031160601,1
2021,17031140302,1
2021,17031100700,3
2014,17031170700,3
2021,17031490800,1
2021,17031610300,1
2021,17031350400,6
2021,17031841800,1
2019,17031831600,8
2023,17031081800,40029
2023,17031081600,18909
2023,17031070101,1801
2023,17031080100,13659
2023,17031080202,5833
2023,17031838300,742
2023,17031841000,23365
2023,17031832500,413
2023,17031070102,318
2023,17031030706,310
2023,17031063303,179
2023,17031070600,168
2023,17031060900,1604
2023,17031241500,160
2023,17031031400,1421
2023,17031030800,161
2023,17031832600,1084
2023,17031062800,136
2023,17031071800,269
2023,17031250500,3
2023,17031051300,38
2023,17031060300,32
2023,17031070500,152
2023,17031832900,77
2023,17031030703,78
2023,17031832000,626
2023,17031140800,28
2023,17031221600,35
2023,17031240500,56
2023,17031221300,29
2023,17031310600,49
2023,17031062500,12
2023,17031040202,33
2023,17031390600,19
2023,17031430700,7
2023,17031351100,14
2023,17031161100,67
2023,17031160900,10
2023,17031010100,8
2023,17031540102,2
2023,17031050600,14
2023,17031843500,2
2023,17031220602,12
2023,17031100200,2
2023,17031839500,6
2023,17031100500,20
2023,17031836500,4
2023,17031834000,9
2023,17031730600,3
2023,17031691300,4
2023,17031750500,6
2023,17031730700,1
2023,17031720200,1
2023,17031490500,3
2023,17031100400,1
2023,17031380700,2
2023,17031170500,1
2023,17031381900,1
2023,17031690900,1
2023,17031836800,2
2023,17031720100,1
2023,17031500200,5
2023,17031730100,1
2023,17031710200,1
2023,17031250800,1
2023,17031730400,2
2023,17031491000,1
2020,17031140400,10
2020,17031834300,3
2020,17031400800,3
2015,17031140100,388
2015,17031110501,31
2015,17031410700,156
2015,17031190800,18
2014,17031301600,2
2015,17031150700,24
2015,17031100200,36
2015,17031839800,54
2014,17031170100,19
2014,17031430200,18
2015,17031220702,392
2014,17031570300,7
2022,17031100200,8
2014,17031831200,17
2022,17031110501,3
2014,17031840700,22
2015,17031570200,10
2015,17031120200,86
2015,17031090200,163
2015,17031720300,3
2015,17031831700,34
2015,17031230400,17
2015,17031842600,38
2015,17031170200,20
2015,17031831400,11
2015,17031390100,14
2015,17031381400,8
2015,17031340300,10
2015,17031410200,25
2015,17031252201,3
2015,17031561100,5
2015,17031430200,6
2015,17031711200,1
2015,17031560400,5
2015,17031837300,3
2022,17031540102,1
2022,17031150502,1
2022,17031160601,5
2022,17031010201,11
2022,17031520100,1
2023,17031612100,1
2018,17031220702,33
2018,17031151002,15
2018,17031420400,22
2018,17031150800,15
2018,17031390500,16
2018,17031280800,3
2018,17031360200,2
2018,17031190100,3
2018,17031230200,3
2013,17031410800,452
2013,17031050300,422
2013,17031841300,43
2013,17031310800,181
2013,17031834400,5
2013,17031222500,158
2013,17031020701,49
2013,17031839800,20
2013,17031835200,60
2013,17031120200,61
2013,17031120300,77
2013,17031170300,6
2013,17031020200,46
2013,17031380100,3
2013,17031580400,3
2013,17031210501,90
2013,17031200100,20
2013,17031843300,35
2013,17031301200,2
2013,17031020601,42
2013,17031150600,11
2014,17031630900,2
2014,17031230800,29
2019,17031310500,17
2016,17031120400,44
2014,17031460400,4
2014,17031250400,7
2014,17031250200,5
2014,17031250700,2
2014,17031440201,4
2017,17031839600,22
2017,17031351500,5
2014,17031670800,1
2017,17031280800,4
2017,17031600600,26
2018,17031400500,4
2018,17031530503,1
2013,17031280900,5
2018,17031831300,1
2018,17031420300,6
2018,17031660800,2
2018,17031770902,1
2018,17031835000,1
2019,17031020701,6
2019,17031390300,11
2019,17031020100,7
2019,17031570500,1
2019,17031410500,4
2019,17031760803,7
2019,17031520300,2
2019,17031420400,17
2019,17031431200,8
2019,17031836100,1
2019,17031380100,3
2017,17031351100,5
2016,17031191302,10
2017,17031100200,37
2017,17031420100,46
2017,17031836600,53
2017,17031680900,4
2016,17031381200,21
2013,17031250800,1
2013,17031700100,1
2016,17031600900,66
2013,17031301100,2
2016,17031420800,4
2016,17031250200,3
2016,17031600700,54
2014,17031430102,64
2015,17031570300,4
2013,17031560800,2
2013,17031640300,3
2013,17031390400,8
2015,17031300600,7
2014,17031680900,7
2015,17031580400,3
2020,17031283200,12
2020,17031490600,2
2020,17031020400,3
2019,17031270500,2
2019,17031491000,1
2019,17031670900,1
2018,17031440300,1
2018,17031720200,2
2018,17031150402,1
2018,17031611500,2
2014,17031460100,2
2020,17031839500,11
2020,17031051000,8
2022,17031836600,2
2020,17031711500,1
2020,17031252102,1
2022,17031220701,3
2021,17031110300,1
2021,17031611600,1
2018,17031431400,2
2018,17031570100,1
2016,17031191301,5
2016,17031450300,5
2016,17031430900,2
2016,17031611100,2
2017,17031130200,21
2017,17031180100,4
2017,17031431302,5
2016,17031640600,1
2016,17031510300,3
2019,17031210501,14
2019,17031580502,1
2019,17031770902,2
2017,17031380100,5
2017,17031838800,2
2017,17031310700,26
2017,17031836500,46
2017,17031831500,2
2014,17031170500,9
2015,17031460400,1
2015,17031200402,11
2015,17031250200,1
2018,17031661100,1
2014,17031681400,1
2017,17031431301,2
2017,17031440700,1
2017,17031190602,4
2015,17031580700,2
2013,17031660700,1
2013,17031837300,3
2013,17031271800,2
2013,17031650500,1
2013,17031660500,1
2013,17031630500,2
2013,17031831600,3
2013,17031640400,1
2013,17031190702,2
2013,17031170500,2
2017,17031200100,4
2017,17031292500,3
2014,17031770902,9
2013,17031730400,2
2014,17031252202,2
2022,17031160502,4
2014,17031670600,5
2015,17031440300,6
2014,17031530503,1
2015,17031690900,1
2015,17031190601,1
2015,17031611900,1
2017,17031630800,1
2017,17031611900,3
2017,17031720300,3
2018,17031430800,1
2019,17031440900,3
2019,17031590700,2
2019,17031300900,2
2019,17031200401,3
2019,17031490300,2
2018,17031730202,1
2016,17031610400,1
2016,17031691000,2
2016,17031838700,1
2016,17031090100,1
2016,17031400300,2
2018,17031190602,1
2018,17031835600,2
2017,17031190701,1
2017,17031170600,1
2017,17031691400,3
2017,17031630100,1
2015,17031231100,1
2022,17031050700,7
2022,17031831300,1
2019,17031570200,3
2019,17031150700,3
2022,17031681000,1
2016,17031460301,2
2022,17031700501,2
2013,17031151100,3
2016,17031190401,2
2017,17031190200,4
2017,17031440201,2
2017,17031251100,2
2013,17031440900,1
2013,17031251000,1
2013,17031271200,2
2013,17031292200,1
2013,17031460400,1
2013,17031841500,1
2013,17031190900,1
2013,17031650200,1
2013,17031251500,1
2013,17031301600,1
2014,17031440600,2
2014,17031431302,1
2014,17031290900,6
2015,17031400400,2
2015,17031710800,4
2017,17031720100,5
2017,17031191301,1
2017,17031090100,2
2014,17031630800,2
2014,17031380500,1
2014,17031490600,1
2020,17031250500,2
2017,17031300800,2
2015,17031650400,1
2017,17031720500,1
2019,17031561100,1
2016,17031710200,1
2014,17031490800,1
2017,17031670200,1
2015,17031252102,1
2016,17031490901,1
2018,17031381800,1
2016,17031440101,1
2014,17031061902,67552
2014,17031060900,98795
2014,17031832300,50542
2014,17031081403,826696
2014,17031081401,571275
2014,17031071100,100252
2014,17031062900,77930
2014,17031062200,50204
2014,17031061200,22232
2014,17031031000,19018
2014,17031040600,11255
2014,17031210601,1574
2014,17031031900,7480
2014,17031842200,198919
2014,17031062300,19981
2014,17031281900,966519
2014,17031031700,29544
2014,17031241600,43069
2014,17031031501,4213
2014,17031071300,70947
2014,17031010503,1573
2014,17031030900,11016
2014,17031210700,4568
2014,17031160501,390
2014,17031200200,90
2014,17031040300,348
2014,17031842900,1016
2014,17031390700,6207
2014,17031020801,999
2014,17031836400,74
2014,17031062600,13563
2014,17031835900,61
2014,17031291600,252
2014,17031010202,326
2014,17031241000,925
2014,17031161200,36
2014,17031220701,401
2014,17031140701,452
2014,17031020602,825
2014,17031020601,156
2014,17031700200,5
2014,17031310400,145
2014,17031340300,16
2014,17031130100,263
2014,17031410700,301
2014,17031835600,2
2014,17031110100,134
2014,17031140302,80
2013,17031281900,643290
2014,17031842400,8
2014,17031842600,42
2014,17031161100,332
2014,17031600700,50
2014,17031190300,41
2014,17031120400,72
2014,17031230300,8
2014,17031590500,10
2014,17031250500,24
2014,17031530200,2
2014,17031190800,28
2014,17031130200,97
2014,17031640300,3
2014,17031100400,19
2014,17031420200,14
2013,17031081600,350488
2013,17031242300,17553
2013,17031830900,12048
2013,17031031300,10815
2013,17031071500,218563
2013,17031832600,72836
2013,17031081000,146952
2013,17031071200,65166
2013,17031061500,12724
2013,17031070102,44774
2013,17031838200,26228
2013,17031832300,33276
2013,17031070600,26639
2013,17031060100,8775
2013,17031031502,5244
2013,17031830700,15819
2013,17031243200,4686
2015,17031081201,610763
2013,17031760801,2170
2013,17031830600,2938
2013,17031843700,3422
2013,17031241300,3045
2013,17031030601,911
2013,17031243100,5321
2013,17031030603,1010
2013,17031843900,121
2013,17031842000,588
2013,17031310200,669
2013,17031839200,1038
2013,17031100500,27
2013,17031040900,3212
2013,17031410100,162
2013,17031010503,657
2015,17031842300,133817
2015,17031071500,264230
2015,17031060800,41015
2015,17031833100,192193
2015,17031330100,521184
2015,17031081500,964166
2016,17031081800,724151
2016,17031081700,876259
2016,17031081202,181631
2016,17031081403,785783
2016,17031242200,29688
2016,17031081300,455734
2016,17031241400,82236
2015,17031838100,79387
2015,17031010300,1501
2015,17031061901,37373
2015,17031240300,25171
2015,17031830900,12554
2015,17031832500,44831
2015,17031061000,41513
2015,17031071200,64876
2015,17031061100,35271
2015,17031061200,13337
2015,17031030800,14105
2015,17031221300,14284
2015,17031071000,37863
2015,17031030500,9957
2015,17031040402,10603
2015,17031843700,5734
2015,17031841100,23784
2015,17031031502,7088
2015,17031030601,1551
2015,17031031200,12135
2013,17031222600,167
2013,17031130100,87
2013,17031151002,179
2013,17031210800,104
2013,17031160502,177
2013,17031350100,735
2013,17031410600,89
2018,17031081403,607627
2017,17031081100,146064
2016,17031081402,286326
2017,17031842200,129394
2017,17031070101,48677
2018,17031980000,484631
2018,17031063100,6854
2016,17031831900,16085
2018,17031320600,213637
2016,17031063000,50786
2015,17031062300,11883
2017,17031280100,520293
2017,17031330100,437018
2017,17031081201,509883
2017,17031242000,20783
2016,17031063400,33483
2017,17031841000,154962
2017,17031081403,699116
2017,17031081700,725340
2016,17031243400,19169
2017,17031071400,92298
2015,17031210900,2494
2015,17031120400,52
2017,17031832000,20452
2018,17031221300,1451
2017,17031980100,184361
2015,17031040900,3955
2016,17031221400,4742
2017,17031243400,12813
2017,17031242100,21428
2016,17031031400,43059
2015,17031222200,6868
2016,17031071400,123899
2017,17031241200,1125
2015,17031010502,695
2017,17031243100,5192
2016,17031030500,7995
2017,17031063200,37193
2015,17031040600,5983
2017,17031222200,2707
2015,17031210100,4110
2015,17031040700,2160
2015,17031140301,1123
2017,17031062500,2596
2015,17031760801,4927
2015,17031010600,2532
2018,17031140800,791
2017,17031071300,29494
2018,17031832500,11317
2016,17031061100,25011
2016,17031221500,2564
2017,17031070102,22544
2016,17031010300,1154
2015,17031030104,420
2016,17031071300,44146
2017,17031411000,14211
2017,17031836200,7552
2015,17031831800,490
2016,17031040402,7534
2018,17031210100,638
2018,17031831500,4
2016,17031030603,1223
2017,17031830700,7296
2016,17031030400,1019
2016,17031160502,289
2018,17031063400,10133
2016,17031410900,715
2016,17031241600,24371
2016,17031843700,4366
2016,17031241200,2580
2018,17031837800,1152
2016,17031242600,6725
2016,17031051100,1507
2016,17031020601,177
2018,17031120100,46
2018,17031031700,3362
2017,17031063301,9578
2016,17031062500,7149
2016,17031030300,680
2016,17031242700,170
2016,17031220601,478
2017,17031843700,1955
2018,17031243200,3254
2016,17031210100,3178
2018,17031050200,3374
2016,17031770602,1232
2016,17031060200,2754
2018,17031061200,1148
2016,17031832400,3465
2016,17031020702,273
2018,17031830900,2583
2018,17031031000,1771
2017,17031160400,422
2017,17031050600,2875
2017,17031050200,5582
2018,17031840300,446
2017,17031050100,1383
2018,17031070600,5712
2016,17031350400,914
2016,17031351000,734
2016,17031411200,1841
2016,17031120200,95
2017,17031241600,12287
2017,17031221100,951
2017,17031061800,2026
2017,17031161000,573
2017,17031050700,738
2017,17031040202,603
2017,17031221200,546
2018,17031070103,2017
2019,17031241400,17095
2019,17031060900,16330
2019,17031081401,332354
2019,17031071500,93858
2019,17031980100,98850
2019,17031081403,459789
2019,17031080100,104209
2019,17031841900,80761
2019,17031070400,4514
2019,17031063302,11996
2019,17031832500,6097
2019,17031031200,1104
2019,17031031400,10834
2019,17031030500,994
2019,17031032100,4172
2019,17031070600,3412
2019,17031241500,5162
2019,17031411200,399
2019,17031040700,158
2013,17031150300,123
2017,17031160602,286
2017,17031242700,67
2017,17031220601,168
2017,17031841400,4
2017,17031160502,128
2017,17031240900,167
2017,17031760802,3
2017,17031836700,126
2017,17031839900,124
2017,17031120100,38
2017,17031410700,110
2017,17031010300,442
2017,17031140601,69
2017,17031030601,418
2017,17031839500,38
2017,17031220701,38
2017,17031040800,101
2017,17031140100,82
2017,17031560300,2
2017,17031010501,154
2016,17031160602,887
2016,17031031800,1749
2016,17031020801,427
2016,17031240700,233
2016,17031120100,85
2016,17031030103,529
2016,17031570200,8
2018,17031280400,894
2018,17031030101,506
2018,17031210700,300
2018,17031010300,225
2018,17031839500,52
2016,17031620200,4
2015,17031240600,1819
2015,17031130100,107
2015,17031160501,233
2015,17031020702,166
2015,17031040202,2154
2018,17031380200,21
2015,17031050900,657
2015,17031150600,11
2015,17031140601,131
2015,17031020701,63
2015,17031110100,85
2016,17031220902,79
2016,17031110200,32
2016,17031610800,2
2016,17031380100,15
2016,17031191000,5
2016,17031140601,161
2016,17031380200,14
2016,17031750600,1
2016,17031690400,1
2016,17031430200,17
2016,17031560800,7
2016,17031831300,2
2016,17031340300,6
2016,17031560700,2
2016,17031835200,93
2016,17031310400,68
2017,17031600900,8
2017,17031210800,31
2017,17031200300,2
2017,17031120400,24
2017,17031200200,19
2017,17031170100,5
2017,17031110200,12
2017,17031681300,3
2017,17031431400,9
2017,17031836900,1
2018,17031834300,9
2018,17031050300,136
2018,17031040700,246
2018,17031010400,402
2018,17031210601,35
2018,17031222700,33
2018,17031690900,1
2018,17031836400,66
2018,17031350400,354
2018,17031230900,49
2018,17031020902,120
2018,17031030103,114
2018,17031310900,41
2018,17031431302,4
2018,17031100200,30
2018,17031230100,13
2018,17031410700,70
2018,17031200300,1
2018,17031220901,5
2018,17031140602,41
2022,17031081402,35574
2022,17031080300,11032
2022,17031832500,993
2022,17031242100,558
2022,17031031300,622
2022,17031832100,163
2022,17031070400,343
2022,17031062000,957
2022,17031841100,1684
2022,17031340600,233
2022,17031040402,79
2022,17031390700,651
2022,17031032100,810
2022,17031836200,695
2022,17031280400,26
2022,17031834200,76
2022,17031010100,15
2022,17031242200,223
2022,17031411200,94
2022,17031210100,45
2022,17031410900,53
2022,17031241600,212
2022,17031030703,114
2022,17031060500,30
2022,17031836400,156
2022,17031160800,16
2015,17031843500,138
2022,17031835500,23
2022,17031070103,55
2022,17031051100,14
2022,17031062400,38
2022,17031130200,10
2022,17031020500,61
2022,17031170500,5
2022,17031834800,4
2022,17031310200,38
2022,17031283800,18
2022,17031221300,36
2022,17031843700,51
2022,17031640300,1
2022,17031351100,13
2022,17031570200,1
2022,17031836000,4
2022,17031450300,9
2022,17031710700,2
2021,17031281900,52921
2019,17031410800,899
2019,17031760801,2910
2021,17031081000,6700
2021,17031081300,29565
2019,17031060100,633
2021,17031280100,24817
2019,17031050500,1191
2021,17031770700,12582
2019,17031283100,219
2019,17031030800,1418
2019,17031061200,435
2019,17031240500,2299
2019,17031020602,393
2021,17031081403,51711
2019,17031060300,548
2019,17031020702,52
2019,17031031100,1229
2019,17031310300,119
2021,17031081600,12781
2019,17031051000,106
2019,17031100600,32
2021,17031400800,7
2021,17031031400,1090
2019,17031040100,267
2021,17031071400,3077
2021,17031070101,1060
2019,17031051400,174
2019,17031810400,324
2020,17031070500,313
2019,17031130100,59
2021,17031835900,53
2021,17031330200,194
2019,17031030103,45
2020,17031081700,75788
2020,17031839000,11969
2020,17031030706,313
2019,17031600400,9
2019,17031190200,4
2020,17031838100,5682
2019,17031100100,21
2019,17031241000,4
2020,17031390600,16
2020,17031530300,2
2019,17031110400,83
2020,17031490902,6
2020,17031031200,157
2019,17031580100,10
2019,17031160700,193
2020,17031061902,2020
2019,17031710200,3
2020,17031030603,9
2019,17031650500,3
2020,17031030601,34
2020,17031010400,33
2020,17031031300,331
2020,17031030102,17
2020,17031030103,3
2020,17031063100,426
2020,17031070400,580
2020,17031051400,27
2020,17031351100,5
2020,17031010202,6
2020,17031160200,36
2020,17031062100,933
2020,17031832600,2974
2020,17031030604,87
2020,17031243400,754
2020,17031221300,52
2021,17031062000,267
2020,17031710700,1
2020,17031680900,4
2021,17031490300,1
2021,17031842600,10
2021,17031031700,62
2021,17031810400,82
2021,17031030101,50
2021,17031843600,33
2020,17031010201,8
2020,17031832300,504
2021,17031830900,65
2021,17031040201,51
2021,17031160700,4
2021,17031839600,9
2021,17031241400,695
2020,17031040402,83
2020,17031071300,1751
2020,17031430101,5
2020,17031430200,2
2020,17031241200,37
2020,17031210900,30
2020,17031062900,574
2021,17031063400,162
2021,17031835800,1
2021,17031381400,5
2021,17031241500,150
2021,17031020301,13
2021,17031400300,4
2021,17031351400,6
2021,17031243000,8
2021,17031400500,1
2021,17031020702,15
2021,17031390400,8
2021,17031835500,13
2021,17031630900,1
2021,17031010400,35
2021,17031560400,1
2021,17031831800,13
2021,17031040401,4
2022,17031480100,1
2021,17031283800,5
2021,17031381900,4
2021,17031831100,26
2019,17031030702,36
2019,17031161200,4
2019,17031222600,3
2021,17031061800,14
2021,17031430101,5
2021,17031250500,5
2021,17031620300,1
2021,17031280400,6
2021,17031060200,6
2021,17031010701,6
2021,17031700502,1
2021,17031160300,3
2021,17031150401,2
2021,17031390500,1
2021,17031150402,3
2021,17031690900,4
2021,17031242300,14
2021,17031100200,5
2022,17031010702,7
2022,17031030102,29
2020,17031071800,942
2020,17031310800,2
2020,17031010300,17
2020,17031070103,99
2020,17031050500,171
2020,17031051300,153
2020,17031060400,247
2020,17031810400,36
2020,17031100200,5
2020,17031430102,4
2020,17031843100,3
2020,17031050600,81
2020,17031031800,17
2020,17031440202,5
2019,17031661100,1
2019,17031210502,12
2019,17031823304,1
2019,17031730600,3
2019,17031170300,2
2019,17031151002,24
2019,17031020301,12
2019,17031150501,7
2021,17031050900,1
2021,17031691200,6
2021,17031140100,2
2021,17031251100,1
2021,17031570100,1
2021,17031160602,1
2021,17031841400,1
2021,17031390300,2
2022,17031242900,8
2021,17031710900,1
2021,17031150700,1
2022,17031140602,1
2021,17031840200,1
2019,17031730100,2
2023,17031081401,50321
2023,17031839100,154069
2023,17031330100,60555
2023,17031842300,2061
2023,17031833000,42711
2023,17031071400,2871
2023,17031081202,11303
2023,17031241400,812
2023,17031080201,2688
2023,17031838200,4515
2023,17031243500,1730
2023,17031836400,90
2023,17031070300,450
2023,17031210900,16
2023,17031061902,1249
2023,17031410900,56
2023,17031830900,118
2023,17031410800,170
2023,17031243400,100
2023,17031060800,460
2023,17031440300,31
2023,17031510300,4
2023,17031835600,13
2023,17031060100,36
2023,17031030604,90
2023,17031832100,97
2023,17031750600,2
2023,17031020302,9
2023,17031031502,71
2023,17031810400,132
2023,17031842600,10
2023,17031831900,63
2023,17031040201,48
2023,17031030900,44
2023,17031843900,29
2023,17031071700,70
2023,17031221400,8
2023,17031835900,65
2023,17031040402,32
2023,17031040300,11
2023,17031381500,2
2023,17031410100,21
2023,17031241200,13
2023,17031061500,15
2023,17031070103,21
2023,17031050300,10
2023,17031691100,12
2023,17031480400,19
2023,17031835500,15
2023,17031431200,2
2023,17031381200,10
2023,17031031900,18
2023,17031440201,3
2023,17031240900,2
2023,17031570300,3
2023,17031130100,28
2023,17031241000,1
2023,17031110100,3
2023,17031221500,7
2023,17031160502,2
2023,17031251500,1
2023,17031221100,8
2023,17031730201,3
2023,17031400300,3
2023,17031480300,1
2023,17031600700,2
2023,17031241100,7
2023,17031640700,3
2023,17031090100,1
2023,17031430101,1
2023,17031760802,1
2023,17031191301,1
2023,17031470100,1
2019,17031843100,193
2022,17031500200,8
2020,17031730300,1
2015,17031291600,257
2014,17031310500,129
2015,17031390500,54
2015,17031040800,303
2014,17031360200,7
2014,17031190200,22
2015,17031838800,4
2015,17031620300,5
2015,17031590500,4
2015,17031220901,49
2015,17031380100,5
2015,17031100600,70
2015,17031151001,8
2015,17031251800,1
2015,17031390200,18
2015,17031620100,5
2015,17031351400,24
2015,17031301801,3
2015,17031561000,5
2015,17031151200,6
2015,17031420800,2
2015,17031440600,2
2015,17031430300,10
2015,17031420300,117
2015,17031560100,7
2022,17031843300,14
2022,17031051000,6
2022,17031690900,7
2022,17031440201,8
2022,17031560100,1
2022,17031271200,1
2022,17031530600,1
2022,17031231500,3
2022,17031490700,1
2022,17031170700,3
2022,17031230200,3
2022,17031843800,1
2023,17031690400,1
2023,17031835000,1
2023,17031700501,1
2023,17031710900,2
2018,17031140302,10
2018,17031430200,18
2018,17031171000,7
2018,17031430102,14
2018,17031150501,8
2018,17031231500,7
2018,17031530300,1
2018,17031290900,4
2018,17031390300,3
2018,17031430900,1
2013,17031220902,38
2013,17031140400,72
2013,17031410900,205
2013,17031020802,314
2013,17031030104,347
2013,17031161300,105
2013,17031590600,6
2013,17031100300,18
2013,17031020301,11
2013,17031390200,4
2013,17031191100,7
2013,17031836500,359
2013,17031170800,4
2013,17031740200,2
2013,17031836400,32
2014,17031380200,16
2014,17031611500,3
2014,17031620300,2
2014,17031835700,1
2014,17031351100,6
2017,17031390200,7
2018,17031251100,2
2018,17031200200,6
2018,17031301803,2
2013,17031831400,19
2018,17031836500,64
2018,17031190900,2
2018,17031170200,1
2018,17031260100,1
2018,17031251400,2
2019,17031150402,3
2019,17031691000,3
2019,17031690900,1
2019,17031510200,2
2019,17031836300,2
2022,17031161300,1
2017,17031750500,3
2016,17031670900,1
2017,17031020100,38
2017,17031611800,1
2017,17031100500,29
2017,17031230600,5
2017,17031431200,2
2017,17031222800,4
2013,17031630400,1
2013,17031190200,5
2013,17031190402,6
2013,17031180100,4
2013,17031222900,9
2013,17031250600,1
2014,17031837000,12
2014,17031843100,9
2013,17031191200,3
2014,17031691400,2
2013,17031190300,5
2013,17031151001,3
2013,17031560900,1
2014,17031271400,4
2013,17031430500,2
2013,17031750600,1
2013,17031691500,1
2013,17031300800,6
2016,17031191100,18
2016,17031431400,8
2016,17031110501,31
2016,17031630200,3
2014,17031301100,3
2013,17031170400,2
2013,17031250500,9
2013,17031480100,3
2014,17031252102,4
2014,17031711400,2
2020,17031251500,3
2020,17031282700,7
2020,17031210601,1
2020,17031837400,4
2020,17031251600,1
2020,17031650301,1
2020,17031840200,3
2020,17031450300,4
2020,17031620300,1
2020,17031190200,1
2019,17031460500,2
2019,17031720100,3
2019,17031700100,1
2013,17031150700,22
2013,17031430600,7
2013,17031611100,2
2018,17031831200,1
2018,17031680900,1
2018,17031480400,1
2020,17031250700,1
2020,17031010502,2
2020,17031836100,2
2020,17031340400,4
2014,17031292400,4
2020,17031560100,4
2020,17031090300,1
2020,17031271200,1
2020,17031251900,1
2020,17031839900,1
2014,17031837300,4
2018,17031730500,1
2018,17031100400,2
2016,17031835500,6
2016,17031400400,3
2016,17031230300,1
2016,17031650200,3
2016,17031251300,3
2017,17031460500,2
2017,17031440102,1
2017,17031140302,15
2017,17031440202,2
2016,17031301100,9
2017,17031440300,2
2017,17031510200,2
2014,17031836900,6
2015,17031300700,5
2015,17031460700,1
2015,17031230500,10
2015,17031430500,4
2017,17031251400,1
2017,17031170300,2
2017,17031430500,2
2017,17031410200,3
2017,17031630300,3
2014,17031834900,1
2014,17031430300,6
2013,17031690300,2
2013,17031260600,1
2013,17031170100,5
2013,17031570500,1
2013,17031300900,1
2013,17031671400,1
2013,17031661000,2
2017,17031420700,1
2017,17031560200,1
2017,17031150600,7
2017,17031480300,2
2013,17031700501,1
2016,17031720600,1
2014,17031460302,1
2015,17031200401,2
2015,17031420200,5
2014,17031661000,1
2014,17031700401,1
2015,17031231500,4
2015,17031222800,7
2017,17031170200,1
2019,17031381800,1
2019,17031230400,1
2018,17031151200,1
2018,17031620300,3
2018,17031660900,1
2018,17031710400,1
2016,17031560300,2
2016,17031480400,2
2016,17031650301,1
2016,17031660800,2
2016,17031823304,1
2018,17031560300,2
2017,17031834800,3
2018,17031630800,1
2018,17031351100,2
2017,17031650200,5
2017,17031834200,1
2017,17031420800,2
2017,17031670100,1
2016,17031740300,2
2014,17031691000,2
2019,17031430101,1
2019,17031660900,1
2019,17031260100,1
2022,17031491400,2
2022,17031842500,5
2022,17031730600,1
2022,17031381800,1
2022,17031400300,1
2016,17031260300,1
2016,17031231100,2
2017,17031570200,1
2017,17031730500,1
2017,17031580400,1
2013,17031580200,2
2013,17031834900,1
2013,17031630100,1
2015,17031834700,2
2017,17031400800,1
2017,17031590500,1
2017,17031843600,4
2017,17031580600,3
2015,17031292400,1
2014,17031251300,5
2014,17031711000,1
2020,17031030702,2
2020,17031150402,1
2014,17031730100,1
2014,17031834300,1
2017,17031711300,1
2015,17031691100,1
2017,17031660600,2
2017,17031836100,1
2019,17031440101,1
2019,17031560800,1
2019,17031381400,1
2019,17031837000,1
2016,17031260500,1
2016,17031271800,1
2020,17031260900,1
2019,17031834000,1
2016,17031700501,1
2014,17031062400,16351
2014,17031062500,23066
2014,17031241400,164040
2014,17031081202,201626
2014,17031081600,494566
2014,17031839000,136630
2014,17031081000,223471
2014,17031071600,19215
2014,17031070102,69443
2014,17031833000,369595
2014,17031070500,36832
2014,17031241500,65344
2014,17031050500,14482
2014,17031222200,12514
2014,17031830700,33105
2014,17031063301,39016
2014,17031040402,16256
2014,17031050100,11052
2014,17031080202,162738
2014,17031243200,11919
2014,17031240300,41673
2014,17031050300,1087
2014,17031040800,840
