"GEO_ID","NAME","B25058_001E","B25058_001M","B25058_001MA","B25058_001EA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent","Annotation of Estimate!!Median contract rent",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1420","59","null","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","411","240","null","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","1623","73","null","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","1215","112","null","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1748","123","null","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1756","141","null","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1787","161","null","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1689","119","null","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1348","29","null","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","1243","98","null","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","1389","90","null","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1381","126","null","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1422","120","null","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1698","145","null","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","1832","123","null","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1703","138","null","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","1893","251","null","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1584","124","null","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1700","180","null","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","1888","156","null","null",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1481","125","null","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1321","85","null","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1390","67","null","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","1394","83","null","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","1207","64","null","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","1393","72","null","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","2007","254","null","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1400","165","null","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","1428","79","null","null",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","1348","175","null","null",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1345","59","null","null",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","1374","119","null","null",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","1867","99","null","null",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","1026","605","null","null",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","1578","193","null","null",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","1641","165","null","null",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","1619","177","null","null",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","1968","221","null","null",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","1753","298","null","null",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","1635","161","null","null",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","1508","246","null","null",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","1624","103","null","null",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","1727","75","null","null",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","1438","395","null","null",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","2086","400","null","null",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","1620","282","null","null",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","1721","46","null","null",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","1611","121","null","null",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","1415","66","null","null",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","2038","131","null","null",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","805","419","null","null",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","1382","265","null","null",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","1717","124","null","null",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","1794","54","null","null",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","1611","265","null","null",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","1489","111","null","null",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","1933","81","null","null",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","2200","143","null","null",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","2108","133","null","null",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","1954","100","null","null",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","2104","151","null","null",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","1989","133","null","null",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","2454","191","null","null",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","-","**","**","-",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","870","48","null","null",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","1338","98","null","null",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","1049","130","null","null",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","1079","151","null","null",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","923","177","null","null",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","1139","257","null","null",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","1563","1097","null","null",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","890","258","null","null",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","957","46","null","null",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","1156","229","null","null",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","1010","136","null","null",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","938","225","null","null",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","874","122","null","null",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","1086","57","null","null",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","1036","98","null","null",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","1054","148","null","null",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","2033","780","null","null",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","1286","1024","null","null",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","-","**","**","-",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","994","85","null","null",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","400","42","null","null",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","866","61","null","null",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","1083","64","null","null",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","1051","97","null","null",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","911","82","null","null",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","999","128","null","null",
