"GEO_ID","NAME","B25058_001E","B25058_001EA","B25058_001M","B25058_001MA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Annotation of Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","704","null","38","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","852","null","33","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","848","null","57","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","798","null","35","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","841","null","53","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","693","null","33","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","733","null","33","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","594","null","114","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","807","null","46","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","867","null","65","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","799","null","41","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","956","null","106","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","943","null","35","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","735","null","97","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","955","null","271","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","893","null","47","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","826","null","133","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","947","null","22","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","850","null","36","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1298","null","509","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","814","null","48","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","845","null","57","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","943","null","49","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","880","null","65","null",
