"GEO_ID","NAME","B25058_001E","B25058_001M","B25058_001MA","B25058_001EA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent","Annotation of Estimate!!Median contract rent",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","740","90","null","null",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","891","56","null","null",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","918","42","null","null",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","810","40","null","null",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","876","66","null","null",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","747","31","null","null",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","773","37","null","null",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","611","65","null","null",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","839","48","null","null",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","918","70","null","null",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","814","41","null","null",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","924","89","null","null",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","939","57","null","null",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","815","172","null","null",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","908","101","null","null",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","957","56","null","null",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","794","51","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","946","45","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","863","35","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","945","406","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","869","66","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","859","42","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","941","82","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","940","65","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","811","33","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","773","70","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","751","55","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","813","145","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","861","163","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","923","134","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","794","37","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","734","78","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","1079","125","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","793","66","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","743","25","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","876","45","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","692","63","null","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","898","132","null","null",
