"GEO_ID","NAME","B25058_001E","B25058_001EA","B25058_001M","B25058_001MA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Annotation of Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1695","null","96","null",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","297","null","165","null",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","1701","null","63","null",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","1338","null","57","null",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1784","null","181","null",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1651","null","206","null",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1744","null","146","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1723","null","133","null",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1344","null","70","null",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","1285","null","153","null",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","1498","null","217","null",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1627","null","108","null",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1716","null","239","null",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1877","null","239","null",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","1956","null","169","null",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1946","null","480","null",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","2151","null","439","null",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1750","null","116","null",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1736","null","114","null",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","1934","null","144","null",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1689","null","124","null",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1613","null","165","null",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1476","null","145","null",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","1518","null","135","null",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","1333","null","89","null",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","1551","null","114","null",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1936","null","228","null",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1779","null","230","null",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","1499","null","114","null",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","1598","null","128","null",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1416","null","69","null",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","1534","null","176","null",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","2198","null","226","null",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","1222","null","224","null",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","1738","null","220","null",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","1746","null","364","null",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","1561","null","220","null",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","2258","null","236","null",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","2506","null","619","null",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","1629","null","222","null",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","1528","null","214","null",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","1709","null","106","null",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","1883","null","95","null",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","1470","null","220","null",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","2332","null","141","null",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","2029","null","407","null",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","1918","null","112","null",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","1720","null","79","null",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","1591","null","133","null",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","2058","null","159","null",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","812","null","445","null",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","1609","null","155","null",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","1846","null","140","null",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","2101","null","149","null",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","1801","null","254","null",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","1573","null","210","null",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","1881","null","110","null",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","2398","null","210","null",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","2233","null","118","null",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","2152","null","156","null",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","2273","null","114","null",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","2194","null","124","null",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","2490","null","145","null",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","2745","null","317","null",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","991","null","157","null",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","1489","null","132","null",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","986","null","52","null",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","980","null","135","null",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","1047","null","273","null",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","1272","null","395","null",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","-","-","**","**",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","1197","null","238","null",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","1043","null","156","null",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","1391","null","169","null",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","1128","null","104","null",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","857","null","66","null",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","892","null","433","null",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","1138","null","74","null",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","1204","null","179","null",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","1166","null","81","null",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","-","-","**","**",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","1503","null","647","null",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","3007","null","2205","null",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","1069","null","133","null",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","395","null","218","null",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","1056","null","429","null",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","1162","null","102","null",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","1207","null","127","null",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","1059","null","117","null",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","1046","null","109","null",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","1138","null","165","null",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","1040","null","148","null",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","1081","null","93","null",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","1030","null","80","null",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","1160","null","176","null",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","1123","null","105","null",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","1027","null","84","null",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","1218","null","178","null",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","979","null","87","null",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","1174","null","128","null",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","995","null","73","null",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","960","null","43","null",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","1168","null","102","null",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","1114","null","77","null",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","1166","null","346","null",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","1140","null","229","null",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","962","null","65","null",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","1061","null","88","null",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","1041","null","93","null",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","1006","null","120","null",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","981","null","234","null",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","1180","null","69","null",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","984","null","301","null",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","1054","null","66","null",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","997","null","110","null",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","1091","null","191","null",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","995","null","101","null",
