"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031440202","Census Tract 4402.02, Cook County, Illinois","3507","393","null","null","16","25","null","null","3418","392","null","null","0","11","null","null","29","null","45","null","0","11","null","null","22","33","null","null","22","null","34","null","0","11","null","null","22","null","34","null",
"1400000US17031440300","Census Tract 4403, Cook County, Illinois","4775","492","null","null","53","63","null","null","4636","500","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","86","null","97","null","0","11","null","null","86","null","97","null",
"1400000US17031440600","Census Tract 4406, Cook County, Illinois","1980","283","null","null","0","11","null","null","1973","285","null","null","0","11","null","null","0","null","11","null","0","11","null","null","7","12","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031440700","Census Tract 4407, Cook County, Illinois","1513","192","null","null","30","30","null","null","1475","202","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","8","null","9","null","0","11","null","null","8","null","9","null",
"1400000US17031440800","Census Tract 4408, Cook County, Illinois","1553","308","null","null","10","25","null","null","1531","316","null","null","0","11","null","null","12","null","13","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031440900","Census Tract 4409, Cook County, Illinois","2403","368","null","null","2","3","null","null","2373","370","null","null","13","19","null","null","0","null","11","null","0","11","null","null","0","11","null","null","15","null","26","null","0","11","null","null","15","null","26","null",
"1400000US17031450300","Census Tract 4503, Cook County, Illinois","3650","483","null","null","12","19","null","null","3582","485","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","56","null","73","null","0","11","null","null","56","null","73","null",
"1400000US17031460100","Census Tract 4601, Cook County, Illinois","3133","543","null","null","420","206","null","null","2458","554","null","null","0","11","null","null","0","null","11","null","0","11","null","null","111","87","null","null","144","null","176","null","21","22","null","null","123","null","172","null",
"1400000US17031460200","Census Tract 4602, Cook County, Illinois","2678","414","null","null","1281","217","null","null","1128","396","null","null","0","11","null","null","0","null","11","null","0","11","null","null","201","118","null","null","68","null","88","null","68","88","null","null","0","null","11","null",
"1400000US17031460301","Census Tract 4603.01, Cook County, Illinois","2917","414","null","null","810","237","null","null","1984","465","null","null","9","15","null","null","0","null","11","null","12","20","null","null","58","55","null","null","44","null","64","null","44","64","null","null","0","null","11","null",
"1400000US17031460302","Census Tract 4603.02, Cook County, Illinois","3468","435","null","null","153","105","null","null","3138","475","null","null","0","11","null","null","0","null","11","null","0","11","null","null","162","196","null","null","15","null","36","null","15","36","null","null","0","null","11","null",
"1400000US17031460400","Census Tract 4604, Cook County, Illinois","3458","577","null","null","70","54","null","null","3372","594","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","16","null","25","null","0","11","null","null","16","null","25","null",
"1400000US17031460500","Census Tract 4605, Cook County, Illinois","4816","664","null","null","17","29","null","null","4799","673","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031460600","Census Tract 4606, Cook County, Illinois","1044","202","null","null","271","142","null","null","754","189","null","null","0","11","null","null","0","null","11","null","0","11","null","null","19","29","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031460700","Census Tract 4607, Cook County, Illinois","2775","443","null","null","910","263","null","null","1604","422","null","null","0","11","null","null","15","null","25","null","0","11","null","null","157","143","null","null","89","null","92","null","40","65","null","null","49","null","66","null",
"1400000US17031461000","Census Tract 4610, Cook County, Illinois","1533","205","null","null","406","176","null","null","992","175","null","null","12","19","null","null","0","null","11","null","0","11","null","null","123","74","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031470100","Census Tract 4701, Cook County, Illinois","2254","430","null","null","43","56","null","null","2197","437","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","14","null","24","null","0","11","null","null","14","null","24","null",
"1400000US17031480100","Census Tract 4801, Cook County, Illinois","2208","200","null","null","14","13","null","null","2184","199","null","null","0","11","null","null","0","null","11","null","5","9","null","null","0","11","null","null","5","null","7","null","0","11","null","null","5","null","7","null",
"1400000US17031480200","Census Tract 4802, Cook County, Illinois","1143","196","null","null","0","11","null","null","1123","197","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","20","null","22","null","0","11","null","null","20","null","22","null",
"1400000US17031480300","Census Tract 4803, Cook County, Illinois","1159","195","null","null","15","13","null","null","1120","196","null","null","7","11","null","null","5","null","9","null","0","11","null","null","0","11","null","null","12","null","18","null","6","9","null","null","6","null","10","null",
"1400000US17031480400","Census Tract 4804, Cook County, Illinois","5662","573","null","null","148","92","null","null","5440","546","null","null","0","15","null","null","0","null","15","null","0","15","null","null","44","61","null","null","30","null","42","null","0","15","null","null","30","null","42","null",
"1400000US17031480500","Census Tract 4805, Cook County, Illinois","3016","385","null","null","333","114","null","null","2644","374","null","null","0","11","null","null","8","null","12","null","0","11","null","null","31","37","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031490300","Census Tract 4903, Cook County, Illinois","2430","239","null","null","12","14","null","null","2332","239","null","null","0","11","null","null","0","null","11","null","0","11","null","null","6","9","null","null","80","null","64","null","31","49","null","null","49","null","42","null",
