"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","6744","1273","null","null","2060","1067","null","null","987","408","null","null","0","17","null","null","2901","809","null","null","0","17","null","null","521","null","310","null","275","211","null","null","51","76","null","null","224","189","null","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","6112","1115","null","null","4216","963","null","null","405","355","null","null","61","88","null","null","1060","818","null","null","2","4","null","null","57","null","90","null","311","197","null","null","53","62","null","null","258","190","null","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","5239","1235","null","null","2565","1082","null","null","663","375","null","null","0","17","null","null","1044","551","null","null","0","17","null","null","888","null","367","null","79","79","null","null","3","7","null","null","76","80","null","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1764","191","null","null","1326","207","null","null","111","74","null","null","0","12","null","null","172","82","null","null","0","12","null","null","59","null","67","null","96","49","null","null","8","8","null","null","88","48","null","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","8674","1991","null","null","5159","1717","null","null","527","410","null","null","0","17","null","null","1810","1016","null","null","0","17","null","null","736","null","665","null","442","379","null","null","330","321","null","null","112","151","null","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","5859","1075","null","null","3401","500","null","null","680","823","null","null","0","17","null","null","954","415","null","null","15","24","null","null","97","null","131","null","712","521","null","null","227","344","null","null","485","384","null","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","8536","1569","null","null","3095","1144","null","null","678","412","null","null","383","293","null","null","2865","858","null","null","0","17","null","null","461","null","461","null","1054","830","null","null","160","150","null","null","894","815","null","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","6094","748","null","null","2601","694","null","null","1349","472","null","null","0","17","null","null","1697","537","null","null","0","17","null","null","109","null","108","null","338","222","null","null","78","69","null","null","260","231","null","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","4445","591","null","null","2165","495","null","null","789","334","null","null","0","12","null","null","1188","281","null","null","0","12","null","null","216","null","198","null","87","67","null","null","29","39","null","null","58","55","null","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","3791","578","null","null","1822","345","null","null","1002","509","null","null","18","29","null","null","695","224","null","null","0","12","null","null","166","null","161","null","88","82","null","null","0","12","null","null","88","82","null","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","3192","708","null","null","1516","241","null","null","482","178","null","null","9","15","null","null","836","632","null","null","0","12","null","null","171","null","106","null","178","112","null","null","69","70","null","null","109","82","null","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","2490","266","null","null","1444","306","null","null","580","181","null","null","9","19","null","null","343","111","null","null","0","12","null","null","61","null","50","null","53","43","null","null","20","25","null","null","33","31","null","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","3425","389","null","null","2124","295","null","null","293","109","null","null","9","17","null","null","885","308","null","null","0","12","null","null","50","null","42","null","64","40","null","null","35","26","null","null","29","30","null","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","5863","1137","null","null","4199","357","null","null","236","146","null","null","0","17","null","null","199","88","null","null","0","17","null","null","272","null","199","null","957","1074","null","null","799","1025","null","null","158","109","null","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","3722","599","null","null","1988","483","null","null","656","351","null","null","20","31","null","null","522","245","null","null","0","12","null","null","172","null","156","null","364","387","null","null","275","384","null","null","89","63","null","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","2606","460","null","null","1871","312","null","null","106","69","null","null","24","26","null","null","89","68","null","null","0","12","null","null","130","null","135","null","386","314","null","null","189","277","null","null","197","156","null","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","6870","778","null","null","5230","853","null","null","352","179","null","null","0","17","null","null","469","245","null","null","14","28","null","null","234","null","124","null","571","305","null","null","60","58","null","null","511","305","null","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","3981","962","null","null","1896","428","null","null","961","831","null","null","0","12","null","null","887","280","null","null","0","12","null","null","20","null","34","null","217","214","null","null","32","51","null","null","185","209","null","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","2355","228","null","null","1440","222","null","null","504","178","null","null","0","12","null","null","279","123","null","null","0","12","null","null","28","null","36","null","104","72","null","null","9","17","null","null","95","70","null","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","3267","395","null","null","1874","330","null","null","697","214","null","null","0","12","null","null","530","262","null","null","0","12","null","null","8","null","15","null","158","94","null","null","69","68","null","null","89","60","null","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","1528","179","null","null","710","142","null","null","508","130","null","null","0","12","null","null","240","111","null","null","0","12","null","null","46","null","60","null","24","24","null","null","0","12","null","null","24","24","null","null",
