"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","6560","null","1258","null","2149","null","1022","null","949","412","null","null","12","21","null","null","2519","null","856","null","0","null","17","null","635","null","419","null","296","208","null","null","87","null","101","null","209","null","184","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","5937","null","870","null","3850","null","744","null","238","240","null","null","0","17","null","null","1330","null","722","null","2","null","5","null","112","null","102","null","405","398","null","null","31","null","29","null","374","null","396","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","5823","null","1379","null","2734","null","1181","null","494","299","null","null","0","17","null","null","1279","null","726","null","0","null","17","null","1128","null","464","null","188","134","null","null","69","null","108","null","119","null","85","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1728","null","208","null","1253","null","235","null","154","91","null","null","8","12","null","null","139","null","73","null","0","null","12","null","68","null","72","null","106","50","null","null","38","null","30","null","68","null","48","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","8659","null","2085","null","5162","null","1869","null","202","123","null","null","237","300","null","null","2194","null","894","null","0","null","17","null","374","null","260","null","490","373","null","null","455","null","370","null","35","null","56","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","6025","null","1092","null","3304","null","480","null","916","950","null","null","0","17","null","null","907","null","324","null","14","null","23","null","214","null","219","null","670","518","null","null","456","null","466","null","214","null","253","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","8514","null","1582","null","3010","null","1050","null","463","307","null","null","326","308","null","null","2700","null","809","null","0","null","17","null","1271","null","558","null","744","697","null","null","131","null","152","null","613","null","667","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","6237","null","838","null","2192","null","621","null","1659","512","null","null","0","17","null","null","1469","null","490","null","0","null","17","null","188","null","153","null","729","415","null","null","481","null","351","null","248","null","232","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","4517","null","597","null","1936","null","424","null","849","376","null","null","0","12","null","null","1385","null","303","null","0","null","12","null","129","null","107","null","218","129","null","null","144","null","124","null","74","null","72","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","3699","null","507","null","1647","null","400","null","866","381","null","null","11","18","null","null","745","null","226","null","0","null","12","null","169","null","181","null","261","146","null","null","82","null","63","null","179","null","135","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","3147","null","666","null","1414","null","214","null","437","186","null","null","0","12","null","null","941","null","611","null","0","null","12","null","134","null","94","null","221","126","null","null","116","null","96","null","105","null","80","null",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","2459","null","329","null","1344","null","262","null","522","134","null","null","15","23","null","null","299","null","127","null","0","null","12","null","78","null","61","null","201","136","null","null","100","null","101","null","101","null","70","null",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","3245","null","418","null","2153","null","349","null","227","110","null","null","9","18","null","null","588","null","293","null","0","null","12","null","156","null","140","null","112","70","null","null","76","null","60","null","36","null","38","null",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","5995","null","1139","null","4125","null","492","null","175","129","null","null","0","17","null","null","193","null","125","null","43","null","64","null","172","null","145","null","1287","1050","null","null","983","null","1033","null","304","null","177","null",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","3828","null","639","null","1878","null","429","null","562","377","null","null","29","23","null","null","594","null","283","null","0","null","12","null","357","null","183","null","408","361","null","null","279","null","347","null","129","null","81","null",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","2764","null","363","null","1963","null","273","null","152","99","null","null","7","10","null","null","207","null","151","null","0","null","12","null","130","null","133","null","305","251","null","null","219","null","245","null","86","null","58","null",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","6703","null","713","null","5027","null","722","null","381","229","null","null","28","46","null","null","180","null","98","null","12","null","20","null","237","null","171","null","838","272","null","null","114","null","82","null","724","null","265","null",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","3789","null","901","null","1755","null","344","null","971","879","null","null","0","12","null","null","821","null","303","null","0","null","12","null","18","null","29","null","224","172","null","null","51","null","55","null","173","null","164","null",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","2361","null","266","null","1376","null","272","null","623","264","null","null","0","12","null","null","240","null","114","null","0","null","12","null","23","null","27","null","99","60","null","null","19","null","21","null","80","null","56","null",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","3234","null","287","null","1865","null","250","null","694","232","null","null","0","12","null","null","413","null","225","null","0","null","12","null","61","null","73","null","201","100","null","null","118","null","81","null","83","null","54","null",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","1509","null","202","null","767","null","126","null","511","162","null","null","0","12","null","null","156","null","64","null","0","null","12","null","54","null","58","null","21","23","null","null","0","null","12","null","21","null","23","null",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","2323","null","398","null","1412","null","174","null","53","36","null","null","0","12","null","null","707","null","348","null","0","null","12","null","53","null","41","null","98","93","null","null","22","null","23","null","76","null","91","null",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","2995","null","367","null","1880","null","280","null","523","208","null","null","0","12","null","null","179","null","80","null","0","null","12","null","80","null","71","null","333","210","null","null","215","null","194","null","118","null","79","null",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","2720","null","344","null","1731","null","266","null","457","259","null","null","0","12","null","null","460","null","292","null","0","null","12","null","11","null","32","null","61","89","null","null","0","null","12","null","61","null","89","null",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","4164","null","502","null","3374","null","424","null","200","165","null","null","0","12","null","null","282","null","181","null","0","null","12","null","146","null","156","null","162","105","null","null","47","null","53","null","115","null","91","null",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","3149","null","332","null","2322","null","332","null","165","152","null","null","24","26","null","null","407","null","207","null","0","null","12","null","21","null","24","null","210","134","null","null","95","null","113","null","115","null","78","null",
