"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031390400","Census Tract 3904, Cook County, Illinois","2480","null","396","null","344","198","null","null","2082","null","385","null","0","null","11","null","11","16","null","null","0","11","null","null","0","null","11","null","43","null","34","null","10","null","16","null","33","null","29","null",
"1400000US17031390500","Census Tract 3905, Cook County, Illinois","1496","null","143","null","453","97","null","null","869","null","136","null","0","null","11","null","144","68","null","null","0","11","null","null","10","null","16","null","20","null","19","null","9","null","14","null","11","null","11","null",
"1400000US17031390600","Census Tract 3906, Cook County, Illinois","1756","null","157","null","865","134","null","null","715","null","150","null","0","null","11","null","63","37","null","null","0","11","null","null","14","null","17","null","99","null","45","null","5","null","7","null","94","null","45","null",
"1400000US17031390700","Census Tract 3907, Cook County, Illinois","5639","null","555","null","1072","250","null","null","3390","null","549","null","0","null","15","null","925","347","null","null","0","15","null","null","57","null","53","null","195","null","121","null","35","null","56","null","160","null","108","null",
"1400000US17031400300","Census Tract 4003, Cook County, Illinois","1317","null","230","null","74","73","null","null","1201","null","236","null","0","null","11","null","13","21","null","null","0","11","null","null","10","null","18","null","19","null","32","null","0","null","11","null","19","null","32","null",
"1400000US17031400400","Census Tract 4004, Cook County, Illinois","2120","null","395","null","18","28","null","null","2086","null","398","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","16","null","15","null","0","null","11","null","16","null","15","null",
"1400000US17031400500","Census Tract 4005, Cook County, Illinois","1797","null","298","null","16","19","null","null","1754","null","305","null","7","null","10","null","0","11","null","null","0","11","null","null","0","null","11","null","20","null","32","null","0","null","11","null","20","null","32","null",
"1400000US17031400800","Census Tract 4008, Cook County, Illinois","2706","null","532","null","61","84","null","null","2407","null","510","null","152","null","229","null","0","11","null","null","0","11","null","null","0","null","11","null","86","null","106","null","0","null","11","null","86","null","106","null",
"1400000US17031410100","Census Tract 4101, Cook County, Illinois","2176","null","267","null","976","178","null","null","801","null","213","null","0","null","11","null","158","63","null","null","0","11","null","null","105","null","129","null","136","null","89","null","4","null","9","null","132","null","89","null",
"1400000US17031410200","Census Tract 4102, Cook County, Illinois","1586","null","215","null","811","188","null","null","359","null","144","null","10","null","14","null","316","82","null","null","0","11","null","null","49","null","32","null","41","null","33","null","0","null","11","null","41","null","33","null",
"1400000US17031410500","Census Tract 4105, Cook County, Illinois","2440","null","258","null","1017","222","null","null","959","null","227","null","0","null","11","null","266","103","null","null","0","11","null","null","75","null","76","null","123","null","126","null","0","null","11","null","123","null","126","null",
