"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031803010","Census Tract 8030.10, Cook County, Illinois","4753","null","278","null","4018","247","null","null","0","null","11","null","26","null","42","null","359","null","136","null","0","null","11","null","128","134","null","null","222","null","209","null","0","null","11","null","222","null","209","null",
"1400000US17031803012","Census Tract 8030.12, Cook County, Illinois","2350","null","264","null","2010","324","null","null","120","null","93","null","0","null","11","null","133","null","128","null","0","null","11","null","75","92","null","null","12","null","20","null","0","null","11","null","12","null","20","null",
"1400000US17031803013","Census Tract 8030.13, Cook County, Illinois","5190","null","361","null","4519","363","null","null","67","null","87","null","19","null","37","null","287","null","98","null","0","null","16","null","216","136","null","null","82","null","96","null","0","null","16","null","82","null","96","null",
"1400000US17031803014","Census Tract 8030.14, Cook County, Illinois","3543","null","264","null","2938","348","null","null","0","null","11","null","0","null","11","null","363","null","122","null","0","null","11","null","226","261","null","null","16","null","26","null","16","null","26","null","0","null","11","null",
"1400000US17031803015","Census Tract 8030.15, Cook County, Illinois","4666","null","265","null","4104","303","null","null","40","null","45","null","11","null","18","null","274","null","93","null","0","null","11","null","81","100","null","null","156","null","126","null","0","null","11","null","156","null","126","null",
"1400000US17031803016","Census Tract 8030.16, Cook County, Illinois","2248","null","284","null","1558","215","null","null","55","null","60","null","0","null","11","null","499","null","237","null","0","null","11","null","97","102","null","null","39","null","50","null","0","null","11","null","39","null","50","null",
"1400000US17031803017","Census Tract 8030.17, Cook County, Illinois","5452","null","392","null","4591","413","null","null","9","null","21","null","0","null","16","null","673","null","162","null","0","null","16","null","69","86","null","null","110","null","102","null","0","null","16","null","110","null","102","null",
"1400000US17031803100","Census Tract 8031, Cook County, Illinois","3396","null","169","null","3115","192","null","null","84","null","73","null","0","null","11","null","126","null","100","null","0","null","11","null","29","44","null","null","42","null","47","null","29","null","45","null","13","null","20","null",
"1400000US17031803200","Census Tract 8032, Cook County, Illinois","6019","null","327","null","5549","396","null","null","62","null","61","null","0","null","16","null","189","null","227","null","0","null","16","null","94","121","null","null","125","null","126","null","37","null","59","null","88","null","117","null",
"1400000US17031803300","Census Tract 8033, Cook County, Illinois","5854","null","417","null","4985","323","null","null","3","null","6","null","1","null","2","null","600","null","264","null","0","null","16","null","168","245","null","null","97","null","84","null","0","null","16","null","97","null","84","null",
"1400000US17031803400","Census Tract 8034, Cook County, Illinois","6252","null","274","null","5982","294","null","null","38","null","56","null","22","null","36","null","110","null","114","null","0","null","16","null","0","16","null","null","100","null","69","null","12","null","20","null","88","null","66","null",
