"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","6775","null","889","null","2082","null","685","null","900","314","null","null","0","null","16","null","2749","null","796","null","0","null","16","null","585","null","325","null","459","null","273","null","73","null","94","null","386","null","252","null",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","6525","null","729","null","3964","null","749","null","356","347","null","null","66","null","106","null","1807","null","766","null","0","null","16","null","54","null","86","null","278","null","246","null","50","null","51","null","228","null","237","null",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","4765","null","567","null","2166","null","467","null","625","349","null","null","0","null","11","null","1082","null","468","null","0","null","11","null","838","null","362","null","54","null","64","null","0","null","11","null","54","null","64","null",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","1844","null","142","null","1309","null","172","null","94","81","null","null","0","null","11","null","304","null","57","null","0","null","11","null","62","null","72","null","75","null","52","null","4","null","7","null","71","null","51","null",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","8226","null","996","null","4193","null","751","null","698","201","null","null","0","null","16","null","1997","null","662","null","0","null","16","null","856","null","362","null","482","null","362","null","332","null","305","null","150","null","162","null",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","6175","null","558","null","3741","null","648","null","187","239","null","null","0","null","16","null","1775","null","679","null","17","null","27","null","61","null","72","null","394","null","309","null","0","null","16","null","394","null","309","null",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","7916","null","867","null","3274","null","731","null","568","412","null","null","294","null","270","null","2712","null","812","null","0","null","16","null","135","null","157","null","933","null","573","null","168","null","161","null","765","null","540","null",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","6155","null","657","null","2594","null","534","null","1486","569","null","null","0","null","16","null","1598","null","412","null","0","null","16","null","104","null","102","null","373","null","282","null","35","null","42","null","338","null","280","null",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","4848","null","489","null","2505","null","476","null","656","234","null","null","0","null","11","null","1380","null","387","null","0","null","11","null","229","null","236","null","78","null","70","null","21","null","27","null","57","null","63","null",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","3911","null","508","null","2038","null","378","null","1017","461","null","null","22","null","35","null","625","null","255","null","0","null","11","null","90","null","69","null","119","null","99","null","15","null","23","null","104","null","96","null",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","2841","null","240","null","1590","null","201","null","527","159","null","null","26","null","31","null","397","null","161","null","0","null","11","null","219","null","117","null","82","null","69","null","0","null","11","null","82","null","69","null",
